,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
61,8,2012-03-02,79.0,63.0,87.0,54.0,62.0,0.0,22.0,0.0,0.0,29.37,0.7,13.0,6.3,2012,3,2,HZ,-,-
62,8,2012-03-03,64.0,45.0,87.0,35.0,47.0,0.0,22.0,0.0,0.04,29.66,8.6,36.0,9.0,2012,3,3,RA,-,-
63,8,2012-03-04,70.0,36.0,87.0,35.0,46.0,0.0,22.0,0.0,0.0,29.85,3.5,21.0,3.6,2012,3,4, ,-,-
64,8,2012-03-05,75.0,41.0,87.0,43.0,50.0,0.0,22.0,0.0,0.0,29.93,5.2,17.0,5.7,2012,3,5, ,-,-
65,8,2012-03-06,73.0,50.0,87.0,54.0,58.0,0.0,22.0,0.0,0.0,29.79,9.7,16.0,9.6,2012,3,6, ,-,-
66,8,2012-03-07,73.0,64.0,87.0,61.0,64.0,0.0,22.0,0.0,0.0,29.62,12.5,16.0,12.5,2012,3,7,RA,-,-
67,8,2012-03-08,73.0,50.0,87.0,60.0,63.0,0.0,22.0,0.0,0.33,29.64,2.6,15.0,10.7,2012,3,8,RA DZ HZ,-,-
68,8,2012-03-09,50.0,46.0,87.0,44.0,46.0,0.0,22.0,0.0,1.06,29.89,9.0,1.0,9.5,2012,3,9,RA DZ BR VCTS,-,-
69,8,2012-03-10,57.0,45.0,87.0,47.0,49.0,0.0,22.0,0.0,0.54,29.78,3.8,6.0,5.1,2012,3,10,RA DZ HZ VCTS,-,-
70,8,2012-03-11,70.0,55.0,87.0,48.0,53.0,0.0,22.0,0.0,1.39,29.65,2.2,18.0,3.1,2012,3,11,TSRA RA DZ HZ,-,-
71,8,2012-03-12,73.0,55.0,87.0,51.0,56.0,0.0,22.0,0.0,0.0,29.7,3.8,17.0,3.8,2012,3,12,HZ,-,-
72,8,2012-03-13,79.0,66.0,87.0,59.0,64.0,0.0,22.0,0.0,0.0,29.73,5.6,15.0,5.8,2012,3,13,RA HZ,-,-
73,8,2012-03-14,79.0,66.0,87.0,61.0,65.0,0.0,22.0,0.0,0.0,29.73,7.5,16.0,7.5,2012,3,14,HZ,-,-
74,8,2012-03-15,79.0,68.0,87.0,62.0,66.0,0.0,22.0,0.0,0.0,29.76,6.9,16.0,7.0,2012,3,15, ,-,-
75,8,2012-03-16,79.0,68.0,87.0,62.0,66.0,0.0,22.0,0.0,0.0,29.72,7.2,16.0,7.4,2012,3,16,HZ,-,-
76,8,2012-03-17,79.0,68.0,87.0,61.0,65.0,0.0,22.0,0.0,0.0,29.67,6.5,15.0,6.5,2012,3,17, ,-,-
77,8,2012-03-18,77.0,68.0,87.0,63.0,66.0,0.0,22.0,0.0,0.0,29.6,10.0,16.0,10.1,2012,3,18,RA,-,-
78,8,2012-03-19,79.0,70.0,87.0,63.0,67.0,0.0,22.0,0.0,0.0,29.41,15.1,16.0,14.6,2012,3,19,RA DZ,-,-
79,8,2012-03-20,72.0,55.0,87.0,51.0,56.0,0.0,22.0,0.0,2.16,29.41,4.7,33.0,5.7,2012,3,20,TSRA RA,-,-
80,8,2012-03-21,72.0,54.0,87.0,41.0,51.0,0.0,22.0,0.0,0.01,29.51,6.0,24.0,8.2,2012,3,21,RA DZ,-,-
81,8,2012-03-22,79.0,54.0,87.0,51.0,57.0,0.0,22.0,0.0,0.0,29.55,7.3,20.0,9.2,2012,3,22, ,-,-
82,8,2012-03-23,79.0,50.0,87.0,51.0,56.0,0.0,22.0,0.0,0.0,29.63,0.9,5.0,1.9,2012,3,23,BR,-,-
83,8,2012-03-24,79.0,57.0,87.0,56.0,60.0,0.0,22.0,0.0,0.0,29.65,0.5,14.0,0.9,2012,3,24,DZ FG+ FG BR,-,-
84,8,2012-03-25,81.0,57.0,87.0,58.0,62.0,0.0,22.0,0.0,0.0,29.67,0.2,18.0,1.0,2012,3,25,FG+ BR HZ,-,-
85,8,2012-03-26,81.0,59.0,87.0,57.0,62.0,0.0,22.0,0.0,0.0,29.67,3.3,17.0,3.5,2012,3,26,FG+ BR,-,-
86,8,2012-03-27,79.0,55.0,87.0,58.0,62.0,0.0,22.0,0.0,0.0,29.67,3.4,16.0,3.9,2012,3,27,BR,-,-
87,8,2012-03-28,79.0,63.0,87.0,63.0,65.0,0.0,22.0,0.0,0.01,29.63,3.3,15.0,3.5,2012,3,28,RA BR VCTS,-,-
88,8,2012-03-29,77.0,68.0,87.0,63.0,66.0,0.0,22.0,0.0,0.04,29.52,5.2,15.0,5.2,2012,3,29,RA BR HZ,-,-
89,8,2012-03-30,81.0,68.0,87.0,63.0,67.0,0.0,22.0,0.0,0.0,29.48,4.1,17.0,4.4,2012,3,30,HZ,-,-
90,8,2012-03-31,86.0,68.0,87.0,77.0,79.0,0.0,22.0,0.0,0.0,29.49,2.4,16.0,7.0,2012,3,31,HZ,-,-
91,8,2012-04-01,84.0,66.0,87.0,65.0,68.0,0.0,22.0,0.0,0.0,29.43,7.5,17.0,7.6,2012,4,1,BR HZ,-,-
92,8,2012-04-02,82.0,70.0,87.0,66.0,69.0,0.0,22.0,0.0,0.0,29.3,8.9,16.0,9.8,2012,4,2,HZ VCTS,-,-
93,8,2012-04-03,82.0,64.0,87.0,66.0,70.0,0.0,22.0,0.0,0.0,29.39,5.1,15.0,6.8,2012,4,3,TS RA HZ VCTS,-,-
94,8,2012-04-04,79.0,61.0,87.0,61.0,64.0,0.0,22.0,0.0,0.0,29.46,1.7,36.0,2.5,2012,4,4,BR HZ VCTS,-,-
95,8,2012-04-05,86.0,63.0,87.0,61.0,65.0,0.0,22.0,0.0,0.0,29.46,2.5,30.0,4.4,2012,4,5,FG BR HZ,-,-
96,8,2012-04-06,82.0,61.0,87.0,59.0,64.0,0.0,22.0,0.0,0.0,29.6,3.5,12.0,3.7,2012,4,6, ,-,-
97,8,2012-04-07,82.0,61.0,87.0,60.0,65.0,0.0,22.0,0.0,0.0,29.73,4.5,15.0,5.0,2012,4,7,BR,-,-
98,8,2012-04-08,81.0,61.0,87.0,59.0,64.0,0.0,22.0,0.0,0.0,29.83,2.0,14.0,2.3,2012,4,8,BR,-,-
99,8,2012-04-09,81.0,59.0,87.0,59.0,64.0,0.0,22.0,0.0,0.0,29.77,2.0,18.0,2.5,2012,4,9,BR,-,-
100,8,2012-04-10,82.0,59.0,87.0,60.0,64.0,0.0,22.0,0.0,0.0,29.72,3.2,19.0,3.4,2012,4,10,BR,-,-
101,8,2012-04-11,84.0,59.0,87.0,60.0,64.0,0.0,22.0,0.0,0.0,29.7,4.2,15.0,4.3,2012,4,11,BR HZ,-,-
102,8,2012-04-12,82.0,68.0,87.0,62.0,66.0,0.0,22.0,0.0,0.0,29.64,7.3,16.0,7.3,2012,4,12,RA,-,-
103,8,2012-04-13,82.0,63.0,87.0,65.0,68.0,0.0,22.0,0.0,0.0,29.57,7.9,16.0,7.7,2012,4,13,BR,-,-
104,8,2012-04-14,81.0,73.0,87.0,67.0,70.0,0.0,22.0,0.0,0.0,29.49,13.6,16.0,13.7,2012,4,14,RA DZ,-,-
105,8,2012-04-15,82.0,66.0,87.0,60.0,65.0,0.0,22.0,0.0,0.0,29.46,4.8,17.0,9.9,2012,4,15,RA DZ VCTS,-,-
106,8,2012-04-16,72.0,59.0,87.0,56.0,60.0,0.0,22.0,0.0,0.0,29.67,3.6,3.0,4.1,2012,4,16,RA VCTS,-,-
107,8,2012-04-17,82.0,59.0,87.0,51.0,59.0,0.0,22.0,0.0,0.0,29.78,3.5,3.0,3.9,2012,4,17, ,-,-
108,8,2012-04-18,81.0,54.0,87.0,49.0,57.0,0.0,22.0,0.0,0.0,29.74,2.0,14.0,2.3,2012,4,18, ,-,-
109,8,2012-04-19,82.0,52.0,87.0,55.0,60.0,0.0,22.0,0.0,0.0,29.55,5.3,18.0,5.8,2012,4,19,BR HZ,-,-
110,8,2012-04-20,77.0,59.0,87.0,59.0,62.0,0.0,22.0,0.0,0.17,29.5,3.7,34.0,6.3,2012,4,20,RA VCTS,-,-
111,8,2012-04-21,77.0,52.0,87.0,44.0,53.0,0.0,22.0,0.0,0.0,29.64,8.2,35.0,8.7,2012,4,21, ,-,-
112,8,2012-04-22,88.0,48.0,87.0,48.0,57.0,0.0,22.0,0.0,0.0,29.69,1.6,33.0,1.8,2012,4,22, ,-,-
113,8,2012-04-23,79.0,55.0,87.0,44.0,55.0,0.0,22.0,0.0,0.0,29.78,3.0,4.0,3.1,2012,4,23,RA,-,-
114,8,2012-04-24,86.0,50.0,87.0,55.0,61.0,0.0,22.0,0.0,0.0,29.65,6.7,18.0,6.6,2012,4,24,HZ,-,-
115,8,2012-04-25,90.0,61.0,87.0,64.0,68.0,0.0,22.0,0.0,0.0,29.54,10.2,18.0,10.0,2012,4,25, ,-,-
116,8,2012-04-26,90.0,68.0,87.0,65.0,69.0,0.0,22.0,0.0,0.0,29.5,11.5,18.0,12.1,2012,4,26,BR,-,-
117,8,2012-04-27,88.0,70.0,87.0,65.0,69.0,0.0,22.0,0.0,0.0,29.48,12.4,17.0,12.4,2012,4,27, ,-,-
118,8,2012-04-28,88.0,68.0,87.0,64.0,69.0,0.0,22.0,0.0,0.0,29.49,11.2,17.0,11.7,2012,4,28,BR,-,-
119,8,2012-04-29,88.0,72.0,87.0,66.0,70.0,0.0,22.0,0.0,0.0,29.56,10.3,16.0,10.5,2012,4,29, ,-,-
120,8,2012-04-30,86.0,73.0,87.0,77.0,79.0,0.0,22.0,0.0,0.0,29.61,2.4,16.0,8.3,2012,4,30,RA,-,-
121,8,2012-05-01,88.0,72.0,87.0,67.0,70.0,0.0,22.0,0.0,0.0,29.56,7.1,15.0,7.0,2012,5,1,RA DZ HZ,-,-
122,8,2012-05-02,90.0,72.0,87.0,67.0,71.0,0.0,22.0,0.0,0.0,29.52,5.8,17.0,6.0,2012,5,2, ,-,-
123,8,2012-05-03,90.0,72.0,87.0,67.0,71.0,0.0,22.0,0.0,0.0,29.56,6.3,17.0,6.8,2012,5,3,DZ HZ,-,-
124,8,2012-05-04,90.0,70.0,87.0,68.0,72.0,0.0,22.0,0.0,0.0,29.58,5.6,16.0,6.4,2012,5,4,BR,-,-
125,8,2012-05-05,93.0,72.0,87.0,70.0,73.0,0.0,22.0,0.0,0.0,29.52,8.2,17.0,8.2,2012,5,5,BR HZ,-,-
126,8,2012-05-06,91.0,68.0,87.0,66.0,70.0,0.0,22.0,0.0,0.26,29.5,5.4,19.0,8.0,2012,5,6,TSRA RA VCTS,-,-
127,8,2012-05-07,91.0,68.0,87.0,67.0,71.0,0.0,22.0,0.0,0.01,29.5,1.7,14.0,3.6,2012,5,7,TSRA RA FG+ BR VCTS,-,-
128,8,2012-05-08,72.0,66.0,87.0,63.0,65.0,0.0,22.0,0.0,0.58,29.59,3.4,35.0,4.7,2012,5,8,RA BR HZ VCTS,-,-
129,8,2012-05-09,82.0,64.0,87.0,60.0,65.0,0.0,22.0,0.0,0.0,29.6,3.6,1.0,4.0,2012,5,9,RA DZ HZ,-,-
130,8,2012-05-10,73.0,68.0,87.0,64.0,66.0,0.0,22.0,0.0,1.17,29.51,3.1,9.0,4.6,2012,5,10,TS TSRA RA DZ,-,-
131,8,2012-05-11,82.0,63.0,87.0,61.0,65.0,0.0,22.0,0.0,0.0,29.49,0.3,7.0,2.2,2012,5,11,VCTS,-,-
132,8,2012-05-12,82.0,66.0,87.0,61.0,66.0,0.0,22.0,0.0,0.05,29.68,5.8,34.0,5.9,2012,5,12,DZ BR HZ VCTS,-,-
133,8,2012-05-13,82.0,63.0,87.0,59.0,64.0,0.0,22.0,0.0,0.0,29.75,3.7,36.0,3.8,2012,5,13,HZ,-,-
134,8,2012-05-14,84.0,63.0,87.0,59.0,65.0,0.0,22.0,0.0,0.0,29.67,0.3,8.0,0.9,2012,5,14,TSRA HZ,-,-
135,8,2012-05-15,70.0,63.0,87.0,61.0,63.0,0.0,22.0,0.0,1.64,29.7,0.2,34.0,2.3,2012,5,15,TSRA RA DZ BR HZ,-,-
136,8,2012-05-16,82.0,61.0,87.0,58.0,63.0,0.0,22.0,0.0,0.0,29.68,0.9,4.0,1.0,2012,5,16,FG+ BR,-,-
137,8,2012-05-17,88.0,61.0,87.0,60.0,66.0,0.0,22.0,0.0,0.0,29.62,2.1,16.0,2.1,2012,5,17,BR HZ,-,-
138,8,2012-05-18,88.0,63.0,87.0,63.0,67.0,0.0,22.0,0.0,0.0,29.57,6.1,16.0,6.4,2012,5,18,BR HZ,-,-
139,8,2012-05-19,88.0,66.0,87.0,64.0,69.0,0.0,22.0,0.0,0.0,29.58,6.4,16.0,6.8,2012,5,19,FG BR HZ,-,-
140,8,2012-05-20,88.0,64.0,87.0,63.0,68.0,0.0,22.0,0.0,0.0,29.69,2.6,14.0,3.1,2012,5,20,BR HZ,-,-
141,8,2012-05-21,90.0,66.0,87.0,64.0,69.0,0.0,22.0,0.0,0.0,29.72,1.2,20.0,1.6,2012,5,21,FG+ BR HZ,-,-
142,8,2012-05-22,90.0,66.0,87.0,64.0,69.0,0.0,22.0,0.0,0.0,29.59,4.2,20.0,4.5,2012,5,22,BR HZ,-,-
143,8,2012-05-23,90.0,68.0,87.0,67.0,71.0,0.0,22.0,0.0,0.0,29.39,9.7,17.0,9.8,2012,5,23,BR HZ,-,-
144,8,2012-05-24,90.0,72.0,87.0,69.0,72.0,0.0,22.0,0.0,0.0,29.34,11.2,17.0,11.5,2012,5,24, ,-,-
145,8,2012-05-25,90.0,73.0,87.0,70.0,74.0,0.0,22.0,0.0,0.0,29.51,9.3,15.0,9.5,2012,5,25,BR HZ,-,-
146,8,2012-05-26,91.0,73.0,87.0,69.0,73.0,0.0,22.0,0.0,0.0,29.62,8.0,16.0,8.2,2012,5,26, ,-,-
147,8,2012-05-27,90.0,72.0,87.0,66.0,71.0,0.0,22.0,0.0,0.0,29.57,5.9,15.0,6.2,2012,5,27,BR,-,-
148,8,2012-05-28,91.0,68.0,87.0,68.0,72.0,0.0,22.0,0.0,0.0,29.53,4.2,17.0,4.7,2012,5,28, ,-,-
149,8,2012-05-29,91.0,72.0,87.0,70.0,73.0,0.0,22.0,0.0,0.0,29.52,5.6,19.0,6.0,2012,5,29, ,-,-
150,8,2012-05-30,91.0,73.0,87.0,77.0,79.0,0.0,22.0,0.0,0.0,29.49,2.4,16.0,7.2,2012,5,30, ,-,-
151,8,2012-05-31,90.0,70.0,87.0,66.0,79.0,0.0,22.0,0.0,0.0,29.44,2.6,13.0,5.1,2012,5,31,VCTS,-,-
152,8,2012-06-01,90.0,68.0,87.0,62.0,69.0,0.0,22.0,0.0,0.0,29.57,1.8,14.0,2.4,2012,6,1,HZ,-,-
153,8,2012-06-02,93.0,72.0,87.0,68.0,72.0,0.0,22.0,0.0,0.0,29.55,6.1,18.0,6.6,2012,6,2,BR,-,-
154,8,2012-06-03,91.0,72.0,87.0,70.0,74.0,0.0,22.0,0.0,0.0,29.54,6.7,17.0,7.0,2012,6,3,BR,-,-
155,8,2012-06-04,93.0,72.0,87.0,70.0,74.0,0.0,22.0,0.0,0.0,29.49,4.1,17.0,5.0,2012,6,4,BR,-,-
156,8,2012-06-05,93.0,72.0,87.0,69.0,74.0,0.0,22.0,0.0,0.0,29.44,2.3,16.0,3.2,2012,6,5,BR HZ,-,-
157,8,2012-06-06,95.0,72.0,87.0,68.0,73.0,0.0,22.0,0.0,0.0,29.43,3.5,16.0,3.7,2012,6,6, ,-,-
158,8,2012-06-07,91.0,72.0,87.0,68.0,71.0,0.0,22.0,0.0,0.77,29.53,2.6,5.0,3.8,2012,6,7,TS TSRA RA VCTS,-,-
159,8,2012-06-08,82.0,70.0,87.0,68.0,70.0,0.0,22.0,0.0,0.3,29.54,1.4,36.0,2.8,2012,6,8,RA DZ BR HZ VCTS,-,-
160,8,2012-06-09,90.0,68.0,87.0,67.0,71.0,0.0,22.0,0.0,0.0,29.44,3.0,15.0,2.8,2012,6,9, ,-,-
161,8,2012-06-10,93.0,72.0,87.0,71.0,75.0,0.0,22.0,0.0,0.0,29.43,7.1,17.0,7.3,2012,6,10, ,-,-
162,8,2012-06-11,95.0,79.0,87.0,73.0,77.0,0.0,22.0,0.0,0.0,29.54,9.4,18.0,10.3,2012,6,11, ,-,-
163,8,2012-06-12,91.0,70.0,87.0,70.0,73.0,0.0,22.0,0.0,0.17,29.64,3.7,13.0,6.5,2012,6,12,TS TSRA BR HZ,-,-
164,8,2012-06-13,91.0,70.0,87.0,70.0,73.0,0.0,22.0,0.0,0.0,29.58,3.8,16.0,4.4,2012,6,13,BR HZ,-,-
165,8,2012-06-14,91.0,75.0,87.0,71.0,75.0,0.0,22.0,0.0,0.04,29.54,7.4,16.0,7.6,2012,6,14,BR,-,-
166,8,2012-06-15,93.0,73.0,87.0,69.0,74.0,0.0,22.0,0.0,0.0,29.58,6.1,17.0,6.6,2012,6,15,HZ,-,-
167,8,2012-06-16,93.0,72.0,87.0,70.0,74.0,0.0,22.0,0.0,0.0,29.64,3.4,14.0,3.8,2012,6,16,BR,-,-
168,8,2012-06-17,90.0,72.0,87.0,68.0,72.0,0.0,22.0,0.0,0.0,29.59,3.1,14.0,3.3,2012,6,17,BR HZ,-,-
169,8,2012-06-18,90.0,72.0,87.0,69.0,73.0,0.0,22.0,0.0,0.0,29.47,4.8,15.0,5.2,2012,6,18,HZ,-,-
170,8,2012-06-19,88.0,73.0,87.0,71.0,74.0,0.0,22.0,0.0,0.0,29.52,8.0,14.0,8.1,2012,6,19,VCTS,-,-
171,8,2012-06-20,88.0,73.0,87.0,70.0,73.0,0.0,22.0,0.0,0.05,29.57,5.4,15.0,6.3,2012,6,20,TS RA VCTS,-,-
172,8,2012-06-21,91.0,72.0,87.0,68.0,73.0,0.0,22.0,0.0,0.0,29.6,1.9,9.0,2.8,2012,6,21,BR HZ,-,-
