,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
17,12,2012-01-18,64.0,50.0,57.0,54.0,56.0,8.0,0.0,0.0,0.05,30.02,30.06,4.6,25.0,6.2,2012,1,18,RA BR,-,-
18,12,2012-01-19,64.0,34.0,49.0,33.0,42.0,16.0,0.0,0.0,0.0,30.08,30.14,2.3,35.0,3.5,2012,1,19, ,-,-
19,12,2012-01-20,76.0,38.0,57.0,46.0,52.0,8.0,0.0,0.0,0.0,30.11,30.16,5.0,18.0,5.5,2012,1,20, ,-,-
20,12,2012-01-21,73.0,50.0,62.0,53.0,58.0,3.0,0.0,0.0,0.0,30.05,30.09,6.8,20.0,7.2,2012,1,21, ,-,-
21,12,2012-01-22,73.0,52.0,63.0,59.0,60.0,2.0,0.0,0.0,0.0,30.07,30.13,2.7,6.0,5.5,2012,1,22,BR,-,-
22,12,2012-01-23,80.0,57.0,69.0,60.0,62.0,0.0,4.0,0.0,0.0,30.08,30.12,2.9,18.0,5.0,2012,1,23,FG+ FG BR,-,-
23,12,2012-01-24,80.0,57.0,69.0,59.0,61.0,0.0,4.0,0.0,0.0,30.09,30.15,1.1,16.0,3.1,2012,1,24,BR,-,-
24,12,2012-01-25,75.0,54.0,65.0,60.0,61.0,0.0,0.0,0.0,0.0,30.14,30.18,3.5,9.0,4.0,2012,1,25,FG+ FG BR,-,-
25,12,2012-01-26,82.0,56.0,69.0,62.0,64.0,0.0,4.0,0.0,0.0,30.0,30.03,5.9,17.0,6.3,2012,1,26,FG BR,-,-
26,12,2012-01-27,74.0,52.0,63.0,55.0,60.0,2.0,0.0,0.0,0.07,29.88,29.94,7.5,25.0,10.0,2012,1,27,RA BR,-,-
27,12,2012-01-28,71.0,42.0,57.0,43.0,49.0,8.0,0.0,0.0,0.0,30.08,30.14,2.7,33.0,3.3,2012,1,28,BR,-,-
28,12,2012-01-29,63.0,41.0,52.0,42.0,47.0,13.0,0.0,0.0,0.0,30.24,30.31,4.4,3.0,5.1,2012,1,29, ,-,-
29,12,2012-01-30,64.0,35.0,50.0,36.0,43.0,15.0,0.0,0.0,0.0,30.36,30.41,3.8,6.0,4.2,2012,1,30,BR,-,-
30,12,2012-01-31,70.0,40.0,55.0,48.0,51.0,10.0,0.0,0.0,0.0,30.32,30.37,3.8,7.0,3.9,2012,1,31, ,-,-
31,12,2012-02-01,76.0,52.0,64.0,55.0,59.0,1.0,0.0,0.0,0.0,30.2,30.23,3.0,14.0,3.5,2012,2,1, ,-,-
32,12,2012-02-02,79.0,54.0,67.0,58.0,61.0,0.0,2.0,0.0,0.01,30.11,30.16,1.0,31.0,3.5,2012,2,2,RA BR,-,-
33,12,2012-02-03,72.0,51.0,62.0,57.0,60.0,3.0,0.0,0.0,0.03,30.22,30.26,7.6,5.0,7.7,2012,2,3,FG BR,-,-
34,12,2012-02-04,76.0,54.0,65.0,57.0,60.0,0.0,0.0,0.0,0.0,30.16,30.18,4.4,14.0,4.5,2012,2,4,FG BR,-,-
35,12,2012-02-05,80.0,56.0,68.0,62.0,64.0,0.0,3.0,0.0,0.02,30.01,30.05,2.1,24.0,2.4,2012,2,5,FG+ BR,-,-
36,12,2012-02-06,66.0,58.0,62.0,59.0,60.0,3.0,0.0,0.0,0.0,30.04,30.1,7.0,2.0,7.6,2012,2,6,BR HZ,-,-
37,12,2012-02-07,64.0,53.0,59.0,53.0,56.0,6.0,0.0,0.0,0.0,30.06,30.11,7.0,3.0,7.1,2012,2,7,BR,-,-
38,12,2012-02-08,70.0,50.0,60.0,48.0,52.0,5.0,0.0,0.0,0.0,30.06,30.11,2.8,1.0,4.0,2012,2,8,BR,-,-
39,12,2012-02-09,68.0,47.0,58.0,46.0,51.0,7.0,0.0,0.0,0.0,30.12,30.18,5.7,2.0,6.9,2012,2,9, ,-,-
40,12,2012-02-10,75.0,54.0,65.0,57.0,59.0,0.0,0.0,0.0,0.02,30.01,30.04,1.4,3.0,3.6,2012,2,10,RA BR,-,-
41,12,2012-02-11,61.0,37.0,49.0,37.0,46.0,16.0,0.0,0.0,0.04,29.91,29.98,13.6,31.0,14.2,2012,2,11,RA BR HZ,-,-
42,12,2012-02-12,49.0,27.0,38.0,11.0,28.0,27.0,0.0,0.0,0.0,30.26,30.32,8.9,33.0,9.2,2012,2,12, ,-,-
43,12,2012-02-13,57.0,25.0,41.0,28.0,36.0,24.0,0.0,0.0,0.0,30.22,30.25,1.4,4.0,3.0,2012,2,13, ,-,-
44,12,2012-02-14,70.0,36.0,53.0,49.0,53.0,12.0,0.0,0.0,0.03,30.05,30.09,1.5,18.0,3.8,2012,2,14,RA BR,-,-
45,12,2012-02-15,68.0,60.0,64.0,60.0,61.0,1.0,0.0,0.0,0.13,30.11,30.17,1.9,5.0,2.4,2012,2,15,FG BR,-,-
46,12,2012-02-16,78.0,58.0,68.0,59.0,63.0,0.0,3.0,0.0,0.01,30.09,30.12,4.2,23.0,4.9,2012,2,16,RA FG BR,-,-
47,12,2012-02-17,67.0,60.0,64.0,61.0,62.0,1.0,0.0,0.0,0.02,29.99,30.04,2.1,5.0,4.9,2012,2,17,RA BR,-,-
48,12,2012-02-18,70.0,59.0,65.0,59.0,61.0,0.0,0.0,0.0,0.0,29.93,29.96,2.3,4.0,2.8,2012,2,18,BR,-,-
49,12,2012-02-19,82.0,61.0,72.0,59.0,64.0,0.0,7.0,0.0,0.04,29.73,29.78,11.4,24.0,13.3,2012,2,19, ,-,-
50,12,2012-02-20,61.0,51.0,56.0,42.0,48.0,9.0,0.0,0.0,0.0,30.07,30.16,7.3,1.0,9.6,2012,2,20, ,-,-
51,12,2012-02-21,70.0,45.0,58.0,50.0,54.0,7.0,0.0,0.0,0.0,30.15,30.19,0.4,21.0,2.7,2012,2,21, ,-,-
52,12,2012-02-22,76.0,48.0,62.0,56.0,59.0,3.0,0.0,0.0,0.05,29.96,29.97,5.8,22.0,6.3,2012,2,22,RA BR,-,-
53,12,2012-02-23,85.0,66.0,76.0,65.0,69.0,0.0,11.0,0.0,0.1,29.8,29.85,13.5,23.0,13.8,2012,2,23, ,-,-
54,12,2012-02-24,86.0,62.0,74.0,63.0,67.0,0.0,9.0,0.0,0.1,29.83,29.89,12.5,25.0,14.6,2012,2,24,RA BR,-,-
55,12,2012-02-25,62.0,46.0,54.0,27.0,44.0,11.0,0.0,0.0,0.0,30.14,30.21,9.3,34.0,10.0,2012,2,25, ,-,-
56,12,2012-02-26,60.0,44.0,52.0,47.0,51.0,13.0,0.0,0.0,0.27,30.29,30.35,4.8,3.0,5.1,2012,2,26,RA BR,-,-
57,12,2012-02-27,74.0,58.0,66.0,63.0,64.0,0.0,1.0,0.0,0.2,30.26,30.3,0.4,16.0,4.6,2012,2,27,RA BR,-,-
58,12,2012-02-28,70.0,61.0,66.0,60.0,62.0,0.0,1.0,0.0,0.0,30.26,30.3,3.9,4.0,4.7,2012,2,28,BR HZ,-,-
59,12,2012-02-29,85.0,56.0,71.0,62.0,65.0,0.0,6.0,0.0,0.0,30.14,30.16,4.3,22.0,5.1,2012,2,29,FG+ BR,-,-
60,12,2012-03-01,80.0,68.0,74.0,63.0,66.0,0.0,9.0,0.0,0.0,29.99,30.03,8.8,24.0,9.1,2012,3,1, ,-,-
61,12,2012-03-02,84.0,65.0,75.0,61.0,66.0,0.0,10.0,0.0,0.0,29.93,29.97,8.2,24.0,8.5,2012,3,2, ,-,-
62,12,2012-03-03,88.0,68.0,78.0,64.0,69.0,0.0,13.0,0.0,2.68,29.77,29.79,14.8,22.0,15.0,2012,3,3,RA,-,-
63,12,2012-03-04,75.0,39.0,57.0,37.0,47.0,8.0,0.0,0.0,0.48,29.86,29.96,11.9,31.0,13.1,2012,3,4,RA BR VCTS,-,-
64,12,2012-03-05,77.0,36.0,57.0,34.0,47.0,8.0,0.0,0.0,0.0,30.22,30.28,5.7,30.0,7.7,2012,3,5, ,-,-
65,12,2012-03-06,71.0,57.0,64.0,47.0,55.0,1.0,0.0,0.0,0.0,30.41,30.46,10.8,8.0,11.6,2012,3,6, ,-,-
66,12,2012-03-07,75.0,64.0,70.0,54.0,60.0,0.0,5.0,0.0,0.0,30.4,30.43,9.5,11.0,9.7,2012,3,7, ,-,-
67,12,2012-03-08,80.0,55.0,68.0,60.0,63.0,0.0,3.0,0.0,0.0,30.24,30.28,6.3,14.0,6.4,2012,3,8,BR,-,-
68,12,2012-03-09,83.0,57.0,70.0,62.0,65.0,0.0,5.0,0.0,0.0,30.11,30.16,1.6,25.0,6.0,2012,3,9,BCFG BR,-,-
69,12,2012-03-10,66.0,61.0,64.0,55.0,59.0,1.0,0.0,0.0,0.0,30.22,30.28,13.7,4.0,14.0,2012,3,10, ,-,-
70,12,2012-03-11,76.0,62.0,69.0,57.0,62.0,0.0,4.0,0.0,0.0,30.3,30.35,10.0,10.0,10.8,2012,3,11, ,-,-
71,12,2012-03-12,77.0,61.0,69.0,55.0,61.0,0.0,4.0,0.0,0.0,30.27,30.31,7.0,12.0,7.3,2012,3,12, ,-,-
72,12,2012-03-13,79.0,55.0,67.0,58.0,62.0,0.0,2.0,0.0,0.0,30.21,30.25,3.7,14.0,4.2,2012,3,13, ,-,-
73,12,2012-03-14,83.0,58.0,71.0,59.0,63.0,0.0,6.0,0.0,0.0,30.18,30.22,2.0,14.0,2.8,2012,3,14,RA,-,-
74,12,2012-03-15,80.0,55.0,68.0,61.0,63.0,0.0,3.0,0.0,0.0,30.2,30.25,4.0,10.0,4.6,2012,3,15,BR,-,-
75,12,2012-03-16,81.0,55.0,68.0,60.0,63.0,0.0,3.0,0.0,0.0,30.18,30.22,3.2,12.0,4.2,2012,3,16,FG+ FG BR,-,-
76,12,2012-03-17,83.0,55.0,69.0,59.0,63.0,0.0,4.0,0.0,0.0,30.17,30.22,3.0,15.0,3.9,2012,3,17,FG BR,-,-
77,12,2012-03-18,81.0,53.0,67.0,59.0,63.0,0.0,2.0,0.0,0.0,30.19,30.23,3.2,13.0,3.7,2012,3,18,FG BR,-,-
78,12,2012-03-19,82.0,56.0,69.0,59.0,62.0,0.0,4.0,0.0,0.0,30.14,30.17,2.4,12.0,2.9,2012,3,19,FG BR,-,-
79,12,2012-03-20,81.0,57.0,69.0,61.0,64.0,0.0,4.0,0.0,0.0,30.09,30.14,4.5,12.0,5.8,2012,3,20,FG+ BR,-,-
80,12,2012-03-21,80.0,60.0,70.0,64.0,66.0,0.0,5.0,0.0,0.02,30.11,30.16,7.6,12.0,8.1,2012,3,21,RA BR,-,-
81,12,2012-03-22,82.0,60.0,71.0,63.0,67.0,0.0,6.0,0.0,0.0,30.11,30.16,6.2,12.0,6.4,2012,3,22,FG BR,-,-
82,12,2012-03-23,87.0,58.0,73.0,62.0,66.0,0.0,8.0,0.0,1.33,30.05,30.08,3.5,15.0,5.0,2012,3,23,RA FG+ FG BR,-,-
83,12,2012-03-24,81.0,63.0,72.0,65.0,66.0,0.0,7.0,0.0,0.6,29.91,29.94,2.4,23.0,6.5,2012,3,24,RA BR,-,-
84,12,2012-03-25,79.0,56.0,68.0,52.0,60.0,0.0,3.0,0.0,0.0,29.8,29.84,8.8,30.0,10.4,2012,3,25, ,-,-
85,12,2012-03-26,78.0,55.0,67.0,53.0,59.0,0.0,2.0,0.0,0.0,29.9,29.96,2.6,4.0,5.8,2012,3,26,BR,-,-
86,12,2012-03-27,79.0,51.0,65.0,58.0,61.0,0.0,0.0,0.0,0.0,30.09,30.16,5.4,4.0,5.5,2012,3,27,FG BR,-,-
87,12,2012-03-28,81.0,55.0,68.0,60.0,63.0,0.0,3.0,0.0,0.0,30.11,30.15,4.1,15.0,4.7,2012,3,28,FG+ FG,-,-
88,12,2012-03-29,86.0,59.0,73.0,59.0,64.0,0.0,8.0,0.0,0.0,29.98,30.02,2.0,22.0,4.7,2012,3,29,BR,-,-
89,12,2012-03-30,85.0,57.0,71.0,60.0,64.0,0.0,6.0,0.0,0.0,29.96,30.0,2.8,16.0,3.8,2012,3,30, ,-,-
90,12,2012-03-31,74.0,63.0,69.0,63.0,65.0,0.0,4.0,0.0,0.82,29.87,29.9,3.3,22.0,4.3,2012,3,31,TSRA RA BR SQ,-,-
91,12,2012-04-01,87.0,63.0,75.0,61.0,66.0,0.0,10.0,0.0,0.0,29.82,29.87,4.0,30.0,4.9,2012,4,1,BR,-,-
92,12,2012-04-02,90.0,65.0,78.0,60.0,67.0,0.0,13.0,0.0,0.0,29.82,29.86,6.3,28.0,7.5,2012,4,2,BR,-,-
93,12,2012-04-03,88.0,67.0,78.0,64.0,68.0,0.0,13.0,0.0,0.06,29.88,29.93,1.2,11.0,5.6,2012,4,3,TS TSRA BR,-,-
94,12,2012-04-04,88.0,67.0,78.0,63.0,68.0,0.0,13.0,0.0,0.0,29.83,29.85,6.0,26.0,6.5,2012,4,4, ,-,-
95,12,2012-04-05,89.0,66.0,78.0,59.0,66.0,0.0,13.0,0.0,0.0,29.7,29.75,7.5,25.0,8.1,2012,4,5, ,-,-
96,12,2012-04-06,80.0,61.0,71.0,57.0,61.0,0.0,6.0,0.0,0.0,29.77,29.85,6.8,1.0,11.4,2012,4,6,RA,-,-
97,12,2012-04-07,72.0,54.0,63.0,45.0,55.0,2.0,0.0,0.0,0.0,30.11,30.17,9.3,6.0,9.4,2012,4,7, ,-,-
98,12,2012-04-08,76.0,46.0,61.0,46.0,54.0,4.0,0.0,0.0,0.0,30.13,30.16,2.0,14.0,4.0,2012,4,8,HZ,-,-
99,12,2012-04-09,82.0,55.0,69.0,55.0,60.0,0.0,4.0,0.0,0.0,30.02,30.05,0.3,22.0,4.6,2012,4,9,BR HZ FU,-,-
100,12,2012-04-10,80.0,57.0,69.0,50.0,59.0,0.0,4.0,0.0,0.0,29.98,30.02,2.7,6.0,4.6,2012,4,10,BR HZ FU,-,-
101,12,2012-04-11,82.0,60.0,71.0,48.0,58.0,0.0,6.0,0.0,0.0,29.96,30.0,5.2,33.0,6.1,2012,4,11,HZ,-,-
102,12,2012-04-12,71.0,54.0,63.0,51.0,57.0,2.0,0.0,0.0,0.0,30.05,30.11,8.7,4.0,9.5,2012,4,12, ,-,-
103,12,2012-04-13,76.0,60.0,68.0,57.0,62.0,0.0,3.0,0.0,0.0,30.11,30.16,9.0,6.0,9.4,2012,4,13, ,-,-
104,12,2012-04-14,80.0,63.0,72.0,60.0,65.0,0.0,7.0,0.0,0.13,30.18,30.23,7.6,15.0,8.6,2012,4,14,RA BR,-,-
105,12,2012-04-15,81.0,63.0,72.0,58.0,64.0,0.0,7.0,0.0,0.0,30.18,30.22,6.6,14.0,7.2,2012,4,15, ,-,-
106,12,2012-04-16,82.0,56.0,69.0,59.0,64.0,0.0,4.0,0.0,0.0,30.16,30.2,4.7,14.0,5.6,2012,4,16, ,-,-
107,12,2012-04-17,83.0,58.0,71.0,59.0,64.0,0.0,6.0,0.0,0.0,30.11,30.15,6.1,14.0,6.4,2012,4,17, ,-,-
108,12,2012-04-18,86.0,65.0,76.0,61.0,66.0,0.0,11.0,0.0,0.0,29.99,30.02,5.3,17.0,6.7,2012,4,18,RA,-,-
109,12,2012-04-19,82.0,65.0,74.0,65.0,68.0,0.0,9.0,0.0,0.06,29.91,29.94,1.9,11.0,3.4,2012,4,19,RA BR,-,-
110,12,2012-04-20,83.0,66.0,75.0,65.0,68.0,0.0,10.0,0.0,0.1,29.84,29.88,2.2,12.0,4.7,2012,4,20,FG BR,-,-
111,12,2012-04-21,81.0,66.0,74.0,65.0,68.0,0.0,9.0,0.0,0.15,29.72,29.73,4.0,14.0,5.2,2012,4,21,TS TSRA RA BR,-,-
112,12,2012-04-22,79.0,63.0,71.0,58.0,63.0,0.0,6.0,0.0,0.63,29.52,29.57,9.1,29.0,10.2,2012,4,22,RA BR,-,-
113,12,2012-04-23,71.0,54.0,63.0,35.0,49.0,2.0,0.0,0.0,0.0,29.72,29.78,13.4,30.0,13.5,2012,4,23, ,-,-
114,12,2012-04-24,74.0,50.0,62.0,32.0,49.0,3.0,0.0,0.0,0.0,29.9,29.95,9.6,29.0,10.6,2012,4,24, ,-,-
115,12,2012-04-25,84.0,50.0,67.0,46.0,57.0,0.0,2.0,0.0,0.0,29.99,30.05,7.5,25.0,8.2,2012,4,25, ,-,-
116,12,2012-04-26,90.0,54.0,72.0,53.0,62.0,0.0,7.0,0.0,0.0,30.01,30.06,8.7,24.0,9.2,2012,4,26, ,-,-
117,12,2012-04-27,89.0,61.0,75.0,60.0,65.0,0.0,10.0,0.0,0.0,30.03,30.08,5.3,21.0,7.1,2012,4,27, ,-,-
118,12,2012-04-28,89.0,60.0,75.0,62.0,67.0,0.0,10.0,0.0,0.0,30.04,30.09,4.0,14.0,5.1,2012,4,28,BR,-,-
119,12,2012-04-29,85.0,62.0,74.0,65.0,68.0,0.0,9.0,0.0,0.0,30.07,30.12,3.6,12.0,4.2,2012,4,29,FG+ BR,-,-
120,12,2012-04-30,84.0,62.0,73.0,66.0,69.0,0.0,8.0,0.0,0.0,30.09,30.14,5.1,11.0,5.1,2012,4,30,BR,-,-
121,12,2012-05-01,85.0,64.0,75.0,65.0,69.0,0.0,10.0,0.0,0.0,30.08,30.12,7.2,13.0,7.4,2012,5,1,BR,-,-
122,12,2012-05-02,85.0,64.0,75.0,66.0,70.0,0.0,10.0,0.0,0.0,30.07,30.11,7.5,13.0,7.7,2012,5,2,BR,-,-
123,12,2012-05-03,85.0,61.0,73.0,65.0,68.0,0.0,8.0,0.0,0.0,30.06,30.11,6.2,13.0,6.6,2012,5,3,BCFG BR,-,-
124,12,2012-05-04,88.0,64.0,76.0,66.0,70.0,0.0,11.0,0.0,0.0,30.03,30.06,4.0,16.0,4.9,2012,5,4, ,-,-
125,12,2012-05-05,92.0,66.0,79.0,64.0,70.0,0.0,14.0,0.0,0.0,29.93,29.96,2.5,19.0,5.9,2012,5,5, ,-,-
126,12,2012-05-06,96.0,72.0,84.0,65.0,70.0,0.0,19.0,0.0,0.01,29.87,29.92,2.6,31.0,6.6,2012,5,6,RA HZ,-,-
127,12,2012-05-07,85.0,70.0,78.0,68.0,71.0,0.0,13.0,0.0,0.0,29.88,29.92,5.9,7.0,6.4,2012,5,7, ,-,-
128,12,2012-05-08,84.0,65.0,75.0,67.0,70.0,0.0,10.0,0.0,0.1,29.85,29.9,2.7,11.0,3.5,2012,5,8,RA BR,-,-
129,12,2012-05-09,92.0,65.0,79.0,64.0,69.0,0.0,14.0,0.0,0.0,29.76,29.8,5.8,26.0,7.1,2012,5,9,TS BR,-,-
130,12,2012-05-10,80.0,60.0,70.0,58.0,63.0,0.0,5.0,0.0,0.0,29.8,29.86,3.6,3.0,7.2,2012,5,10, ,-,-
131,12,2012-05-11,84.0,53.0,69.0,56.0,62.0,0.0,4.0,0.0,0.0,29.99,30.06,5.3,10.0,6.4,2012,5,11,HZ FU,-,-
132,12,2012-05-12,83.0,65.0,74.0,57.0,64.0,0.0,9.0,0.0,0.0,30.15,30.2,8.6,12.0,8.7,2012,5,12, ,-,-
133,12,2012-05-13,82.0,63.0,73.0,62.0,67.0,0.0,8.0,0.0,0.0,30.09,30.12,6.7,15.0,6.9,2012,5,13, ,-,-
134,12,2012-05-14,88.0,67.0,78.0,65.0,69.0,0.0,13.0,0.0,1.15,29.96,30.0,4.8,18.0,7.3,2012,5,14,TS TSRA RA BR,-,-
135,12,2012-05-15,85.0,65.0,75.0,68.0,70.0,0.0,10.0,0.0,0.95,29.93,29.98,2.5,16.0,4.3,2012,5,15,TS TSRA RA BCFG BR,-,-
136,12,2012-05-16,81.0,71.0,76.0,67.0,70.0,0.0,11.0,0.0,0.06,29.92,29.97,4.1,23.0,5.3,2012,5,16,RA,-,-
137,12,2012-05-17,84.0,66.0,75.0,65.0,68.0,0.0,10.0,0.0,0.1,29.87,29.91,0.6,11.0,3.2,2012,5,17,TS RA,-,-
138,12,2012-05-18,80.0,65.0,73.0,65.0,67.0,0.0,8.0,0.0,0.04,29.9,29.95,5.1,2.0,6.8,2012,5,18,TS FG+ BR HZ,-,-
139,12,2012-05-19,81.0,64.0,73.0,62.0,66.0,0.0,8.0,0.0,0.0,29.96,30.01,6.9,3.0,7.9,2012,5,19, ,-,-
140,12,2012-05-20,82.0,56.0,69.0,55.0,61.0,0.0,4.0,0.0,0.0,29.96,30.0,6.3,34.0,6.9,2012,5,20,RA,-,-
141,12,2012-05-21,84.0,66.0,75.0,64.0,68.0,0.0,10.0,0.0,0.0,29.91,29.96,3.2,35.0,7.1,2012,5,21, ,-,-
142,12,2012-05-22,90.0,65.0,78.0,62.0,68.0,0.0,13.0,0.0,0.02,29.86,29.9,4.3,21.0,5.8,2012,5,22, ,-,-
143,12,2012-05-23,92.0,63.0,78.0,66.0,70.0,0.0,13.0,0.0,0.0,29.84,29.89,2.9,17.0,6.5,2012,5,23,BR,-,-
144,12,2012-05-24,88.0,71.0,80.0,70.0,73.0,0.0,15.0,0.0,0.0,29.89,29.94,5.0,11.0,5.8,2012,5,24, ,-,-
145,12,2012-05-25,87.0,68.0,78.0,68.0,71.0,0.0,13.0,0.0,0.0,29.98,30.03,4.7,4.0,5.0,2012,5,25,BR,-,-
146,12,2012-05-26,92.0,66.0,79.0,65.0,70.0,0.0,14.0,0.0,0.0,29.99,30.03,4.3,3.0,5.5,2012,5,26,FU,-,-
147,12,2012-05-27,85.0,71.0,78.0,69.0,72.0,0.0,13.0,0.0,0.84,29.81,29.8,13.6,36.0,14.9,2012,5,27,RA BR,-,-
148,12,2012-05-28,87.0,71.0,79.0,69.0,72.0,0.0,14.0,0.0,2.68,29.68,29.78,14.4,16.0,15.1,2012,5,28,RA BR,-,-
149,12,2012-05-29,81.0,71.0,76.0,71.0,72.0,0.0,11.0,0.0,0.73,29.8,29.82,10.2,20.0,10.8,2012,5,29,RA BR,-,-
150,12,2012-05-30,91.0,74.0,83.0,71.0,74.0,0.0,18.0,0.0,0.02,29.77,29.82,2.4,25.0,7.1,2012,5,30,BR,-,-
151,12,2012-05-31,90.0,70.0,80.0,70.0,72.0,0.0,15.0,0.0,0.77,29.82,29.87,3.3,18.0,4.7,2012,5,31,TSRA BR,-,-
152,12,2012-06-01,84.0,72.0,78.0,69.0,72.0,0.0,13.0,0.0,0.15,29.83,29.87,7.5,22.0,7.6,2012,6,1,RA BR,-,-
153,12,2012-06-02,90.0,68.0,79.0,63.0,69.0,0.0,14.0,0.0,0.0,29.83,29.89,6.8,28.0,7.7,2012,6,2, ,-,-
154,12,2012-06-03,91.0,64.0,78.0,59.0,66.0,0.0,13.0,0.0,0.0,29.93,29.97,2.0,32.0,5.2,2012,6,3, ,-,-
155,12,2012-06-04,95.0,75.0,85.0,63.0,71.0,0.0,20.0,0.0,0.1,29.81,29.85,10.0,27.0,10.3,2012,6,4,RA VCTS,-,-
156,12,2012-06-05,94.0,70.0,82.0,69.0,73.0,0.0,17.0,0.0,1.12,29.75,29.79,3.6,26.0,8.0,2012,6,5,TS TSRA RA BR VCTS,-,-
157,12,2012-06-06,89.0,69.0,79.0,70.0,72.0,0.0,14.0,0.0,2.4,29.8,29.85,5.6,23.0,9.2,2012,6,6,TS RA BR,-,-
158,12,2012-06-07,83.0,72.0,78.0,71.0,72.0,0.0,13.0,0.0,5.12,29.89,29.94,3.3,9.0,4.2,2012,6,7,RA BR,-,-
159,12,2012-06-08,80.0,72.0,76.0,67.0,70.0,0.0,11.0,0.0,0.11,29.92,29.98,6.3,6.0,7.5,2012,6,8, ,-,-
160,12,2012-06-09,81.0,73.0,77.0,70.0,72.0,0.0,12.0,0.0,2.91,29.96,30.01,6.6,12.0,7.9,2012,6,9,RA BR,-,-
161,12,2012-06-10,86.0,74.0,80.0,74.0,75.0,0.0,15.0,0.0,0.04,30.01,30.07,5.5,15.0,5.9,2012,6,10,TSRA RA,-,-
162,12,2012-06-11,91.0,73.0,82.0,72.0,74.0,0.0,17.0,0.0,0.31,30.04,30.09,5.7,15.0,6.5,2012,6,11,TS TSRA,-,-
163,12,2012-06-12,92.0,73.0,83.0,70.0,73.0,0.0,18.0,0.0,0.12,29.96,30.0,5.6,21.0,7.6,2012,6,12,TS TSRA,-,-
164,12,2012-06-13,92.0,76.0,84.0,72.0,75.0,0.0,19.0,0.0,0.0,29.86,29.91,1.0,24.0,5.5,2012,6,13, ,-,-
165,12,2012-06-14,86.0,75.0,81.0,72.0,75.0,0.0,16.0,0.0,0.01,29.93,29.99,7.3,6.0,7.9,2012,6,14,TS TSRA,-,-
166,12,2012-06-15,82.0,74.0,78.0,65.0,70.0,0.0,13.0,0.0,0.0,30.01,30.06,9.5,6.0,9.7,2012,6,15, ,-,-
