,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,day,codesum,sunrise,sunset
12,10,2012-01-13,65.0,43.0,54.0,23.0,39.0,11.0,0.0,0.0,30.06,30.12,8.6,29.0,9.3,2012,1,13, ,0724,1747
13,10,2012-01-14,57.0,37.0,47.0,21.0,37.0,18.0,0.0,0.0,30.27,30.31,7.3,31.0,8.4,2012,1,14, ,0724,1748
14,10,2012-01-15,65.0,38.0,52.0,29.0,41.0,13.0,0.0,0.0,30.36,30.41,5.2,31.0,7.6,2012,1,15, ,0724,1749
15,10,2012-01-16,68.0,42.0,55.0,44.0,50.0,10.0,0.0,0.0,30.42,30.44,3.1,7.0,5.6,2012,1,16, ,0724,1749
16,10,2012-01-17,76.0,51.0,64.0,50.0,56.0,1.0,0.0,0.0,30.24,30.24,4.1,22.0,5.0,2012,1,17, ,0723,1750
17,10,2012-01-18,64.0,53.0,59.0,54.0,57.0,6.0,0.0,0.12,30.03,30.05,4.5,24.0,6.5,2012,1,18,RA BR,0723,1751
18,10,2012-01-19,65.0,44.0,55.0,33.0,45.0,10.0,0.0,0.0,30.1,30.14,3.5,36.0,6.9,2012,1,19, ,0723,1752
19,10,2012-01-20,75.0,45.0,60.0,46.0,53.0,5.0,0.0,0.0,30.12,30.15,5.8,18.0,6.2,2012,1,20, ,0723,1753
20,10,2012-01-21,73.0,58.0,66.0,53.0,58.0,0.0,1.0,0.0,30.06,30.09,7.2,19.0,7.7,2012,1,21, ,0722,1754
21,10,2012-01-22,75.0,57.0,66.0,58.0,61.0,0.0,1.0,0.0,30.08,30.12,2.4,6.0,5.0,2012,1,22,BR,0722,1755
22,10,2012-01-23,79.0,61.0,70.0,59.0,63.0,0.0,5.0,0.0,30.09,30.11,2.9,16.0,4.7,2012,1,23,FG+ FG BR,0722,1756
23,10,2012-01-24,81.0,62.0,72.0,59.0,63.0,0.0,7.0,0.0,30.11,30.15,2.7,15.0,4.4,2012,1,24,BCFG BR,0721,1756
24,10,2012-01-25,77.0,61.0,69.0,61.0,63.0,0.0,4.0,0.0,30.14,30.17,3.4,9.0,3.6,2012,1,25,FG+ BR,0721,1757
25,10,2012-01-26,81.0,63.0,72.0,61.0,65.0,0.0,7.0,0.01,30.01,30.02,6.6,17.0,6.9,2012,1,26,MIFG,0720,1758
26,10,2012-01-27,73.0,58.0,66.0,54.0,60.0,0.0,1.0,0.08,29.9,29.94,8.8,24.0,11.8,2012,1,27,RA DZ BR,0720,1759
27,10,2012-01-28,72.0,47.0,60.0,43.0,51.0,5.0,0.0,0.0,30.09,30.14,2.2,29.0,3.4,2012,1,28, ,0720,1760
28,10,2012-01-29,66.0,46.0,56.0,42.0,49.0,9.0,0.0,0.0,30.26,30.3,7.0,1.0,8.3,2012,1,29, ,0719,1801
29,10,2012-01-30,66.0,45.0,56.0,37.0,47.0,9.0,0.0,0.0,30.37,30.4,5.7,3.0,7.2,2012,1,30, ,0719,1802
30,10,2012-01-31,73.0,48.0,61.0,50.0,55.0,4.0,0.0,0.0,30.34,30.35,5.0,6.0,6.0,2012,1,31, ,0718,1802
31,10,2012-02-01,77.0,60.0,69.0,56.0,61.0,0.0,4.0,0.01,30.21,30.22,4.3,16.0,5.1,2012,2,1, ,0717,1803
32,10,2012-02-02,78.0,63.0,71.0,58.0,62.0,0.0,6.0,0.01,30.13,30.16,1.5,31.0,4.3,2012,2,2,MIFG,0717,1804
33,10,2012-02-03,74.0,60.0,67.0,57.0,61.0,0.0,2.0,0.0,30.22,30.25,6.9,4.0,7.3,2012,2,3,MIFG,0716,1805
34,10,2012-02-04,76.0,61.0,69.0,59.0,62.0,0.0,4.0,0.0,30.17,30.18,4.9,11.0,6.3,2012,2,4,MIFG,0716,1806
35,10,2012-02-05,81.0,61.0,71.0,61.0,65.0,0.0,6.0,0.0,30.03,30.05,1.6,21.0,4.0,2012,2,5,BR,0715,1807
36,10,2012-02-06,71.0,59.0,65.0,58.0,61.0,0.0,0.0,0.0,30.06,30.09,9.2,3.0,9.7,2012,2,6,BR HZ,0714,1808
37,10,2012-02-07,67.0,58.0,63.0,53.0,56.0,2.0,0.0,0.0,30.08,30.1,8.7,3.0,8.9,2012,2,7,HZ,0713,1808
38,10,2012-02-08,73.0,53.0,63.0,47.0,53.0,2.0,0.0,0.0,30.08,30.11,6.2,36.0,7.1,2012,2,8, ,0713,1809
39,10,2012-02-09,68.0,50.0,59.0,44.0,51.0,6.0,0.0,0.0,30.14,30.17,9.9,1.0,10.8,2012,2,9, ,0712,1810
40,10,2012-02-10,75.0,56.0,66.0,56.0,59.0,0.0,1.0,0.02,30.03,30.03,2.8,1.0,5.7,2012,2,10,RA BR,0711,1811
41,10,2012-02-11,61.0,39.0,50.0,36.0,46.0,15.0,0.0,0.03,29.93,29.98,12.9,31.0,13.3,2012,2,11,RA BR HZ,0710,1812
42,10,2012-02-12,50.0,30.0,40.0,10.0,30.0,25.0,0.0,0.0,30.27,30.31,9.4,33.0,10.0,2012,2,12, ,0710,1813
43,10,2012-02-13,60.0,31.0,46.0,27.0,39.0,19.0,0.0,0.0,30.23,30.24,1.1,6.0,4.9,2012,2,13, ,0709,1813
44,10,2012-02-14,74.0,49.0,62.0,50.0,55.0,3.0,0.0,0.01,30.06,30.08,4.2,17.0,5.7,2012,2,14,RA BR,0708,1814
45,10,2012-02-15,71.0,61.0,66.0,59.0,61.0,0.0,1.0,0.18,30.12,30.16,2.8,5.0,3.9,2012,2,15,RA BR,0707,1815
46,10,2012-02-16,78.0,61.0,70.0,59.0,63.0,0.0,5.0,0.0,30.11,30.11,4.0,22.0,5.8,2012,2,16,BR,0706,1816
47,10,2012-02-17,68.0,61.0,65.0,61.0,63.0,0.0,0.0,0.06,30.01,30.04,2.3,5.0,4.4,2012,2,17,RA BR HZ,0705,1817
48,10,2012-02-18,71.0,60.0,66.0,59.0,61.0,0.0,1.0,0.0,29.95,29.96,2.5,3.0,3.8,2012,2,18,BR,0704,1817
49,10,2012-02-19,83.0,62.0,73.0,58.0,63.0,0.0,8.0,0.71,29.75,29.78,12.7,23.0,14.9,2012,2,19,RA,0703,1818
50,10,2012-02-20,62.0,52.0,57.0,41.0,48.0,8.0,0.0,0.0,30.09,30.15,10.0,1.0,12.2,2012,2,20, ,0702,1819
51,10,2012-02-21,69.0,54.0,62.0,50.0,55.0,3.0,0.0,0.0,30.16,30.19,1.4,10.0,5.7,2012,2,21, ,0701,1820
52,10,2012-02-22,77.0,55.0,66.0,56.0,60.0,0.0,1.0,0.14,29.97,29.97,5.5,21.0,6.4,2012,2,22,TSRA RA,0700,1820
53,10,2012-02-23,84.0,67.0,76.0,65.0,68.0,0.0,11.0,0.02,29.82,29.84,13.5,23.0,13.8,2012,2,23, ,0659,1821
54,10,2012-02-24,86.0,62.0,74.0,62.0,67.0,0.0,9.0,0.1,29.85,29.89,15.3,24.0,17.5,2012,2,24,RA,0658,1822
55,10,2012-02-25,63.0,55.0,59.0,26.0,45.0,6.0,0.0,0.0,30.16,30.21,10.5,34.0,11.5,2012,2,25, ,0657,1823
56,10,2012-02-26,60.0,52.0,56.0,44.0,51.0,9.0,0.0,0.17,30.31,30.34,7.7,2.0,8.9,2012,2,26,RA BR,0656,1823
57,10,2012-02-27,74.0,58.0,66.0,62.0,64.0,0.0,1.0,0.13,30.27,30.3,1.3,35.0,3.9,2012,2,27,RA BR,0655,1824
58,10,2012-02-28,73.0,63.0,68.0,60.0,62.0,0.0,3.0,0.0,30.27,30.29,6.1,2.0,6.6,2012,2,28,BR,0654,1825
59,10,2012-02-29,86.0,62.0,74.0,61.0,65.0,0.0,9.0,0.0,30.15,30.15,5.0,21.0,6.9,2012,2,29,FG+ FG BR,0650,1823
60,10,2012-03-01,81.0,69.0,75.0,62.0,66.0,0.0,10.0,0.0,30.01,30.03,10.1,24.0,10.7,2012,3,1, ,0653,1825
61,10,2012-03-02,83.0,67.0,75.0,61.0,66.0,0.0,10.0,0.0,29.96,29.97,7.5,22.0,8.2,2012,3,2, ,0652,1826
62,10,2012-03-03,88.0,69.0,79.0,64.0,69.0,0.0,14.0,0.02,29.78,29.79,14.3,21.0,14.7,2012,3,3, ,0651,1827
63,10,2012-03-04,76.0,50.0,63.0,35.0,48.0,2.0,0.0,0.45,29.88,29.96,11.7,31.0,13.9,2012,3,4,RA BR,0650,1827
64,10,2012-03-05,78.0,44.0,61.0,33.0,48.0,4.0,0.0,0.0,30.24,30.28,8.1,28.0,10.9,2012,3,5, ,0649,1828
65,10,2012-03-06,72.0,53.0,63.0,46.0,55.0,2.0,0.0,0.0,30.42,30.45,11.7,8.0,13.8,2012,3,6, ,0647,1829
66,10,2012-03-07,75.0,65.0,70.0,52.0,60.0,0.0,5.0,0.0,30.4,30.41,12.2,11.0,12.5,2012,3,7, ,0646,1830
67,10,2012-03-08,80.0,62.0,71.0,60.0,64.0,0.0,6.0,0.02,30.26,30.27,5.3,14.0,5.8,2012,3,8,RA MIFG,0645,1830
68,10,2012-03-09,84.0,65.0,75.0,61.0,66.0,0.0,10.0,0.0,30.12,30.16,1.5,20.0,7.5,2012,3,9, ,0644,1831
69,10,2012-03-10,67.0,62.0,65.0,54.0,59.0,0.0,0.0,0.0,30.23,30.27,17.0,4.0,17.1,2012,3,10, ,0643,1832
70,10,2012-03-11,75.0,63.0,69.0,56.0,62.0,0.0,4.0,0.0,30.3,30.33,12.3,9.0,13.3,2012,3,11, ,0642,1832
71,10,2012-03-12,77.0,66.0,72.0,55.0,62.0,0.0,7.0,0.0,30.28,30.3,9.6,11.0,9.8,2012,3,12, ,0640,1833
72,10,2012-03-13,81.0,61.0,71.0,57.0,63.0,0.0,6.0,0.0,30.22,30.24,3.7,12.0,4.4,2012,3,13, ,0639,1833
73,10,2012-03-14,85.0,64.0,75.0,59.0,64.0,0.0,10.0,0.0,30.19,30.22,3.9,13.0,4.9,2012,3,14,TS,0638,1834
74,10,2012-03-15,83.0,63.0,73.0,61.0,66.0,0.0,8.0,0.0,30.21,30.24,4.0,10.0,5.3,2012,3,15,MIFG,0637,1835
75,10,2012-03-16,85.0,62.0,74.0,60.0,65.0,0.0,9.0,0.0,30.19,30.22,3.8,14.0,5.3,2012,3,16,BR HZ,0636,1835
76,10,2012-03-17,86.0,64.0,75.0,59.0,65.0,0.0,10.0,0.0,30.19,30.21,4.6,15.0,5.2,2012,3,17,MIFG,0635,1836
77,10,2012-03-18,84.0,62.0,73.0,59.0,65.0,0.0,8.0,0.0,30.19,30.22,4.1,14.0,5.7,2012,3,18, ,0633,1837
78,10,2012-03-19,85.0,63.0,74.0,60.0,65.0,0.0,9.0,0.0,30.14,30.16,3.8,12.0,5.8,2012,3,19, ,0632,1837
79,10,2012-03-20,82.0,66.0,74.0,62.0,66.0,0.0,9.0,0.0,30.09,30.13,7.7,11.0,7.8,2012,3,20,BCFG,0631,1838
80,10,2012-03-21,82.0,69.0,76.0,63.0,67.0,0.0,11.0,0.0,30.12,30.15,9.2,12.0,9.9,2012,3,21,RA,0630,1839
81,10,2012-03-22,84.0,70.0,77.0,63.0,68.0,0.0,12.0,0.0,30.12,30.15,7.4,13.0,8.1,2012,3,22, ,0628,1839
82,10,2012-03-23,88.0,68.0,78.0,64.0,68.0,0.0,13.0,1.18,30.06,30.07,6.7,15.0,7.5,2012,3,23,TS,0627,1840
83,10,2012-03-24,82.0,67.0,75.0,64.0,67.0,0.0,10.0,0.52,29.92,29.93,6.5,22.0,7.4,2012,3,24,TSRA BR,0626,1840
84,10,2012-03-25,80.0,64.0,72.0,51.0,60.0,0.0,7.0,0.0,29.82,29.84,9.9,29.0,10.6,2012,3,25, ,0625,1841
85,10,2012-03-26,81.0,56.0,69.0,51.0,60.0,0.0,4.0,0.0,29.91,29.95,1.7,5.0,7.0,2012,3,26, ,0624,1842
86,10,2012-03-27,82.0,62.0,72.0,58.0,63.0,0.0,7.0,0.0,30.1,30.15,4.9,3.0,6.6,2012,3,27,HZ,0622,1842
87,10,2012-03-28,84.0,61.0,73.0,59.0,64.0,0.0,8.0,0.0,30.13,30.14,4.4,15.0,5.8,2012,3,28,FG+ BR HZ,0621,1843
88,10,2012-03-29,87.0,66.0,77.0,58.0,65.0,0.0,12.0,0.0,30.0,30.02,4.6,18.0,6.5,2012,3,29, ,0620,1844
89,10,2012-03-30,87.0,66.0,77.0,59.0,65.0,0.0,12.0,0.0,29.97,29.99,5.0,17.0,5.8,2012,3,30, ,0619,1844
90,10,2012-03-31,76.0,66.0,71.0,62.0,65.0,0.0,6.0,1.3,29.88,29.9,5.3,22.0,6.9,2012,3,31,TS TSRA RA,0618,1845
91,10,2012-04-01,88.0,63.0,76.0,59.0,65.0,0.0,11.0,0.01,29.83,29.86,6.7,27.0,7.4,2012,4,1, ,0616,1845
92,10,2012-04-02,92.0,67.0,80.0,58.0,66.0,0.0,15.0,0.01,29.83,29.86,8.0,27.0,8.6,2012,4,2, ,0615,1846
93,10,2012-04-03,90.0,69.0,80.0,64.0,69.0,0.0,15.0,0.0,29.9,29.92,1.5,13.0,6.4,2012,4,3,TS,0614,1847
94,10,2012-04-04,90.0,71.0,81.0,62.0,68.0,0.0,16.0,0.15,29.85,29.85,7.5,25.0,8.3,2012,4,4, ,0613,1847
95,10,2012-04-05,90.0,70.0,80.0,59.0,66.0,0.0,15.0,0.01,29.72,29.75,8.4,25.0,9.8,2012,4,5,RA,0612,1848
96,10,2012-04-06,82.0,62.0,72.0,56.0,62.0,0.0,7.0,0.0,29.78,29.84,8.0,1.0,13.8,2012,4,6, ,0610,1848
97,10,2012-04-07,74.0,63.0,69.0,46.0,56.0,0.0,4.0,0.0,30.12,30.16,11.2,5.0,11.8,2012,4,7, ,0609,1849
98,10,2012-04-08,78.0,57.0,68.0,48.0,58.0,0.0,3.0,0.0,30.14,30.16,2.9,13.0,6.1,2012,4,8, ,0608,1850
99,10,2012-04-09,83.0,60.0,72.0,54.0,61.0,0.0,7.0,0.0,30.03,30.05,2.3,19.0,6.4,2012,4,9,FU,0607,1850
100,10,2012-04-10,85.0,66.0,76.0,50.0,60.0,0.0,11.0,0.0,29.99,30.01,1.4,5.0,7.3,2012,4,10,FU,0606,1851
101,10,2012-04-11,81.0,64.0,73.0,46.0,58.0,0.0,8.0,0.0,29.98,30.0,6.8,31.0,8.2,2012,4,11,FU,0605,1852
102,10,2012-04-12,72.0,59.0,66.0,50.0,58.0,0.0,1.0,0.0,30.06,30.1,12.1,2.0,13.2,2012,4,12, ,0603,1852
103,10,2012-04-13,78.0,64.0,71.0,56.0,62.0,0.0,6.0,0.0,30.11,30.15,10.3,6.0,11.0,2012,4,13, ,0602,1853
104,10,2012-04-14,82.0,68.0,75.0,59.0,65.0,0.0,10.0,0.0,30.19,30.22,9.0,14.0,10.7,2012,4,14, ,0601,1853
105,10,2012-04-15,84.0,69.0,77.0,57.0,64.0,0.0,12.0,0.0,30.19,30.21,9.0,14.0,10.3,2012,4,15, ,0600,1854
106,10,2012-04-16,86.0,66.0,76.0,58.0,65.0,0.0,11.0,0.0,30.18,30.19,7.3,15.0,8.5,2012,4,16, ,0559,1855
107,10,2012-04-17,85.0,68.0,77.0,59.0,65.0,0.0,12.0,0.0,30.12,30.14,7.4,16.0,8.7,2012,4,17, ,0558,1855
108,10,2012-04-18,87.0,71.0,79.0,60.0,67.0,0.0,14.0,0.02,30.01,30.02,5.9,17.0,9.4,2012,4,18, ,0557,1856
109,10,2012-04-19,79.0,67.0,73.0,65.0,68.0,0.0,8.0,0.08,29.92,29.94,2.9,12.0,4.7,2012,4,19,RA BR HZ,0556,1857
110,10,2012-04-20,88.0,71.0,80.0,62.0,68.0,0.0,15.0,0.0,29.85,29.87,3.1,16.0,7.0,2012,4,20, ,0555,1857
111,10,2012-04-21,82.0,67.0,75.0,64.0,68.0,0.0,10.0,0.33,29.73,29.73,4.6,15.0,7.2,2012,4,21,RA,0554,1858
112,10,2012-04-22,79.0,66.0,73.0,57.0,63.0,0.0,8.0,0.35,29.54,29.57,8.7,28.0,9.7,2012,4,22,RA BR,0553,1858
113,10,2012-04-23,71.0,55.0,63.0,35.0,50.0,2.0,0.0,0.0,29.73,29.78,12.3,29.0,12.6,2012,4,23, ,0552,1859
114,10,2012-04-24,75.0,50.0,63.0,32.0,49.0,2.0,0.0,0.0,29.91,29.95,9.5,29.0,10.3,2012,4,24, ,0551,1860
115,10,2012-04-25,85.0,55.0,70.0,46.0,57.0,0.0,5.0,0.0,30.01,30.04,9.6,24.0,10.0,2012,4,25, ,0550,1900
116,10,2012-04-26,92.0,61.0,77.0,53.0,62.0,0.0,12.0,0.0,30.03,30.06,9.9,25.0,10.4,2012,4,26, ,0549,1900
117,10,2012-04-27,90.0,64.0,77.0,59.0,66.0,0.0,12.0,0.0,30.05,30.07,4.3,20.0,7.7,2012,4,27, ,0548,1901
118,10,2012-04-28,91.0,66.0,79.0,61.0,67.0,0.0,14.0,0.0,30.06,30.08,4.6,13.0,6.6,2012,4,28, ,0547,1902
119,10,2012-04-29,89.0,72.0,81.0,65.0,70.0,0.0,16.0,0.0,30.08,30.11,6.2,13.0,7.1,2012,4,29, ,0546,1902
120,10,2012-04-30,87.0,72.0,80.0,67.0,71.0,0.0,15.0,0.0,30.1,30.13,8.4,10.0,8.6,2012,4,30, ,0545,1903
121,10,2012-05-01,88.0,73.0,81.0,66.0,70.0,0.0,16.0,0.0,30.09,30.11,9.7,11.0,9.9,2012,5,1, ,0544,1904
122,10,2012-05-02,87.0,73.0,80.0,66.0,70.0,0.0,15.0,0.0,30.08,30.1,9.1,13.0,9.7,2012,5,2, ,0543,1904
123,10,2012-05-03,88.0,73.0,81.0,64.0,70.0,0.0,16.0,0.0,30.09,30.1,8.2,14.0,9.4,2012,5,3, ,0542,1905
124,10,2012-05-04,92.0,74.0,83.0,65.0,70.0,0.0,18.0,0.0,30.03,30.05,6.7,16.0,7.9,2012,5,4, ,0541,1906
125,10,2012-05-05,94.0,72.0,83.0,64.0,70.0,0.0,18.0,0.0,29.94,29.96,4.8,18.0,7.4,2012,5,5, ,0540,1906
126,10,2012-05-06,96.0,72.0,84.0,63.0,69.0,0.0,19.0,0.07,29.88,29.91,3.5,29.0,8.6,2012,5,6,TS RA HZ FU,0540,1907
127,10,2012-05-07,87.0,71.0,79.0,68.0,71.0,0.0,14.0,0.48,29.88,29.91,5.9,6.0,6.2,2012,5,7,TS TSRA RA,0539,1908
128,10,2012-05-08,87.0,72.0,80.0,67.0,71.0,0.0,15.0,1.45,29.86,29.89,2.5,10.0,5.6,2012,5,8,TS,0538,1908
129,10,2012-05-09,92.0,69.0,81.0,65.0,70.0,0.0,16.0,0.15,29.78,29.8,7.5,26.0,8.3,2012,5,9, ,0537,1909
130,10,2012-05-10,82.0,63.0,73.0,58.0,64.0,0.0,8.0,0.0,29.82,29.86,3.2,3.0,8.1,2012,5,10, ,0537,1910
131,10,2012-05-11,86.0,65.0,76.0,57.0,64.0,0.0,11.0,0.0,30.01,30.05,5.6,9.0,8.2,2012,5,11,MIFG FU,0536,1910
132,10,2012-05-12,85.0,73.0,79.0,57.0,65.0,0.0,14.0,0.0,30.16,30.18,12.4,10.0,12.5,2012,5,12, ,0535,1911
133,10,2012-05-13,83.0,73.0,78.0,62.0,68.0,0.0,13.0,0.0,30.09,30.11,9.6,14.0,10.1,2012,5,13,RA,0535,1912
134,10,2012-05-14,86.0,69.0,78.0,66.0,70.0,0.0,13.0,2.84,29.98,30.0,7.6,17.0,8.6,2012,5,14,TS TSRA,0534,1912
135,10,2012-05-15,83.0,69.0,76.0,67.0,70.0,0.0,11.0,0.26,29.95,29.98,3.1,19.0,5.4,2012,5,15,TS RA,0533,1913
136,10,2012-05-16,79.0,71.0,75.0,67.0,70.0,0.0,10.0,0.09,29.93,29.96,4.9,21.0,6.2,2012,5,16,RA,0533,1913
137,10,2012-05-17,82.0,69.0,76.0,66.0,69.0,0.0,11.0,0.47,29.88,29.91,1.0,19.0,4.7,2012,5,17,TS FU,0532,1914
138,10,2012-05-18,82.0,67.0,75.0,64.0,68.0,0.0,10.0,0.05,29.91,29.94,7.1,1.0,8.4,2012,5,18,RA FG BR HZ,0531,1915
139,10,2012-05-19,83.0,70.0,77.0,61.0,66.0,0.0,12.0,0.0,29.96,30.0,9.9,2.0,11.0,2012,5,19, ,0531,1915
140,10,2012-05-20,85.0,65.0,75.0,54.0,62.0,0.0,10.0,0.0,29.97,29.99,8.4,35.0,9.6,2012,5,20, ,0530,1916
141,10,2012-05-21,87.0,68.0,78.0,62.0,67.0,0.0,13.0,0.0,29.93,29.95,2.6,1.0,8.5,2012,5,21, ,0530,1917
142,10,2012-05-22,90.0,71.0,81.0,62.0,68.0,0.0,16.0,0.0,29.88,29.9,7.5,20.0,8.3,2012,5,22,TSRA,0529,1917
143,10,2012-05-23,93.0,69.0,81.0,64.0,70.0,0.0,16.0,0.21,29.85,29.88,4.2,16.0,7.6,2012,5,23,RA,0529,1918
144,10,2012-05-24,91.0,76.0,84.0,69.0,73.0,0.0,19.0,0.0,29.9,29.92,6.8,11.0,7.9,2012,5,24, ,0528,1919
145,10,2012-05-25,90.0,75.0,83.0,67.0,72.0,0.0,18.0,0.0,29.99,30.02,7.1,3.0,8.1,2012,5,25,BR,0528,1919
146,10,2012-05-26,94.0,72.0,83.0,65.0,71.0,0.0,18.0,0.0,30.0,30.02,4.5,4.0,6.3,2012,5,26,FU,0528,1920
147,10,2012-05-27,87.0,73.0,80.0,68.0,72.0,0.0,15.0,0.63,29.83,29.8,19.4,35.0,21.1,2012,5,27,RA BR,0527,1920
148,10,2012-05-28,86.0,72.0,79.0,70.0,72.0,0.0,14.0,2.15,29.67,29.75,19.4,16.0,20.1,2012,5,28,RA BR,0527,1921
149,10,2012-05-29,83.0,74.0,79.0,69.0,72.0,0.0,14.0,1.09,29.8,29.82,14.3,19.0,14.9,2012,5,29,RA BR HZ,0527,1921
150,10,2012-05-30,96.0,78.0,87.0,70.0,74.0,0.0,22.0,0.26,29.78,29.81,2.3,21.0,8.0,2012,5,30,BR HZ,0526,1922
151,10,2012-05-31,93.0,75.0,84.0,69.0,73.0,0.0,19.0,0.21,29.83,29.86,4.7,17.0,7.7,2012,5,31,TS RA BR HZ,0526,1923
152,10,2012-06-01,85.0,75.0,81.0,69.0,72.0,0.0,16.0,0.01,29.85,29.86,9.3,20.0,9.6,2012,6,1,RA,0526,1923
153,10,2012-06-02,92.0,73.0,83.0,62.0,69.0,0.0,18.0,0.0,29.85,29.88,8.2,28.0,9.3,2012,6,2, ,0526,1924
154,10,2012-06-03,94.0,70.0,82.0,56.0,67.0,0.0,17.0,0.0,29.95,29.97,3.7,28.0,6.7,2012,6,3, ,0525,1924
155,10,2012-06-04,98.0,74.0,86.0,63.0,71.0,0.0,21.0,0.0,29.83,29.84,12.2,25.0,12.6,2012,6,4,TS,0525,1925
156,10,2012-06-05,96.0,72.0,84.0,69.0,73.0,0.0,19.0,1.71,29.75,29.79,4.9,26.0,9.8,2012,6,5,TSRA BR,0525,1925
157,10,2012-06-06,92.0,73.0,83.0,70.0,73.0,0.0,18.0,0.69,29.81,29.85,7.8,23.0,12.2,2012,6,6,TSRA BR,0525,1926
158,10,2012-06-07,85.0,74.0,80.0,72.0,74.0,0.0,15.0,1.45,29.9,29.93,2.8,10.0,5.9,2012,6,7,TSRA RA BR,0525,1926
159,10,2012-06-08,82.0,74.0,78.0,68.0,71.0,0.0,13.0,0.01,29.93,29.97,9.2,5.0,10.1,2012,6,8,RA,0525,1927
160,10,2012-06-09,85.0,74.0,80.0,71.0,73.0,0.0,15.0,3.47,29.97,30.0,8.2,11.0,9.2,2012,6,9,TSRA RA FG BR,0525,1927
161,10,2012-06-10,89.0,76.0,83.0,74.0,75.0,0.0,18.0,0.6,30.02,30.06,5.4,15.0,6.5,2012,6,10,TS TSRA RA,0525,1927
162,10,2012-06-11,94.0,75.0,85.0,71.0,75.0,0.0,20.0,0.51,30.06,30.09,6.1,15.0,8.2,2012,6,11,TS BR,0525,1928
163,10,2012-06-12,95.0,74.0,85.0,71.0,74.0,0.0,20.0,0.47,29.98,30.0,6.8,19.0,9.4,2012,6,12,TSRA,0525,1928
164,10,2012-06-13,96.0,76.0,86.0,71.0,75.0,0.0,21.0,0.0,29.88,29.9,2.2,23.0,6.2,2012,6,13,TS,0525,1929
165,10,2012-06-14,94.0,72.0,80.0,71.0,74.0,0.0,15.0,1.96,29.93,29.98,6.2,5.0,8.1,2012,6,14,RA BR,0525,1929
166,10,2012-06-15,83.0,76.0,80.0,65.0,70.0,0.0,15.0,0.0,30.03,30.05,11.7,5.0,11.9,2012,6,15, ,0525,1929
167,10,2012-06-16,86.0,76.0,81.0,66.0,71.0,0.0,16.0,0.0,30.06,30.09,12.4,5.0,12.6,2012,6,16, ,0525,1930
168,10,2012-06-17,85.0,73.0,79.0,64.0,69.0,0.0,14.0,0.0,30.03,30.06,7.4,4.0,8.5,2012,6,17, ,0525,1930
169,10,2012-06-18,87.0,75.0,81.0,62.0,69.0,0.0,16.0,0.0,30.02,30.05,5.8,7.0,6.5,2012,6,18, ,0525,1930
170,10,2012-06-19,88.0,73.0,81.0,65.0,71.0,0.0,16.0,0.0,30.08,30.1,6.9,8.0,7.3,2012,6,19, ,0525,1931
171,10,2012-06-20,87.0,78.0,83.0,67.0,72.0,0.0,18.0,0.01,30.05,30.07,11.2,8.0,11.4,2012,6,20,RA,0525,1931
172,10,2012-06-21,87.0,78.0,83.0,68.0,73.0,0.0,18.0,0.0,29.98,29.98,9.3,9.0,9.5,2012,6,21, ,0526,1931
