,date,units
164,2012-03-01,3
165,2012-03-01,4
166,2012-03-01,15
167,2012-03-02,15
168,2012-03-02,3
169,2012-03-02,1
170,2012-03-02,4
171,2012-03-02,3
172,2012-03-03,45
173,2012-03-03,13
174,2012-03-03,4
175,2012-03-03,4
176,2012-03-04,19
177,2012-03-04,6
178,2012-03-04,4
179,2012-03-05,57
180,2012-03-05,4
181,2012-03-06,33
182,2012-03-06,9
183,2012-03-07,20
184,2012-03-07,4
185,2012-03-08,6
186,2012-03-08,3
187,2012-03-09,12
188,2012-03-09,3
189,2012-03-10,41
190,2012-03-10,3
191,2012-03-11,56
192,2012-03-11,5
193,2012-03-12,15
194,2012-03-12,3
195,2012-03-13,29
196,2012-03-13,1
197,2012-03-14,21
198,2012-03-14,2
199,2012-03-15,16
200,2012-03-15,6
201,2012-03-16,4
202,2012-03-16,6
203,2012-03-17,29
204,2012-03-17,6
205,2012-03-17,1
206,2012-03-18,45
207,2012-03-18,5
208,2012-03-18,2
209,2012-03-19,14
210,2012-03-19,7
211,2012-03-20,1
212,2012-03-20,2
213,2012-03-21,8
214,2012-03-21,5
215,2012-03-22,11
216,2012-03-22,2
217,2012-03-23,9
218,2012-03-23,4
219,2012-03-23,2
220,2012-03-24,22
221,2012-03-24,10
222,2012-03-24,5
223,2012-03-25,67
224,2012-03-25,10
225,2012-03-26,6
226,2012-03-26,4
227,2012-03-27,7
228,2012-03-27,5
229,2012-03-28,24
230,2012-03-28,3
231,2012-03-29,19
232,2012-03-29,6
233,2012-03-29,1
234,2012-03-30,52
235,2012-03-30,4
236,2012-03-31,27
237,2012-03-31,1
238,2012-03-31,2
239,2012-04-01,70
240,2012-04-01,11
241,2012-04-02,34
242,2012-04-02,3
243,2012-04-03,21
244,2012-04-03,6
245,2012-04-04,17
246,2012-04-04,4
247,2012-04-05,18
248,2012-04-05,7
249,2012-04-05,2
250,2012-04-06,23
251,2012-04-06,3
252,2012-04-06,1
253,2012-04-07,22
254,2012-04-07,5
255,2012-04-07,6
256,2012-04-08,31
257,2012-04-08,4
258,2012-04-09,43
259,2012-04-09,6
260,2012-04-10,14
261,2012-04-10,8
262,2012-04-10,2
263,2012-04-11,14
264,2012-04-11,4
265,2012-04-12,26
266,2012-04-12,2
267,2012-04-12,5
268,2012-04-13,45
269,2012-04-13,3
270,2012-04-13,9
271,2012-04-14,17
272,2012-04-14,7
273,2012-04-14,10
274,2012-04-15,27
275,2012-04-15,2
276,2012-04-15,11
277,2012-04-16,5
278,2012-04-16,3
279,2012-04-17,8
280,2012-04-17,9
281,2012-04-18,20
282,2012-04-18,3
283,2012-04-19,17
284,2012-04-19,2
285,2012-04-20,20
286,2012-04-20,4
287,2012-04-20,5
288,2012-04-21,19
289,2012-04-21,9
290,2012-04-21,6
291,2012-04-22,31
292,2012-04-22,4
293,2012-04-22,1
294,2012-04-22,8
295,2012-04-23,10
296,2012-04-23,3
297,2012-04-24,9
298,2012-04-24,1
299,2012-04-25,7
300,2012-04-25,9
301,2012-04-26,12
302,2012-04-26,5
303,2012-04-26,4
304,2012-04-27,56
305,2012-04-27,8
306,2012-04-28,44
307,2012-04-28,5
308,2012-04-28,1
309,2012-04-29,38
310,2012-04-29,6
311,2012-04-30,6
312,2012-04-30,3
313,2012-05-01,24
314,2012-05-01,7
315,2012-05-01,3
316,2012-05-02,61
317,2012-05-02,2
318,2012-05-02,2
319,2012-05-03,47
320,2012-05-03,3
321,2012-05-03,33
322,2012-05-04,55
323,2012-05-04,13
324,2012-05-05,61
325,2012-05-05,4
326,2012-05-05,2
327,2012-05-06,42
328,2012-05-06,2
329,2012-05-07,32
330,2012-05-07,4
331,2012-05-07,3
332,2012-05-08,43
333,2012-05-08,3
334,2012-05-08,2
335,2012-05-09,17
336,2012-05-09,1
337,2012-05-09,1
338,2012-05-10,25
339,2012-05-10,3
340,2012-05-10,1
341,2012-05-11,44
342,2012-05-11,6
343,2012-05-11,1
344,2012-05-12,65
345,2012-05-12,5
346,2012-05-12,6
347,2012-05-13,49
348,2012-05-13,3
349,2012-05-14,26
350,2012-05-15,29
351,2012-05-15,2
352,2012-05-15,4
353,2012-05-16,13
354,2012-05-16,1
355,2012-05-16,3
356,2012-05-17,17
357,2012-05-17,5
358,2012-05-17,6
359,2012-05-18,39
360,2012-05-18,18
361,2012-05-19,6
362,2012-05-19,6
363,2012-05-19,1
364,2012-05-20,25
365,2012-05-20,2
366,2012-05-21,12
367,2012-05-21,4
368,2012-05-22,9
369,2012-05-22,5
370,2012-05-22,4
371,2012-05-23,27
372,2012-05-23,2
373,2012-05-23,6
374,2012-05-24,5
375,2012-05-24,5
376,2012-05-24,3
377,2012-05-25,7
378,2012-05-25,7
379,2012-05-25,7
380,2012-05-26,33
381,2012-05-26,7
382,2012-05-27,19
383,2012-05-28,44
384,2012-05-28,2
385,2012-05-28,12
386,2012-05-29,28
387,2012-05-29,4
388,2012-05-30,5
389,2012-05-30,2
390,2012-05-30,6
391,2012-05-31,11
392,2012-05-31,7
393,2012-05-31,37
394,2012-06-01,15
395,2012-06-01,4
396,2012-06-01,58
397,2012-06-02,19
398,2012-06-02,5
399,2012-06-03,13
400,2012-06-03,7
401,2012-06-04,21
402,2012-06-04,6
403,2012-06-05,26
404,2012-06-05,2
405,2012-06-06,25
406,2012-06-06,3
407,2012-06-06,5
408,2012-06-07,24
409,2012-06-07,4
410,2012-06-08,8
411,2012-06-08,7
412,2012-06-08,10
413,2012-06-09,36
414,2012-06-09,3
415,2012-06-09,2
416,2012-06-10,25
417,2012-06-10,5
418,2012-06-10,4
419,2012-06-11,32
420,2012-06-11,3
421,2012-06-12,81
422,2012-06-12,5
423,2012-06-12,12
424,2012-06-13,13
425,2012-06-13,3
426,2012-06-13,22
427,2012-06-14,7
428,2012-06-14,2
429,2012-06-14,8
430,2012-06-15,42
431,2012-06-15,2
432,2012-06-16,34
433,2012-06-16,8
434,2012-06-16,4
435,2012-06-17,19
436,2012-06-17,2
437,2012-06-17,5
438,2012-06-18,10
439,2012-06-18,3
440,2012-06-18,12
441,2012-06-19,10
442,2012-06-19,5
443,2012-06-20,28
444,2012-06-20,2
445,2012-06-20,1
446,2012-06-21,26
447,2012-06-21,3
448,2012-06-22,10
449,2012-06-22,2
450,2012-06-22,9
451,2012-06-23,70
452,2012-06-23,4
453,2012-06-23,17
454,2012-06-24,38
455,2012-06-24,5
456,2012-06-25,15
457,2012-06-25,3
458,2012-06-25,5
459,2012-06-26,13
460,2012-06-26,4
461,2012-06-26,2
462,2012-06-27,10
463,2012-06-27,8
464,2012-06-28,12
465,2012-06-28,3
466,2012-06-28,2
467,2012-06-29,44
468,2012-06-29,3
469,2012-06-29,3
470,2012-06-30,9
471,2012-06-30,4
472,2012-06-30,10
473,2012-07-01,36
474,2012-07-01,4
475,2012-07-01,20
476,2012-07-02,24
477,2012-07-02,3
478,2012-07-02,2
479,2012-07-03,45
480,2012-07-03,4
481,2012-07-03,5
482,2012-07-04,14
483,2012-07-04,1
484,2012-07-04,9
485,2012-07-05,12
486,2012-07-05,5
487,2012-07-06,13
488,2012-07-06,7
489,2012-07-06,1
490,2012-07-06,3
491,2012-07-07,57
492,2012-07-07,1
493,2012-07-07,1
494,2012-07-08,23
495,2012-07-08,5
496,2012-07-08,8
497,2012-07-09,14
498,2012-07-09,4
499,2012-07-10,26
500,2012-07-10,2
501,2012-07-10,12
502,2012-07-11,37
503,2012-07-11,3
504,2012-07-11,1
505,2012-07-11,2
506,2012-07-12,13
507,2012-07-12,3
508,2012-07-12,1
509,2012-07-12,1
510,2012-07-13,13
511,2012-07-13,5
512,2012-07-13,1
513,2012-07-13,3
514,2012-07-14,57
515,2012-07-14,2
516,2012-07-14,9
517,2012-07-15,12
518,2012-07-15,8
519,2012-07-16,21
520,2012-07-16,2
521,2012-07-16,4
522,2012-07-17,24
523,2012-07-17,5
524,2012-07-18,18
525,2012-07-18,3
526,2012-07-18,6
527,2012-07-19,6
528,2012-07-19,9
529,2012-07-19,2
530,2012-07-19,3
531,2012-07-20,20
532,2012-07-20,6
533,2012-07-20,1
534,2012-07-20,2
535,2012-07-21,30
536,2012-07-21,4
537,2012-07-21,1
538,2012-07-21,7
539,2012-07-22,12
540,2012-07-22,5
541,2012-07-22,5
542,2012-07-23,17
543,2012-07-23,3
544,2012-07-23,4
545,2012-07-24,17
546,2012-07-24,2
547,2012-07-24,2
548,2012-07-25,33
549,2012-07-25,6
550,2012-07-25,3
551,2012-07-25,8
552,2012-07-26,18
553,2012-07-26,1
554,2012-07-26,26
555,2012-07-27,24
556,2012-07-27,5
557,2012-07-27,3
558,2012-07-27,12
559,2012-07-27,1
560,2012-07-28,30
561,2012-07-28,4
562,2012-07-28,6
563,2012-07-28,2
564,2012-07-29,32
565,2012-07-29,4
566,2012-07-29,1
567,2012-07-29,1
568,2012-07-30,41
569,2012-07-30,4
570,2012-07-30,4
571,2012-07-31,11
572,2012-07-31,5
573,2012-08-01,43
574,2012-08-01,6
575,2012-08-01,7
576,2012-08-02,50
577,2012-08-02,9
578,2012-08-02,2
579,2012-08-03,40
580,2012-08-03,2
581,2012-08-03,1
582,2012-08-04,28
583,2012-08-04,7
584,2012-08-04,6
585,2012-08-05,100
586,2012-08-05,2
587,2012-08-05,10
588,2012-08-06,24
589,2012-08-06,5
590,2012-08-06,3
591,2012-08-06,1
592,2012-08-07,23
593,2012-08-07,4
594,2012-08-07,4
595,2012-08-08,129
596,2012-08-08,2
597,2012-08-08,1
598,2012-08-09,35
599,2012-08-09,2
600,2012-08-09,8
601,2012-08-09,10
602,2012-08-09,2
603,2012-08-10,54
604,2012-08-10,1
605,2012-08-10,2
606,2012-08-10,5
607,2012-08-11,48
608,2012-08-11,7
609,2012-08-11,1
610,2012-08-12,38
611,2012-08-12,10
612,2012-08-12,3
613,2012-08-12,4
614,2012-08-13,28
615,2012-08-13,5
616,2012-08-13,1
617,2012-08-14,11
618,2012-08-14,6
619,2012-08-14,4
620,2012-08-15,25
621,2012-08-15,3
622,2012-08-16,29
623,2012-08-16,3
624,2012-08-16,1
625,2012-08-17,18
626,2012-08-17,4
627,2012-08-17,4
628,2012-08-17,2
629,2012-08-18,76
630,2012-08-18,5
631,2012-08-18,2
632,2012-08-18,5
633,2012-08-18,1
634,2012-08-19,57
635,2012-08-19,3
636,2012-08-20,26
637,2012-08-20,9
638,2012-08-20,1
639,2012-08-21,14
640,2012-08-21,4
641,2012-08-22,11
642,2012-08-22,2
643,2012-08-22,7
644,2012-08-23,21
645,2012-08-23,4
646,2012-08-23,1
647,2012-08-23,8
648,2012-08-24,19
649,2012-08-24,1
650,2012-08-24,3
651,2012-08-25,30
652,2012-08-25,4
653,2012-08-25,3
654,2012-08-25,2
655,2012-08-26,64
656,2012-08-26,3
657,2012-08-27,24
658,2012-08-27,5
659,2012-08-27,6
660,2012-08-27,2
661,2012-08-28,64
662,2012-08-28,3
663,2012-08-29,15
664,2012-08-29,5
665,2012-08-30,35
666,2012-08-30,9
667,2012-08-31,4
668,2012-08-31,2
669,2012-08-31,4
670,2012-09-01,84
671,2012-09-01,3
672,2012-09-01,1
673,2012-09-02,59
674,2012-09-02,2
675,2012-09-02,7
676,2012-09-03,54
677,2012-09-03,8
678,2012-09-03,3
679,2012-09-04,39
680,2012-09-05,22
681,2012-09-05,3
682,2012-09-05,3
683,2012-09-06,14
684,2012-09-06,2
685,2012-09-06,2
686,2012-09-07,29
687,2012-09-07,6
688,2012-09-07,6
689,2012-09-08,46
690,2012-09-08,4
691,2012-09-08,3
692,2012-09-09,56
693,2012-09-09,6
694,2012-09-09,3
695,2012-09-10,36
696,2012-09-10,5
697,2012-09-11,40
698,2012-09-11,4
699,2012-09-11,10
700,2012-09-12,44
701,2012-09-12,3
702,2012-09-12,3
703,2012-09-13,27
704,2012-09-13,4
705,2012-09-14,5
706,2012-09-14,4
707,2012-09-15,39
708,2012-09-15,2
709,2012-09-16,81
710,2012-09-16,3
711,2012-09-16,1
712,2012-09-17,26
713,2012-09-17,4
714,2012-09-18,13
715,2012-09-18,5
716,2012-09-19,14
717,2012-09-19,1
718,2012-09-19,3
719,2012-09-20,32
720,2012-09-20,1
721,2012-09-20,1
722,2012-09-21,47
723,2012-09-21,5
724,2012-09-21,10
725,2012-09-22,43
726,2012-09-22,3
727,2012-09-22,1
728,2012-09-22,4
729,2012-09-23,41
730,2012-09-23,5
731,2012-09-23,1
732,2012-09-24,38
733,2012-09-24,2
734,2012-09-25,38
735,2012-09-25,1
736,2012-09-25,1
737,2012-09-25,8
738,2012-09-26,28
739,2012-09-26,3
740,2012-09-27,14
741,2012-09-27,5
742,2012-09-27,14
743,2012-09-28,25
744,2012-09-28,4
745,2012-09-28,5
746,2012-09-28,20
747,2012-09-29,35
748,2012-09-29,3
749,2012-09-29,21
750,2012-09-30,56
751,2012-09-30,4
752,2012-09-30,4
753,2012-09-30,2
754,2012-10-01,25
755,2012-10-01,1
756,2012-10-01,6
757,2012-10-02,40
758,2012-10-02,2
759,2012-10-02,3
760,2012-10-03,4
761,2012-10-03,3
762,2012-10-03,3
763,2012-10-03,3
764,2012-10-04,66
765,2012-10-04,3
766,2012-10-04,2
767,2012-10-05,35
768,2012-10-05,3
769,2012-10-05,2
770,2012-10-05,4
771,2012-10-06,37
772,2012-10-06,4
773,2012-10-06,2
774,2012-10-06,3
775,2012-10-07,45
776,2012-10-07,5
777,2012-10-07,2
778,2012-10-07,2
779,2012-10-08,47
780,2012-10-08,3
781,2012-10-08,1
782,2012-10-08,1
783,2012-10-09,14
784,2012-10-09,5
785,2012-10-10,14
786,2012-10-10,8
787,2012-10-10,3
788,2012-10-10,2
789,2012-10-11,7
790,2012-10-11,3
791,2012-10-11,2
792,2012-10-12,39
793,2012-10-12,1
794,2012-10-12,1
795,2012-10-12,4
796,2012-10-13,29
797,2012-10-13,6
798,2012-10-14,115
799,2012-10-14,3
800,2012-10-15,17
801,2012-10-15,2
802,2012-10-16,10
803,2012-10-16,6
804,2012-10-16,3
805,2012-10-16,4
806,2012-10-17,29
807,2012-10-17,2
808,2012-10-17,1
809,2012-10-18,37
810,2012-10-18,1
811,2012-10-18,3
812,2012-10-19,33
813,2012-10-19,3
814,2012-10-19,4
815,2012-10-20,30
816,2012-10-20,6
817,2012-10-20,1
818,2012-10-20,1
819,2012-10-20,3
820,2012-10-21,61
821,2012-10-21,6
822,2012-10-21,3
823,2012-10-21,1
824,2012-10-22,25
825,2012-10-22,1
826,2012-10-22,2
827,2012-10-23,16
828,2012-10-23,2
829,2012-10-23,2
830,2012-10-24,27
831,2012-10-24,2
832,2012-10-24,2
833,2012-10-25,19
834,2012-10-25,5
835,2012-10-25,3
836,2012-10-25,6
837,2012-10-26,24
838,2012-10-26,1
839,2012-10-26,2
840,2012-10-27,67
841,2012-10-27,7
842,2012-10-27,1
843,2012-10-28,18
844,2012-10-28,5
845,2012-10-28,5
846,2012-10-28,6
847,2012-10-29,27
848,2012-10-29,3
849,2012-10-29,3
850,2012-10-29,14
851,2012-10-30,1
852,2012-10-30,1
853,2012-10-31,7
854,2012-10-31,1
855,2012-10-31,3
856,2012-11-01,18
857,2012-11-01,4
858,2012-11-01,1
859,2012-11-01,8
860,2012-11-02,6
861,2012-11-02,1
862,2012-11-02,2
863,2012-11-03,103
864,2012-11-03,3
865,2012-11-03,2
866,2012-11-03,1
867,2012-11-04,72
868,2012-11-04,9
869,2012-11-04,1
870,2012-11-04,1
871,2012-11-04,2
872,2012-11-05,61
873,2012-11-05,6
874,2012-11-05,13
875,2012-11-06,31
876,2012-11-06,1
877,2012-11-06,1
878,2012-11-07,65
879,2012-11-07,5
880,2012-11-07,44
881,2012-11-08,17
882,2012-11-08,5
883,2012-11-08,15
884,2012-11-09,38
885,2012-11-09,5
886,2012-11-09,4
887,2012-11-09,3
888,2012-11-10,48
889,2012-11-10,8
890,2012-11-10,1
891,2012-11-10,7
892,2012-11-10,2
893,2012-11-11,55
894,2012-11-11,3
895,2012-11-11,1
896,2012-11-11,8
897,2012-11-12,45
898,2012-11-12,2
899,2012-11-12,3
900,2012-11-13,31
901,2012-11-13,5
902,2012-11-14,40
903,2012-11-14,2
904,2012-11-14,2
905,2012-11-14,2
906,2012-11-15,16
907,2012-11-15,1
908,2012-11-15,1
909,2012-11-15,2
910,2012-11-16,24
911,2012-11-16,5
912,2012-11-16,2
913,2012-11-16,2
914,2012-11-17,62
915,2012-11-17,7
916,2012-11-17,2
917,2012-11-17,3
918,2012-11-17,3
919,2012-11-18,73
920,2012-11-18,5
921,2012-11-18,4
922,2012-11-19,23
923,2012-11-19,4
924,2012-11-19,1
925,2012-11-20,15
926,2012-11-20,9
927,2012-11-20,3
928,2012-11-20,1
929,2012-11-21,48
930,2012-11-21,5
931,2012-11-22,17
932,2012-11-22,3
933,2012-11-23,36
934,2012-11-23,5
935,2012-11-23,2
936,2012-11-23,2
937,2012-11-24,50
938,2012-11-24,8
939,2012-11-24,1
940,2012-11-24,5
941,2012-11-24,2
942,2012-11-25,70
943,2012-11-25,1
944,2012-11-26,20
945,2012-11-26,8
946,2012-11-26,5
947,2012-11-27,9
948,2012-11-27,10
949,2012-11-27,10
950,2012-11-28,11
951,2012-11-28,3
952,2012-11-28,5
953,2012-11-29,33
954,2012-11-29,5
955,2012-11-29,3
956,2012-11-30,18
957,2012-11-30,7
958,2012-11-30,2
959,2012-11-30,10
960,2012-11-30,2
961,2012-12-01,53
962,2012-12-01,8
963,2012-12-01,1
964,2012-12-01,3
965,2012-12-02,76
966,2012-12-02,12
967,2012-12-02,1
968,2012-12-02,3
969,2012-12-03,20
970,2012-12-03,4
971,2012-12-03,2
972,2012-12-03,3
973,2012-12-03,1
974,2012-12-03,2
975,2012-12-04,13
976,2012-12-04,5
977,2012-12-04,2
978,2012-12-04,1
979,2012-12-05,25
980,2012-12-05,6
981,2012-12-05,1
982,2012-12-06,43
983,2012-12-06,5
984,2012-12-06,1
985,2012-12-06,2
986,2012-12-07,52
987,2012-12-07,2
988,2012-12-07,1
989,2012-12-07,2
990,2012-12-07,3
991,2012-12-08,37
992,2012-12-08,11
993,2012-12-08,1
994,2012-12-08,7
995,2012-12-08,4
996,2012-12-09,73
997,2012-12-09,15
998,2012-12-09,1
999,2012-12-09,1
1000,2012-12-09,15
1001,2012-12-10,13
1002,2012-12-10,12
1003,2012-12-10,2
1004,2012-12-10,13
1005,2012-12-10,5
1006,2012-12-10,6
1007,2012-12-11,22
1008,2012-12-11,12
1009,2012-12-11,1
1010,2012-12-11,2
1011,2012-12-12,28
1012,2012-12-12,3
1013,2012-12-12,3
1014,2012-12-12,4
1015,2012-12-13,39
1016,2012-12-13,7
1017,2012-12-13,1
1018,2012-12-13,2
1019,2012-12-13,2
1020,2012-12-14,80
1021,2012-12-14,7
1022,2012-12-14,2
1023,2012-12-15,87
1024,2012-12-15,11
1025,2012-12-15,2
1026,2012-12-15,3
1027,2012-12-15,1
1028,2012-12-15,3
1029,2012-12-16,42
1030,2012-12-16,16
1031,2012-12-16,18
1032,2012-12-17,46
1033,2012-12-17,7
1034,2012-12-17,3
1035,2012-12-17,6
1036,2012-12-17,1
1037,2012-12-18,24
1038,2012-12-18,4
1039,2012-12-18,2
1040,2012-12-18,2
1041,2012-12-18,2
1042,2012-12-19,29
1043,2012-12-19,5
1044,2012-12-19,2
1045,2012-12-20,27
1046,2012-12-20,8
1047,2012-12-20,1
1048,2012-12-20,2
1049,2012-12-21,2
1050,2012-12-21,7
1051,2012-12-21,2
1052,2012-12-22,24
1053,2012-12-22,13
1054,2012-12-22,2
1055,2012-12-22,5
1056,2012-12-22,5
1057,2012-12-23,50
1058,2012-12-23,9
1059,2012-12-23,4
1060,2012-12-23,5
1061,2012-12-23,2
1062,2012-12-24,1
1063,2012-12-24,7
1064,2012-12-24,1
1065,2012-12-24,1
1066,2012-12-26,16
1067,2012-12-26,10
1068,2012-12-26,1
1069,2012-12-26,20
1070,2012-12-27,41
1071,2012-12-27,3
1072,2012-12-27,1
1073,2012-12-27,7
1074,2012-12-28,91
1075,2012-12-28,7
1076,2012-12-28,1
1077,2012-12-28,6
1078,2012-12-29,33
1079,2012-12-29,13
1080,2012-12-29,5
1081,2012-12-29,6
1082,2012-12-30,26
1083,2012-12-30,9
1084,2012-12-30,1
1085,2012-12-30,8
1086,2012-12-31,36
1087,2012-12-31,5
1088,2012-12-31,2
1089,2012-12-31,1
1090,2012-12-31,1
1091,2013-01-01,54
1092,2013-01-01,10
1093,2013-01-01,6
1094,2013-01-02,13
1095,2013-01-02,8
1096,2013-01-02,2
1097,2013-01-03,8
1098,2013-01-03,8
1099,2013-01-03,5
1100,2013-01-04,24
1101,2013-01-04,3
1102,2013-01-04,3
1103,2013-01-05,84
1104,2013-01-05,9
1105,2013-01-05,4
1106,2013-01-06,34
1107,2013-01-06,8
1108,2013-01-06,1
1109,2013-01-06,1
1110,2013-01-07,61
1111,2013-01-07,2
1112,2013-01-07,4
1113,2013-01-08,27
1114,2013-01-08,5
1115,2013-01-08,4
1116,2013-01-09,8
1117,2013-01-09,9
1118,2013-01-09,1
1119,2013-01-10,24
1120,2013-01-10,6
1121,2013-01-10,1
1122,2013-01-11,59
1123,2013-01-11,2
1124,2013-01-12,57
1125,2013-01-12,1
1126,2013-01-13,71
1127,2013-01-13,12
1128,2013-01-13,4
1129,2013-01-13,1
1130,2013-01-13,1
1131,2013-01-14,29
1132,2013-01-14,1
1133,2013-01-14,2
1134,2013-01-15,68
1135,2013-01-15,5
1136,2013-01-15,3
1137,2013-01-16,15
1138,2013-01-16,2
1139,2013-01-16,2
1140,2013-01-16,10
1141,2013-01-16,1
1142,2013-01-17,17
1143,2013-01-17,3
1144,2013-01-17,2
1145,2013-01-18,59
1146,2013-01-18,6
1147,2013-01-18,1
1148,2013-01-18,5
1149,2013-01-19,93
1150,2013-01-19,7
1151,2013-01-19,5
1152,2013-01-20,11
1153,2013-01-20,3
1154,2013-01-20,1
1155,2013-01-20,1
1156,2013-01-21,11
1157,2013-01-21,8
1158,2013-01-21,1
1159,2013-01-21,8
1160,2013-01-22,31
1161,2013-01-22,5
1162,2013-01-22,1
1163,2013-01-23,12
1164,2013-01-23,3
1165,2013-01-23,1
1166,2013-01-24,9
1167,2013-01-24,4
1168,2013-01-25,23
1169,2013-01-25,5
1170,2013-01-25,3
1171,2013-01-26,53
1172,2013-01-26,11
1173,2013-01-26,2
1174,2013-01-27,41
1175,2013-01-27,9
1176,2013-01-27,1
1177,2013-01-28,8
1178,2013-01-28,7
1179,2013-01-28,1
1180,2013-01-28,3
1181,2013-01-29,4
1182,2013-01-29,2
1183,2013-01-29,2
1184,2013-01-30,10
1185,2013-01-30,7
1186,2013-01-31,7
1187,2013-01-31,6
1188,2013-02-01,33
1189,2013-02-01,4
1190,2013-02-02,52
1191,2013-02-02,11
1192,2013-02-02,1
1193,2013-02-03,29
1194,2013-02-03,13
1195,2013-02-04,64
1196,2013-02-04,6
1197,2013-02-04,1
1198,2013-02-05,29
1199,2013-02-05,10
1200,2013-02-05,1
1201,2013-02-06,57
1202,2013-02-06,2
1203,2013-02-06,4
1204,2013-02-06,5
1205,2013-02-07,89
1206,2013-02-07,23
1207,2013-02-07,15
1208,2013-02-07,25
1209,2013-02-08,17
1210,2013-02-08,8
1211,2013-02-08,1
1212,2013-02-09,7
1213,2013-02-10,53
1214,2013-02-10,8
1215,2013-02-10,4
1216,2013-02-11,20
1217,2013-02-11,4
1218,2013-02-12,3
1219,2013-02-13,4
1220,2013-02-13,4
1221,2013-02-13,2
1222,2013-02-14,2
1223,2013-02-14,3
1224,2013-02-14,3
1225,2013-02-15,60
1226,2013-02-15,7
1227,2013-02-15,10
1228,2013-02-15,2
1229,2013-02-16,45
1230,2013-02-16,6
1231,2013-02-16,12
1232,2013-02-16,1
1233,2013-02-16,3
1234,2013-02-17,33
1235,2013-02-17,6
1236,2013-02-17,2
1237,2013-02-18,32
1238,2013-02-18,7
1239,2013-02-18,2
1240,2013-02-18,1
1241,2013-02-19,86
1242,2013-02-19,3
1243,2013-02-19,3
1244,2013-02-19,1
1245,2013-02-20,38
1246,2013-02-20,1
1247,2013-02-20,4
1248,2013-02-20,3
