,station_nbr,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
87,13,2012-01-05,66,35,51,M,21,37,14, 0,-,-,MO,M,0.00,24.26,30.04, 4.2,21,5.0
88,14,2012-01-05,67,29,48,12,28,38,17, 0,0740,1732,MO,0.0,0.00,28.71,30.14, 9.8,21,10.3
89,15,2012-01-05,36,17,27, 6,13,22,38, 0,0718,1625,MO,0.0,0.00,29.42,29.82, 3.5,29,5.8
90,16,2012-01-05,38,24,31,M,13,25,34, 0,-,-,MO,M,0.00,29.70,29.82, 6.9,27,8.1
91,17,2012-01-05,68,26,47,M,26,38,18, 0,-,-,MO,0.0,0.00,29.42,30.14, 4.3,20,4.4
92,18,2012-01-05,66,35,51, 6,33,42,14, 0,0731,1735,MO,0.0,0.00,29.66,30.21, 2.7,18,2.9
93,19,2012-01-05,47,26,37,16,26,33,28, 0,0723,1631,MO,0.0,0.00,29.02,29.83, 8.4,23,8.5
94,20,2012-01-05,67,36,52,M,33,43,13, 0,-,-,MO,0.0,0.00,29.46,30.21, 2.1,23,4.4
95,1,2012-01-06,46,25,36,M,21,29,29, 0,-,-,Not_MO,M,  T,29.68,29.84, 0.3,01,2.4
96,2,2012-01-06,47,21,34,10,23,30,31, 0,0716,1630,Not_MO,0.2,0.01,28.71,29.81, 6.4,22,6.8
97,3,2012-01-06,69,40,55,19,35,44,10, 0,0735,1724,MO,0.0,0.00,29.16,29.89, 6.1,18,9.6
98,4,2012-01-06,74,55,65,14,52,M,0, 0,0728,1745,Not_MO,0.0,0.00,29.26,M, 4.2,19,5.4
99,6,2012-01-06,75,43,M,M,54,57,M,M,0728,1745,Not_MO,0.0,  T,29.44,29.99,10.6,19,10.8
100,7,2012-01-06,67,41,54,M,31,42,11, 0,-,-,MO,0.0,0.00,28.51,29.89, 7.3,22,14.4
101,8,2012-01-06,73,57,M,M,53,58,M,M,-,-,Not_MO,M,0.00,29.65,M, 7.7,20,8.0
102,9,2012-01-06,47,34,41,M,28,36,24, 0,-,-,MO,0.0,0.00,29.00,29.75, 9.3,28,9.5
103,10,2012-01-06,72,44,58,M,44,50,7, 0,0724,1741,Not_MO,M,0.00,30.14,30.16, 2.8,21,4.4
104,11,2012-01-06,71,36,54, 1,40,46,11, 0,0725,1741,Not_MO,0.0,0.00,30.12,30.16, 1.8,25,2.1
105,12,2012-01-06,70,38,54,M,43,48,11, 0,-,-,Not_MO,0.0,0.00,30.12,30.17, 2.4,24,2.6
106,13,2012-01-06,45,25,35,M,22,31,30, 0,-,-,MO,M,0.00,24.21,30.01, 3.6,12,6.2
107,14,2012-01-06,67,37,52,16,31,42,13, 0,0740,1733,MO,0.0,0.00,28.50,29.89, 5.1,21,12.2
108,15,2012-01-06,33,15,24, 4,19,23,41, 0,0718,1626,Not_MO,0.2,0.01,29.46,29.83, 0.6,35,1.8
109,16,2012-01-06,45,25,35,M,24,30,30, 0,-,-,MO,M,  T,29.72,29.82, 1.6,19,2.6
110,17,2012-01-06,69,34,52,M,34,43,13, 0,-,-,MO,0.0,0.00,29.23,29.92, 3.4,19,7.5
111,18,2012-01-06,73,48,61,16,46,53,4, 0,0731,1736,MO,0.0,0.00,29.39,29.93, 8.6,19,9.1
112,19,2012-01-06,51,38,45,24,29,38,20, 0,0723,1632,MO,0.0,0.00,28.95,29.71, 7.2,27,7.9
113,20,2012-01-06,74,50,62,M,47,54,3, 0,-,-,MO,0.0,0.00,29.19,29.93, 7.0,19,8.0
114,1,2012-01-07,57,28,43,M,28,36,22, 0,-,-,MO,M,0.00,29.57,29.76, 3.0,26,3.6
115,2,2012-01-07,56,37,47,23,29,38,18, 0,0716,1631,MO,0.0,0.00,28.63,29.75, 8.9,26,9.6
116,3,2012-01-07,58,36,47,11,26,39,18, 0,0735,1725,MO,0.0,0.00,29.36,30.06, 8.2,01,8.9
117,4,2012-01-07,69,49,59, 8,44,M,6, 0,0729,1746,Not_MO,0.0,0.00,M,M, 1.0,30,2.3
118,6,2012-01-07,70,46,58, 9,45,51,7, 0,0728,1746,Not_MO,0.0,0.00,29.47,30.00, 1.6,33,3.4
119,7,2012-01-07,58,33,46,M,25,37,19, 0,-,-,MO,0.0,0.00,28.69,30.06, 9.8,02,10.4
120,8,2012-01-07,68,54,M,M,51,54,M,M,-,-,Not_MO,M,0.00,29.63,M, 0.4,31,1.7
121,9,2012-01-07,38,22,30,M,21,26,35, 0,-,-,MO,M,0.00,29.36,30.11, 5.3,30,7.4
122,10,2012-01-07,71,49,60,M,51,54,5, 0,0724,1742,Not_MO,M,0.01,30.11,30.15, 1.9,20,3.0
123,11,2012-01-07,73,42,58, 5,48,51,7, 0,0725,1742,Not_MO,0.0,  T,30.10,30.15, 2.0,27,2.3
124,12,2012-01-07,71,43,57,M,51,54,8, 0,-,-,Not_MO,0.0,0.01,30.09,30.15, 1.9,25,2.4
125,13,2012-01-07,39,22,31,M,23,27,34, 0,-,-,Not_MO,M,0.16,24.19,30.07, 4.6,33,5.9
126,14,2012-01-07,59,38,49,13,24,38,16, 0,0740,1734,MO,0.0,0.00,28.66,30.05,11.0,03,11.8
127,15,2012-01-07,44,22,33,13,25,29,32, 0,0718,1627,MO,0.0,0.00,29.35,29.75, 0.6,29,0.9
128,16,2012-01-07,58,25,42,M,29,36,23, 0,-,-,MO,M,0.00,29.60,29.73, 2.8,29,3.7
129,17,2012-01-07,60,40,50,M,25,39,15, 0,-,-,MO,0.0,0.00,29.41,30.08, 9.2,02,9.4
130,18,2012-01-07,61,44,53, 8,41,47,12, 0,0731,1737,MO,0.0,0.00,29.47,29.98, 4.3,31,6.4
131,19,2012-01-07,41,29,35,14,23,31,30, 0,0722,1633,MO,0.0,0.00,29.32,30.03, 7.4,30,7.7
132,20,2012-01-07,61,45,53,M,41,47,12, 0,-,-,MO,0.0,0.00,29.27,29.97, 5.9,29,8.1
133,1,2012-01-08,45,27,36,M,22,32,29, 0,-,-,MO,M,0.00,29.90,30.11, 5.1,30,6.6
134,2,2012-01-08,39,25,32, 8,20,29,33, 0,0716,1633,MO,0.0,0.00,28.95,30.11,10.8,29,11.0
135,3,2012-01-08,53,33,43, 7,28,38,22, 0,0735,1726,MO,0.0,0.00,29.45,30.16, 8.3,36,8.4
136,4,2012-01-08,60,47,54, 3,48,M,11, 0,0729,1747,Not_MO,0.0,0.05,29.31,M, 2.4,03,3.6
137,6,2012-01-08,61,42,52, 3,49,52,13, 0,0728,1747,Not_MO,0.0,0.01,29.47,30.00, 7.7,02,8.1
138,7,2012-01-08,51,39,45,M,26,37,20, 0,-,-,MO,0.0,0.00,28.78,30.16,10.6,01,10.8
139,8,2012-01-08,72,52,M,M,55,58,M,M,-,-,Not_MO,M,0.03,29.64,M, 1.1,36,1.2
140,9,2012-01-08,41,19,30,M,23,27,35, 0,-,-,Not_MO,M,0.00,29.42,30.22, 1.1,19,1.9
141,10,2012-01-08,75,49,62,M,51,55,3, 0,0724,1743,MO,M,0.00,30.17,30.21, 3.0,14,3.1
142,11,2012-01-08,75,42,59, 6,49,53,6, 0,0725,1742,Not_MO,0.0,0.00,30.17,30.21, 2.0,15,2.5
143,12,2012-01-08,74,45,60,M,51,54,5, 0,-,-,Not_MO,0.0,0.00,30.16,30.22, 1.1,14,1.5
144,13,2012-01-08,33,11,22,M,15,20,43, 0,-,-,MO,M,0.00,24.32,30.29, 3.8,18,4.6
145,14,2012-01-08,51,42,47,11,26,38,18, 0,0740,1735,MO,0.0,0.00,28.76,30.14,10.5,02,10.8
146,15,2012-01-08,41,21,31,11,20,27,34, 0,0717,1628,MO,0.0,0.00,29.67,30.11, 7.4,31,7.9
147,16,2012-01-08,43,27,35,M,22,32,30, 0,-,-,MO,M,0.00,29.93,30.08, 6.0,30,6.8
148,17,2012-01-08,53,38,46,M,27,38,19, 0,-,-,MO,0.0,0.00,29.50,30.18, 7.2,01,7.6
149,18,2012-01-08,58,40,49, 4,45,48,16, 0,0731,1738,Not_MO,0.0,0.02,29.56,30.07, 3.8,02,4.1
150,19,2012-01-08,41,19,30, 9,21,28,35, 0,0722,1635,MO,0.0,0.00,29.53,30.29, 4.4,23,4.5
151,20,2012-01-08,59,39,49,M,44,47,16, 0,-,-,Not_MO,0.0,0.13,29.34,30.06, 4.7,01,5.8
152,1,2012-01-09,39,23,31,M,12,25,34, 0,-,-,MO,M,0.00,30.06,30.20, 2.3,23,4.0
153,2,2012-01-09,38,21,30, 6,12,M,35, 0,0716,1634,MO,0.0,0.00,29.05,M, 6.9,25,7.9
154,3,2012-01-09,54,26,40, 4,27,35,25, 0,0735,1727,MO,0.0,0.00,29.46,30.20, 6.6,35,7.2
155,4,2012-01-09,57,42,50,-1,47,48,15, 0,0729,1748,Not_MO,0.0,0.87,29.33,30.02, 6.6,34,8.2
156,6,2012-01-09,58,43,51, 2,48,49,14, 0,0728,1748,Not_MO,0.0,0.62,29.48,30.00,11.2,35,12.5
157,7,2012-01-09,52,27,40,M,26,34,25, 0,-,-,MO,0.0,0.00,28.79,30.21, 8.6,36,8.8
158,8,2012-01-09,68,48,M,M,50,52,M,M,-,-,Not_MO,M,0.62,29.60,M, 8.4,34,9.4
159,9,2012-01-09,49,27,38,M,25,33,27, 0,-,-,MO,M,0.00,29.17,29.96, 6.8,25,7.5
160,10,2012-01-09,75,52,64,M,54,58,1, 0,0724,1744,Not_MO,M,0.00,30.14,30.17, 2.2,16,2.4
161,11,2012-01-09,76,46,61, 8,51,54,4, 0,0725,1743,Not_MO,0.0,0.00,30.14,30.17, 1.6,25,1.8
162,12,2012-01-09,75,49,62,M,53,56,3, 0,-,-,Not_MO,0.0,0.00,30.13,30.17, 2.1,22,2.3
163,13,2012-01-09,47,17,32,M,19,27,33, 0,-,-,MO,M,0.00,24.37,30.31, 3.4,18,3.9
164,14,2012-01-09,51,32,42, 6,26,35,23, 0,0740,1735,MO,0.0,0.00,28.77,30.19,10.5,36,10.6
165,15,2012-01-09,35,15,25, 5,13,21,40, 0,0717,1629,MO,0.0,0.00,29.81,30.18, 1.0,16,2.9
166,16,2012-01-09,38,21,30,M,14,25,35, 0,-,-,MO,M,0.00,30.09,30.18, 2.7,25,5.3
167,17,2012-01-09,55,32,44,M,26,36,21, 0,-,-,MO,0.0,0.00,29.52,30.22, 4.6,01,5.0
168,18,2012-01-09,51,44,48, 3,43,45,17, 0,0731,1738,Not_MO,0.0,1.32,29.54,30.08, 8.0,36,9.0
169,19,2012-01-09,46,27,37,16,26,32,28, 0,0722,1636,MO,0.0,0.00,29.23,30.03,11.7,24,12.1
170,20,2012-01-09,50,44,47,M,43,45,18, 0,-,-,Not_MO,0.0,1.58,29.33,30.07, 9.5,36,10.9
171,1,2012-01-10,47,29,38,M,24,32,27, 0,-,-,MO,M,  T,29.69,29.86, 5.4,25,6.5
172,2,2012-01-10,41,25,33, 9,24,30,32, 0,0716,1635,Not_MO,  T,  T,28.74,29.86, 9.6,26,10.0
173,3,2012-01-10,51,30,41, 5,29,37,24, 0,0735,1727,MO,0.0,0.00,29.16,29.94, 3.0,34,4.6
174,4,2012-01-10,58,41,50,-1,37,43,15, 0,0729,1749,MO,0.0,0.00,29.24,29.97, 5.5,30,7.1
175,6,2012-01-10,60,35,48,-1,37,43,17, 0,0728,1749,MO,0.0,  T,29.41,29.97, 7.8,31,8.4
176,7,2012-01-10,55,32,44,M,28,36,21, 0,-,-,Not_MO,0.0,  T,28.51,29.95, 5.0,36,6.5
177,8,2012-01-10,59,41,M,M,38,44,M,M,-,-,MO,M,0.00,29.60,M, 7.4,30,8.1
178,9,2012-01-10,54,24,39,M,29,34,26, 0,-,-,Not_MO,M,0.00,29.00,29.82, 2.5,17,3.6
179,10,2012-01-10,74,56,65,M,56,60,0, 0,0724,1744,Not_MO,M,0.00,30.03,30.05, 3.6,17,4.1
180,11,2012-01-10,76,47,62, 9,54,57,3, 0,0725,1744,Not_MO,0.0,0.00,30.02,30.05, 3.7,17,4.1
181,12,2012-01-10,75,48,62,M,55,58,3, 0,-,-,Not_MO,0.0,0.00,30.02,30.05, 3.4,19,3.8
182,13,2012-01-10,56,28,42,M,24,33,23, 0,-,-,MO,M,0.00,24.13,29.96, 4.1,16,4.5
183,14,2012-01-10,54,30,42, 6,28,37,23, 0,0740,1736,Not_MO,0.0,  T,28.50,29.93, 6.6,36,8.0
184,15,2012-01-10,43,23,33,13,21,29,32, 0,0717,1630,MO,0.0,0.00,29.44,29.84, 2.8,27,6.3
185,16,2012-01-10,47,28,38,M,25,32,27, 0,-,-,Not_MO,M,0.01,29.72,29.84, 5.2,26,6.3
186,17,2012-01-10,52,35,44,M,28,37,21, 0,-,-,MO,0.0,0.00,29.22,29.95, 2.2,01,2.5
187,18,2012-01-10,46,42,44,-1,41,43,21, 0,0731,1739,Not_MO,0.0,0.49,29.34,29.89, 8.0,31,8.9
188,19,2012-01-10,50,25,38,17,28,34,27, 0,0722,1637,MO,0.0,0.00,29.14,29.93, 4.5,21,4.9
189,20,2012-01-10,47,42,45,M,41,43,20, 0,-,-,Not_MO,0.0,0.30,29.13,29.88,11.3,31,11.7
190,1,2012-01-11,39,24,32,M,21,29,33, 0,-,-,MO,M,0.00,29.91,30.10, 3.4,07,4.2
191,2,2012-01-11,38,28,33, 9,22,28,32, 0,0715,1636,MO,0.0,0.00,28.92,30.06, 1.5,09,4.5
192,3,2012-01-11,61,29,45, 9,30,36,20, 0,0735,1728,Not_MO,0.5,0.02,29.08,29.79, 9.5,32,12.1
193,4,2012-01-11,77,38,58, 7,36,M,7, 0,0729,1749,MO,0.0,0.00,29.10,M, 3.7,29,6.3
194,6,2012-01-11,76,29,53, 4,36,45,12, 0,0728,1749,MO,0.0,0.00,29.28,29.81, 5.8,24,9.9
195,7,2012-01-11,53,28,41,M,27,34,24, 0,-,-,Not_MO,  T,  T,28.47,29.84,12.5,34,15.8
196,8,2012-01-11,72,41,M,M,36,47,M,M,-,-,MO,M,0.00,29.45,M, 6.4,25,8.9
197,9,2012-01-11,38,14,26,M,22,25,39, 0,-,-,Not_MO,M,  T,28.99,29.76,13.0,32,14.1
198,10,2012-01-11,75,59,67,M,55,60,0, 2,0724,1745,Not_MO,M,0.04,29.77,29.78,10.4,20,13.0
199,11,2012-01-11,73,55,64,11,55,59,1, 0,0725,1745,Not_MO,0.0,  T,29.75,29.78, 9.3,21,11.3
200,12,2012-01-11,76,59,68,M,56,60,0, 3,-,-,MO,0.0,  T,29.75,29.79, 8.7,22,10.8
201,13,2012-01-11,41,3,M,M,12,16,M,M,-,-,Not_MO,M,0.01,24.24,30.15, 5.3,04,8.8
202,14,2012-01-11,56,29,43, 7,28,35,22, 0,0740,1737,Not_MO,  T,  T,28.45,29.82,14.2,35,15.6
203,15,2012-01-11,34,21,28, 8,18,25,37, 0,0717,1631,Not_MO,0.0,0.00,29.67,30.09, 1.1,36,3.2
204,16,2012-01-11,38,23,31,M,22,29,34, 0,-,-,MO,M,0.00,29.93,30.07, 3.2,08,5.9
205,17,2012-01-11,62,24,43,M,27,35,22, 0,-,-,Not_MO,M,0.02,29.15,29.82, 5.7,33,5.9
206,18,2012-01-11,65,36,51, 6,39,45,14, 0,0731,1740,MO,0.0,0.00,29.26,29.76, 3.6,34,8.1
207,19,2012-01-11,55,28,42,22,29,35,23, 0,0721,1638,Not_MO,0.0,0.00,28.85,29.64, 0.7,21,2.5
208,20,2012-01-11,64,37,51,M,39,45,14, 0,-,-,MO,0.0,0.00,29.05,29.76, 4.4,31,9.2
209,1,2012-01-12,40,31,36,M,31,34,29, 0,-,-,Not_MO,M,0.69,29.62,29.74,10.7,05,12.3
210,2,2012-01-12,33,30,32, 8,31,31,33, 0,0715,1637,Not_MO,3.6,1.06,28.62,29.69,10.5,05,10.7
211,3,2012-01-12,35,21,28,-8,9,23,37, 0,0735,1729,MO,0.0,0.00,29.39,30.11,14.5,30,15.1
212,4,2012-01-12,50,33,42,-9,16,33,23, 0,0729,1750,MO,0.0,0.00,29.54,30.24, 8.2,34,8.3
213,6,2012-01-12,51,28,40,-9,18,33,25, 0,0728,1750,MO,0.0,0.00,29.70,30.22,13.3,34,13.9
214,7,2012-01-12,36,18,27,M,3,21,38, 0,-,-,MO,0.0,0.00,28.77,30.17,12.4,31,12.8
215,8,2012-01-12,54,32,M,M,20,34,M,M,-,-,MO,M,0.00,29.83,M,12.1,34,13.0
216,9,2012-01-12,16,11,14,M,5,12,51, 0,-,-,Not_MO,M,  T,29.08,29.86,18.0,33,18.2
217,10,2012-01-12,75,52,64,M,52,58,1, 0,0724,1746,MO,M,0.00,29.80,29.84,10.7,24,11.4
