,date,station_nbr,store_nbr,item_nbr,units,depart,codesum
365,2012-01-04,3,33,44,185,11, 
366,2012-01-04,4,8,5,45, 6, 
367,2012-01-04,4,8,23,4, 6, 
368,2012-01-04,4,8,59,1, 6, 
369,2012-01-04,6,7,5,124, 2,BR
370,2012-01-04,6,7,23,19, 2,BR
371,2012-01-04,6,7,93,3, 2,BR
372,2012-01-04,6,13,5,114, 2,BR
373,2012-01-04,6,13,36,115, 2,BR
374,2012-01-04,6,13,46,1, 2,BR
375,2012-01-04,7,3,5,106,M, 
376,2012-01-04,7,3,45,71,M, 
377,2012-01-04,7,20,5,96,M, 
378,2012-01-04,7,20,18,1,M, 
379,2012-01-04,7,20,41,24,M, 
380,2012-01-04,7,20,74,3,M, 
381,2012-01-04,7,28,5,64,M, 
382,2012-01-04,7,28,45,48,M, 
383,2012-01-04,8,39,9,15,M, 
384,2012-01-04,8,39,36,11,M, 
385,2012-01-04,9,4,9,80,M,BR
386,2012-01-04,9,4,27,8,M,BR
387,2012-01-04,9,4,90,1,M,BR
388,2012-01-04,9,24,6,107,M,BR
389,2012-01-04,9,24,43,70,M,BR
390,2012-01-04,10,11,9,60,M, 
391,2012-01-04,10,11,68,49,M, 
392,2012-01-04,10,22,9,60,M, 
393,2012-01-04,10,22,68,59,M, 
394,2012-01-04,10,27,9,41,M, 
395,2012-01-04,10,27,68,33,M, 
396,2012-01-04,10,27,93,10,M, 
397,2012-01-04,11,12,16,30,-15, 
398,2012-01-04,11,12,37,32,-15, 
399,2012-01-04,11,12,79,2,-15, 
400,2012-01-04,11,43,16,72,-15, 
401,2012-01-04,11,43,37,19,-15, 
402,2012-01-04,12,5,16,20,M, 
403,2012-01-04,12,5,32,2,M, 
404,2012-01-04,12,5,37,16,M, 
405,2012-01-04,12,10,5,57,M, 
406,2012-01-04,12,10,21,1,M, 
407,2012-01-04,12,10,37,25,M, 
408,2012-01-04,12,41,16,41,M, 
409,2012-01-04,12,41,68,55,M, 
410,2012-01-04,12,44,5,53,M, 
411,2012-01-04,12,44,62,1,M, 
412,2012-01-04,12,44,68,64,M, 
413,2012-01-04,13,15,5,212,M, 
414,2012-01-04,13,15,17,1,M, 
415,2012-01-04,13,15,45,100,M, 
416,2012-01-04,13,25,9,141,M, 
417,2012-01-04,13,25,12,1,M, 
418,2012-01-04,13,25,45,121,M, 
419,2012-01-04,13,25,81,15,M, 
420,2012-01-04,13,32,9,54,M, 
421,2012-01-04,13,32,19,1,M, 
422,2012-01-04,13,32,45,50,M, 
423,2012-01-04,13,32,58,2,M, 
424,2012-01-04,13,37,5,53,M, 
425,2012-01-04,13,37,45,50,M, 
426,2012-01-04,13,37,53,2,M, 
427,2012-01-04,13,40,5,81,M, 
428,2012-01-04,13,40,45,54,M, 
429,2012-01-04,14,2,5,58, 9, 
430,2012-01-04,14,2,11,2, 9, 
431,2012-01-04,14,2,44,148, 9, 
432,2012-01-04,14,6,9,54, 9, 
433,2012-01-04,14,6,14,7, 9, 
434,2012-01-04,14,6,45,51, 9, 
435,2012-01-04,14,38,9,56, 9, 
436,2012-01-04,14,38,45,65, 9, 
437,2012-01-04,14,38,52,1, 9, 
438,2012-01-04,14,42,5,15, 9, 
439,2012-01-04,14,42,45,69, 9, 
440,2012-01-04,14,42,82,2, 9, 
441,2012-01-04,15,19,16,27,-8, 
442,2012-01-04,15,19,69,1,-8, 
443,2012-01-04,15,19,83,4,-8, 
444,2012-01-04,16,14,9,9,M, 
445,2012-01-04,16,14,25,17,M, 
446,2012-01-04,16,14,50,2,M, 
447,2012-01-04,16,45,9,29,M, 
448,2012-01-04,17,9,5,69,M,RA
449,2012-01-04,17,9,45,70,M,RA
450,2012-01-04,17,9,93,1,M,RA
451,2012-01-04,17,18,5,22,M,RA
452,2012-01-04,17,18,37,17,M,RA
453,2012-01-04,17,23,5,69,M,RA
454,2012-01-04,17,23,45,17,M,RA
455,2012-01-04,17,26,5,43,M,RA
456,2012-01-04,17,26,45,45,M,RA
457,2012-01-04,17,31,9,29,M,RA
458,2012-01-04,17,31,45,64,M,RA
459,2012-01-04,17,34,9,58,M,RA
460,2012-01-04,17,34,45,104,M,RA
461,2012-01-04,17,34,52,2,M,RA
462,2012-01-04,18,36,9,8, 5, 
463,2012-01-04,18,36,30,1, 5, 
464,2012-01-04,18,36,44,83, 5, 
465,2012-01-04,19,30,16,41, 8, 
466,2012-01-04,19,30,44,189, 8, 
467,2012-01-04,19,30,51,1, 8, 
468,2012-01-04,20,17,9,201,M, 
469,2012-01-04,20,17,37,51,M, 
470,2012-01-04,20,17,48,148,M, 
471,2012-01-05,1,1,9,16,M, 
472,2012-01-05,1,1,28,1,M, 
473,2012-01-05,2,16,16,32, 2, 
474,2012-01-05,2,16,25,196, 2, 
475,2012-01-05,2,16,50,1, 2, 
476,2012-01-05,3,21,5,92,14, 
477,2012-01-05,3,21,44,84,14, 
478,2012-01-05,3,29,8,63,14, 
479,2012-01-05,3,29,41,23,14, 
480,2012-01-05,3,29,45,93,14, 
481,2012-01-05,3,33,9,343,14, 
482,2012-01-05,3,33,44,357,14, 
483,2012-01-05,3,33,92,5,14, 
484,2012-01-05,4,8,5,61, 6, 
485,2012-01-05,4,8,23,10, 6, 
486,2012-01-05,4,8,59,1, 6, 
487,2012-01-05,6,7,5,130, 6, 
488,2012-01-05,6,7,7,1, 6, 
489,2012-01-05,6,7,23,17, 6, 
490,2012-01-05,6,13,5,186, 6, 
491,2012-01-05,6,13,36,106, 6, 
492,2012-01-05,6,13,46,3, 6, 
493,2012-01-05,7,3,5,75,M, 
494,2012-01-05,7,3,45,111,M, 
495,2012-01-05,7,20,5,205,M, 
496,2012-01-05,7,20,18,1,M, 
497,2012-01-05,7,20,41,38,M, 
498,2012-01-05,7,20,74,5,M, 
499,2012-01-05,7,28,5,54,M, 
500,2012-01-05,7,28,45,68,M, 
501,2012-01-05,8,39,9,12,M, 
502,2012-01-05,8,39,36,20,M, 
503,2012-01-05,9,4,9,128,M,BR
504,2012-01-05,9,4,27,6,M,BR
505,2012-01-05,9,24,6,129,M,BR
506,2012-01-05,9,24,43,94,M,BR
507,2012-01-05,9,24,60,2,M,BR
508,2012-01-05,10,11,9,49,M, 
509,2012-01-05,10,11,61,1,M, 
510,2012-01-05,10,11,68,59,M, 
511,2012-01-05,10,22,9,107,M, 
512,2012-01-05,10,22,68,48,M, 
513,2012-01-05,10,22,93,2,M, 
514,2012-01-05,10,27,9,35,M, 
515,2012-01-05,10,27,21,3,M, 
516,2012-01-05,10,27,68,40,M, 
517,2012-01-05,11,12,16,32,-3, 
518,2012-01-05,11,12,37,27,-3, 
519,2012-01-05,11,12,79,2,-3, 
520,2012-01-05,11,43,16,73,-3, 
521,2012-01-05,11,43,37,26,-3, 
522,2012-01-05,12,5,16,38,M, 
523,2012-01-05,12,5,37,17,M, 
524,2012-01-05,12,10,5,58,M, 
525,2012-01-05,12,10,21,1,M, 
526,2012-01-05,12,10,37,26,M, 
527,2012-01-05,12,41,16,56,M, 
528,2012-01-05,12,41,61,1,M, 
529,2012-01-05,12,41,68,96,M, 
530,2012-01-05,12,44,5,48,M, 
531,2012-01-05,12,44,62,3,M, 
532,2012-01-05,12,44,68,63,M, 
533,2012-01-05,13,15,5,112,M, 
534,2012-01-05,13,15,45,103,M, 
535,2012-01-05,13,15,61,2,M, 
536,2012-01-05,13,15,93,5,M, 
537,2012-01-05,13,25,9,125,M, 
538,2012-01-05,13,25,45,80,M, 
539,2012-01-05,13,25,81,12,M, 
540,2012-01-05,13,32,9,96,M, 
541,2012-01-05,13,32,19,1,M, 
542,2012-01-05,13,32,45,32,M, 
543,2012-01-05,13,37,5,43,M, 
544,2012-01-05,13,37,45,62,M, 
545,2012-01-05,13,37,53,1,M, 
546,2012-01-05,13,40,5,80,M, 
547,2012-01-05,13,40,45,54,M, 
548,2012-01-05,13,40,51,3,M, 
549,2012-01-05,13,40,55,1,M, 
550,2012-01-05,14,2,5,138,12, 
551,2012-01-05,14,2,11,3,12, 
552,2012-01-05,14,2,44,157,12, 
553,2012-01-05,14,6,9,88,12, 
554,2012-01-05,14,6,14,2,12, 
555,2012-01-05,14,6,45,49,12, 
556,2012-01-05,14,38,9,132,12, 
557,2012-01-05,14,38,45,142,12, 
558,2012-01-05,14,38,52,1,12, 
559,2012-01-05,14,42,5,112,12, 
560,2012-01-05,14,42,45,106,12, 
561,2012-01-05,14,42,82,2,12, 
562,2012-01-05,15,19,16,48, 6, 
563,2012-01-05,15,19,69,2, 6, 
564,2012-01-05,15,19,83,9, 6, 
565,2012-01-05,16,14,9,40,M, 
566,2012-01-05,16,14,25,13,M, 
567,2012-01-05,16,14,50,2,M, 
568,2012-01-05,16,14,70,2,M, 
569,2012-01-05,16,45,9,45,M, 
570,2012-01-05,17,9,5,133,M, 
571,2012-01-05,17,9,45,75,M, 
572,2012-01-05,17,18,5,47,M, 
573,2012-01-05,17,18,37,18,M, 
574,2012-01-05,17,23,5,57,M, 
575,2012-01-05,17,23,45,35,M, 
576,2012-01-05,17,26,5,56,M, 
577,2012-01-05,17,26,45,37,M, 
578,2012-01-05,17,31,9,110,M, 
579,2012-01-05,17,31,45,97,M, 
580,2012-01-05,17,34,9,95,M, 
581,2012-01-05,17,34,31,5,M, 
582,2012-01-05,17,34,45,165,M, 
583,2012-01-05,17,34,52,4,M, 
584,2012-01-05,18,36,9,41, 6, 
585,2012-01-05,18,36,30,1, 6, 
586,2012-01-05,18,36,44,131, 6, 
587,2012-01-05,19,30,16,52,16, 
588,2012-01-05,19,30,44,259,16, 
589,2012-01-05,19,30,49,1,16, 
590,2012-01-05,19,30,65,1,16, 
591,2012-01-05,20,17,9,277,M, 
592,2012-01-05,20,17,37,69,M, 
593,2012-01-05,20,17,48,182,M, 
594,2012-01-06,1,1,9,12,M,SN
595,2012-01-06,1,1,28,2,M,SN
596,2012-01-06,2,16,16,27,10,SN
597,2012-01-06,2,16,25,168,10,SN
598,2012-01-06,2,16,39,1,10,SN
599,2012-01-06,2,16,50,1,10,SN
600,2012-01-06,3,21,5,77,19, 
601,2012-01-06,3,21,44,65,19, 
602,2012-01-06,3,21,91,1,19, 
603,2012-01-06,3,29,8,37,19, 
604,2012-01-06,3,29,41,9,19, 
605,2012-01-06,3,29,45,87,19, 
606,2012-01-06,3,29,56,1,19, 
607,2012-01-06,3,33,9,115,19, 
608,2012-01-06,3,33,44,214,19, 
609,2012-01-06,3,33,92,1,19, 
610,2012-01-06,4,8,5,14,14,BR
611,2012-01-06,4,8,23,4,14,BR
612,2012-01-06,4,8,93,6,14,BR
613,2012-01-06,6,7,5,105,M,BR
614,2012-01-06,6,7,7,4,M,BR
615,2012-01-06,6,7,23,11,M,BR
616,2012-01-06,6,13,5,164,M,BR
617,2012-01-06,6,13,36,102,M,BR
618,2012-01-06,6,13,46,3,M,BR
619,2012-01-06,7,3,5,81,M, 
620,2012-01-06,7,3,45,76,M, 
621,2012-01-06,7,20,5,157,M, 
622,2012-01-06,7,20,18,1,M, 
623,2012-01-06,7,20,41,26,M, 
624,2012-01-06,7,20,74,2,M, 
625,2012-01-06,7,28,5,30,M, 
626,2012-01-06,7,28,45,53,M, 
627,2012-01-06,8,39,9,6,M,BR HZ
628,2012-01-06,8,39,36,15,M,BR HZ
629,2012-01-06,9,4,9,124,M, 
630,2012-01-06,9,4,27,4,M, 
631,2012-01-06,9,4,90,1,M, 
632,2012-01-06,9,24,6,80,M, 
633,2012-01-06,9,24,43,103,M, 
634,2012-01-06,10,11,9,17,M,FG+ BR
635,2012-01-06,10,11,61,7,M,FG+ BR
636,2012-01-06,10,11,68,53,M,FG+ BR
