,station_nbr,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
48,12,47.0,34.0,41.0,12.0,30.0,24.0,0.0,moderate,0.0,0.0,30.25,30.33,12.9,32.0,13.2
50,14,60.0,24.0,42.0,23.0,33.0,23.0,0.0,moderate,0.0,0.0,28.84,30.3,12.4,18.0,12.7
51,15,30.0,5.0,18.0,2.0,14.0,47.0,0.0,moderate,0.0,0.0,29.44,29.87,13.1,31.0,13.7
53,17,55.0,19.0,37.0,18.0,31.0,28.0,0.0,moderate,0.0,0.0,29.61,30.36,6.9,18.0,7.0
54,18,59.0,30.0,45.0,25.0,37.0,20.0,0.0,moderate,0.0,0.0,29.84,30.41,8.8,17.0,9.1
55,19,26.0,10.0,18.0,5.0,15.0,47.0,0.0,moderate,0.0,0.0,29.43,30.26,5.5,23.0,9.2
56,20,59.0,30.0,45.0,23.0,37.0,20.0,0.0,moderate,0.0,0.0,29.63,30.41,7.9,17.0,8.5
58,2,21.0,5.0,13.0,0.0,11.0,52.0,0.0,moderate,0.0,0.0,28.87,30.01,10.1,27.0,11.7
59,3,63.0,31.0,47.0,26.0,37.0,18.0,0.0,moderate,0.0,0.0,29.53,30.27,2.5,31.0,4.9
60,4,73.0,41.0,57.0,39.0,47.0,8.0,0.0,moderate,0.0,0.0,29.55,30.28,1.3,35.0,2.2
61,6,71.0,31.0,51.0,41.0,45.0,14.0,0.0,BR,0.0,0.0,29.72,30.28,0.8,22.0,4.7
62,7,58.0,32.0,45.0,28.0,37.0,20.0,0.0,moderate,0.0,0.0,28.9,30.31,5.0,33.0,7.4
66,11,54.0,22.0,38.0,15.0,29.0,27.0,0.0,moderate,0.0,0.0,30.34,30.37,2.3,27.0,3.1
67,12,53.0,31.0,42.0,17.0,32.0,23.0,0.0,moderate,0.0,0.0,30.34,30.38,2.7,32.0,4.2
69,14,58.0,32.0,45.0,27.0,37.0,20.0,0.0,moderate,0.0,0.0,28.89,30.29,6.1,34.0,7.6
70,15,23.0,3.0,13.0,-1.0,11.0,52.0,0.0,moderate,0.0,0.0,29.63,30.02,5.1,30.0,6.4
73,18,62.0,37.0,50.0,33.0,41.0,15.0,0.0,moderate,0.0,0.0,29.75,30.28,0.8,15.0,5.5
74,19,34.0,24.0,29.0,17.0,25.0,36.0,0.0,moderate,0.0,0.0,29.21,30.0,7.9,27.0,9.7
75,20,62.0,38.0,50.0,32.0,41.0,15.0,0.0,moderate,0.0,0.0,29.54,30.27,1.1,32.0,4.9
77,2,31.0,20.0,26.0,12.0,21.0,39.0,0.0,moderate,0.0,0.0,28.7,29.84,10.9,26.0,11.3
78,3,68.0,31.0,50.0,28.0,41.0,15.0,0.0,moderate,0.0,0.0,29.35,30.11,7.3,19.0,7.6
79,4,70.0,44.0,57.0,41.0,49.0,8.0,0.0,moderate,0.0,0.0,29.51,30.24,0.4,31.0,1.8
80,6,71.0,38.0,55.0,43.0,50.0,10.0,0.0,moderate,0.0,0.0,29.68,30.24,0.3,25.0,2.3
81,7,66.0,28.0,47.0,29.0,40.0,18.0,0.0,moderate,0.0,0.0,28.71,30.13,12.2,20.0,12.4
83,9,46.0,21.0,34.0,28.0,32.0,31.0,0.0,BR,0.0,0.0,28.95,29.73,0.9,17.0,2.1
86,12,68.0,32.0,50.0,38.0,44.0,15.0,0.0,moderate,0.0,0.0,30.18,30.22,5.0,28.0,5.5
88,14,67.0,29.0,48.0,28.0,38.0,17.0,0.0,moderate,0.0,0.0,28.71,30.14,9.8,21.0,10.3
89,15,36.0,17.0,27.0,13.0,22.0,38.0,0.0,moderate,0.0,0.0,29.42,29.82,3.5,29.0,5.8
91,17,68.0,26.0,47.0,26.0,38.0,18.0,0.0,moderate,0.0,0.0,29.42,30.14,4.3,20.0,4.4
92,18,66.0,35.0,51.0,33.0,42.0,14.0,0.0,moderate,0.0,0.0,29.66,30.21,2.7,18.0,2.9
93,19,47.0,26.0,37.0,26.0,33.0,28.0,0.0,moderate,0.0,0.0,29.02,29.83,8.4,23.0,8.5
94,20,67.0,36.0,52.0,33.0,43.0,13.0,0.0,moderate,0.0,0.0,29.46,30.21,2.1,23.0,4.4
96,2,47.0,21.0,34.0,23.0,30.0,31.0,0.0,SN,0.2,0.01,28.71,29.81,6.4,22.0,6.8
97,3,69.0,40.0,55.0,35.0,44.0,10.0,0.0,moderate,0.0,0.0,29.16,29.89,6.1,18.0,9.6
100,7,67.0,41.0,54.0,31.0,42.0,11.0,0.0,moderate,0.0,0.0,28.51,29.89,7.3,22.0,14.4
102,9,47.0,34.0,41.0,28.0,36.0,24.0,0.0,moderate,0.0,0.0,29.0,29.75,9.3,28.0,9.5
104,11,71.0,36.0,54.0,40.0,46.0,11.0,0.0,FG+ BR,0.0,0.0,30.12,30.16,1.8,25.0,2.1
105,12,70.0,38.0,54.0,43.0,48.0,11.0,0.0,FG+ BR,0.0,0.0,30.12,30.17,2.4,24.0,2.6
107,14,67.0,37.0,52.0,31.0,42.0,13.0,0.0,moderate,0.0,0.0,28.5,29.89,5.1,21.0,12.2
108,15,33.0,15.0,24.0,19.0,23.0,41.0,0.0,SN,0.2,0.01,29.46,29.83,0.6,35.0,1.8
110,17,69.0,34.0,52.0,34.0,43.0,13.0,0.0,moderate,0.0,0.0,29.23,29.92,3.4,19.0,7.5
111,18,73.0,48.0,61.0,46.0,53.0,4.0,0.0,moderate,0.0,0.0,29.39,29.93,8.6,19.0,9.1
112,19,51.0,38.0,45.0,29.0,38.0,20.0,0.0,moderate,0.0,0.0,28.95,29.71,7.2,27.0,7.9
113,20,74.0,50.0,62.0,47.0,54.0,3.0,0.0,moderate,0.0,0.0,29.19,29.93,7.0,19.0,8.0
115,2,56.0,37.0,47.0,29.0,38.0,18.0,0.0,moderate,0.0,0.0,28.63,29.75,8.9,26.0,9.6
116,3,58.0,36.0,47.0,26.0,39.0,18.0,0.0,moderate,0.0,0.0,29.36,30.06,8.2,1.0,8.9
118,6,70.0,46.0,58.0,45.0,51.0,7.0,0.0,FG+ BR,0.0,0.0,29.47,30.0,1.6,33.0,3.4
119,7,58.0,33.0,46.0,25.0,37.0,19.0,0.0,moderate,0.0,0.0,28.69,30.06,9.8,2.0,10.4
124,12,71.0,43.0,57.0,51.0,54.0,8.0,0.0,FG+ FG BR,0.0,0.01,30.09,30.15,1.9,25.0,2.4
126,14,59.0,38.0,49.0,24.0,38.0,16.0,0.0,moderate,0.0,0.0,28.66,30.05,11.0,3.0,11.8
127,15,44.0,22.0,33.0,25.0,29.0,32.0,0.0,moderate,0.0,0.0,29.35,29.75,0.6,29.0,0.9
129,17,60.0,40.0,50.0,25.0,39.0,15.0,0.0,moderate,0.0,0.0,29.41,30.08,9.2,2.0,9.4
130,18,61.0,44.0,53.0,41.0,47.0,12.0,0.0,moderate,0.0,0.0,29.47,29.98,4.3,31.0,6.4
131,19,41.0,29.0,35.0,23.0,31.0,30.0,0.0,moderate,0.0,0.0,29.32,30.03,7.4,30.0,7.7
132,20,61.0,45.0,53.0,41.0,47.0,12.0,0.0,moderate,0.0,0.0,29.27,29.97,5.9,29.0,8.1
134,2,39.0,25.0,32.0,20.0,29.0,33.0,0.0,moderate,0.0,0.0,28.95,30.11,10.8,29.0,11.0
135,3,53.0,33.0,43.0,28.0,38.0,22.0,0.0,moderate,0.0,0.0,29.45,30.16,8.3,36.0,8.4
137,6,61.0,42.0,52.0,49.0,52.0,13.0,0.0,RA BR,0.0,0.01,29.47,30.0,7.7,2.0,8.1
138,7,51.0,39.0,45.0,26.0,37.0,20.0,0.0,moderate,0.0,0.0,28.78,30.16,10.6,1.0,10.8
142,11,75.0,42.0,59.0,49.0,53.0,6.0,0.0,BR,0.0,0.0,30.17,30.21,2.0,15.0,2.5
143,12,74.0,45.0,60.0,51.0,54.0,5.0,0.0,FG BR,0.0,0.0,30.16,30.22,1.1,14.0,1.5
145,14,51.0,42.0,47.0,26.0,38.0,18.0,0.0,moderate,0.0,0.0,28.76,30.14,10.5,2.0,10.8
146,15,41.0,21.0,31.0,20.0,27.0,34.0,0.0,moderate,0.0,0.0,29.67,30.11,7.4,31.0,7.9
148,17,53.0,38.0,46.0,27.0,38.0,19.0,0.0,moderate,0.0,0.0,29.5,30.18,7.2,1.0,7.6
149,18,58.0,40.0,49.0,45.0,48.0,16.0,0.0,TSRA FG+ BR HZ,0.0,0.02,29.56,30.07,3.8,2.0,4.1
150,19,41.0,19.0,30.0,21.0,28.0,35.0,0.0,moderate,0.0,0.0,29.53,30.29,4.4,23.0,4.5
151,20,59.0,39.0,49.0,44.0,47.0,16.0,0.0,RA BR HZ VCTS,0.0,0.13,29.34,30.06,4.7,1.0,5.8
154,3,54.0,26.0,40.0,27.0,35.0,25.0,0.0,moderate,0.0,0.0,29.46,30.2,6.6,35.0,7.2
155,4,57.0,42.0,50.0,47.0,48.0,15.0,0.0,RA BR,0.0,0.87,29.33,30.02,6.6,34.0,8.2
156,6,58.0,43.0,51.0,48.0,49.0,14.0,0.0,TSRA RA DZ BR,0.0,0.62,29.48,30.0,11.2,35.0,12.5
157,7,52.0,27.0,40.0,26.0,34.0,25.0,0.0,moderate,0.0,0.0,28.79,30.21,8.6,36.0,8.8
161,11,76.0,46.0,61.0,51.0,54.0,4.0,0.0,FG BR,0.0,0.0,30.14,30.17,1.6,25.0,1.8
162,12,75.0,49.0,62.0,53.0,56.0,3.0,0.0,FG+ BR,0.0,0.0,30.13,30.17,2.1,22.0,2.3
164,14,51.0,32.0,42.0,26.0,35.0,23.0,0.0,moderate,0.0,0.0,28.77,30.19,10.5,36.0,10.6
165,15,35.0,15.0,25.0,13.0,21.0,40.0,0.0,moderate,0.0,0.0,29.81,30.18,1.0,16.0,2.9
167,17,55.0,32.0,44.0,26.0,36.0,21.0,0.0,moderate,0.0,0.0,29.52,30.22,4.6,1.0,5.0
168,18,51.0,44.0,48.0,43.0,45.0,17.0,0.0,TSRA RA BR,0.0,1.32,29.54,30.08,8.0,36.0,9.0
169,19,46.0,27.0,37.0,26.0,32.0,28.0,0.0,moderate,0.0,0.0,29.23,30.03,11.7,24.0,12.1
170,20,50.0,44.0,47.0,43.0,45.0,18.0,0.0,RA BR VCTS,0.0,1.58,29.33,30.07,9.5,36.0,10.9
173,3,51.0,30.0,41.0,29.0,37.0,24.0,0.0,moderate,0.0,0.0,29.16,29.94,3.0,34.0,4.6
174,4,58.0,41.0,50.0,37.0,43.0,15.0,0.0,moderate,0.0,0.0,29.24,29.97,5.5,30.0,7.1
180,11,76.0,47.0,62.0,54.0,57.0,3.0,0.0,BR,0.0,0.0,30.02,30.05,3.7,17.0,4.1
181,12,75.0,48.0,62.0,55.0,58.0,3.0,0.0,BR,0.0,0.0,30.02,30.05,3.4,19.0,3.8
184,15,43.0,23.0,33.0,21.0,29.0,32.0,0.0,moderate,0.0,0.0,29.44,29.84,2.8,27.0,6.3
186,17,52.0,35.0,44.0,28.0,37.0,21.0,0.0,moderate,0.0,0.0,29.22,29.95,2.2,1.0,2.5
187,18,46.0,42.0,44.0,41.0,43.0,21.0,0.0,TS TSRA RA DZ BR,0.0,0.49,29.34,29.89,8.0,31.0,8.9
188,19,50.0,25.0,38.0,28.0,34.0,27.0,0.0,moderate,0.0,0.0,29.14,29.93,4.5,21.0,4.9
189,20,47.0,42.0,45.0,41.0,43.0,20.0,0.0,TSRA RA BR,0.0,0.3,29.13,29.88,11.3,31.0,11.7
191,2,38.0,28.0,33.0,22.0,28.0,32.0,0.0,moderate,0.0,0.0,28.92,30.06,1.5,9.0,4.5
192,3,61.0,29.0,45.0,30.0,36.0,20.0,0.0,SN BR,0.5,0.02,29.08,29.79,9.5,32.0,12.1
194,6,76.0,29.0,53.0,36.0,45.0,12.0,0.0,moderate,0.0,0.0,29.28,29.81,5.8,24.0,9.9
203,15,34.0,21.0,28.0,18.0,25.0,37.0,0.0,SN BR,0.0,0.0,29.67,30.09,1.1,36.0,3.2
206,18,65.0,36.0,51.0,39.0,45.0,14.0,0.0,moderate,0.0,0.0,29.26,29.76,3.6,34.0,8.1
207,19,55.0,28.0,42.0,29.0,35.0,23.0,0.0,BR HZ,0.0,0.0,28.85,29.64,0.7,21.0,2.5
208,20,64.0,37.0,51.0,39.0,45.0,14.0,0.0,moderate,0.0,0.0,29.05,29.76,4.4,31.0,9.2
210,2,33.0,30.0,32.0,31.0,31.0,33.0,0.0,RA SN FG+ FG FZFG BR UP,3.6,1.06,28.62,29.69,10.5,5.0,10.7
211,3,35.0,21.0,28.0,9.0,23.0,37.0,0.0,moderate,0.0,0.0,29.39,30.11,14.5,30.0,15.1
212,4,50.0,33.0,42.0,16.0,33.0,23.0,0.0,moderate,0.0,0.0,29.54,30.24,8.2,34.0,8.3
213,6,51.0,28.0,40.0,18.0,33.0,25.0,0.0,moderate,0.0,0.0,29.7,30.22,13.3,34.0,13.9
214,7,36.0,18.0,27.0,3.0,21.0,38.0,0.0,moderate,0.0,0.0,28.77,30.17,12.4,31.0,12.8
218,11,74.0,47.0,61.0,52.0,56.0,4.0,0.0,BR,0.0,0.0,29.79,29.84,10.8,24.0,11.4
219,12,74.0,49.0,62.0,53.0,58.0,3.0,0.0,moderate,0.0,0.0,29.79,29.84,10.0,24.0,10.5
221,14,37.0,18.0,28.0,2.0,22.0,37.0,0.0,moderate,0.0,0.0,28.76,30.16,16.8,32.0,17.3
222,15,32.0,26.0,29.0,26.0,28.0,36.0,0.0,SN FZFG BR UP,3.7,0.34,29.44,29.78,6.9,4.0,7.7
224,17,35.0,23.0,29.0,7.0,22.0,36.0,0.0,moderate,0.0,0.0,29.46,30.14,5.3,30.0,7.2
225,18,42.0,29.0,36.0,14.0,29.0,29.0,0.0,moderate,0.0,0.0,29.7,30.2,12.6,32.0,12.9
227,20,43.0,27.0,35.0,13.0,28.0,30.0,0.0,moderate,0.0,0.0,29.48,30.18,13.2,32.0,14.4
230,3,48.0,20.0,34.0,10.0,26.0,31.0,0.0,moderate,0.0,0.0,29.41,30.16,3.5,23.0,5.6
231,4,58.0,32.0,45.0,22.0,36.0,20.0,0.0,moderate,0.0,0.0,29.59,30.3,1.6,28.0,3.9
232,6,59.0,26.0,43.0,23.0,35.0,22.0,0.0,moderate,0.0,0.0,29.77,30.3,2.1,21.0,3.7
233,7,52.0,17.0,35.0,17.0,28.0,30.0,0.0,moderate,0.0,0.0,28.76,30.18,5.9,22.0,6.5
237,11,63.0,38.0,51.0,21.0,37.0,14.0,0.0,moderate,0.0,0.0,30.04,30.13,9.6,28.0,10.0
238,12,65.0,42.0,54.0,22.0,39.0,11.0,0.0,moderate,0.0,0.0,30.03,30.12,9.5,29.0,10.3
240,14,52.0,18.0,35.0,15.0,27.0,30.0,0.0,moderate,0.0,0.0,28.74,30.17,4.4,23.0,5.8
241,15,36.0,26.0,31.0,25.0,28.0,34.0,0.0,FZRA SN BR UP,0.0,0.11,29.0,29.38,5.2,25.0,6.9
243,17,49.0,15.0,32.0,10.0,25.0,33.0,0.0,moderate,0.0,0.0,29.48,30.19,2.0,22.0,2.2
244,18,56.0,28.0,42.0,24.0,35.0,23.0,0.0,moderate,0.0,0.0,29.7,30.23,3.8,20.0,3.9
245,19,22.0,18.0,20.0,14.0,19.0,45.0,0.0,SN,0.6,0.05,29.11,29.84,11.0,30.0,11.1
246,20,57.0,27.0,42.0,21.0,35.0,23.0,0.0,moderate,0.0,0.0,29.5,30.22,3.4,21.0,4.0
248,2,28.0,12.0,20.0,8.0,19.0,45.0,0.0,moderate,0.0,0.0,28.64,29.81,16.1,27.0,16.7
249,3,55.0,31.0,43.0,21.0,34.0,22.0,0.0,moderate,0.0,0.0,29.47,30.2,5.1,29.0,6.7
251,6,66.0,22.0,44.0,25.0,36.0,21.0,0.0,moderate,0.0,0.0,29.8,30.35,4.1,21.0,4.4
252,7,57.0,29.0,43.0,16.0,33.0,22.0,0.0,moderate,0.0,0.0,28.83,30.23,2.6,32.0,7.8
256,11,56.0,29.0,43.0,21.0,34.0,22.0,0.0,moderate,0.0,0.0,30.27,30.31,5.6,30.0,6.1
257,12,56.0,33.0,45.0,22.0,36.0,20.0,0.0,moderate,0.0,0.0,30.26,30.31,7.8,31.0,8.4
259,14,58.0,29.0,44.0,15.0,33.0,21.0,0.0,moderate,0.0,0.0,28.81,30.22,2.9,34.0,7.6
260,15,31.0,5.0,18.0,10.0,19.0,47.0,0.0,moderate,0.0,0.0,29.34,29.8,11.0,30.0,12.3
262,17,56.0,23.0,40.0,19.0,31.0,25.0,0.0,moderate,0.0,0.0,29.54,30.23,0.9,29.0,2.6
263,18,67.0,37.0,52.0,28.0,40.0,13.0,0.0,moderate,0.0,0.0,29.73,30.26,2.5,19.0,4.3
264,19,21.0,14.0,18.0,9.0,15.0,47.0,0.0,SN,0.3,0.01,29.38,30.12,5.4,27.0,5.7
265,20,69.0,42.0,56.0,26.0,42.0,9.0,0.0,moderate,0.0,0.0,29.53,30.25,5.7,24.0,7.3
267,2,13.0,2.0,8.0,-3.0,5.0,57.0,0.0,moderate,0.0,0.0,29.05,30.28,13.6,31.0,13.8
268,3,64.0,32.0,48.0,28.0,40.0,17.0,0.0,moderate,0.0,0.0,29.29,30.06,16.3,17.0,16.5
269,4,64.0,37.0,51.0,41.0,48.0,14.0,0.0,moderate,0.0,0.0,29.53,30.26,2.7,18.0,4.4
271,7,61.0,32.0,47.0,30.0,41.0,18.0,0.0,moderate,0.0,0.0,28.61,30.02,18.9,18.0,19.3
275,11,63.0,33.0,48.0,27.0,38.0,17.0,0.0,moderate,0.0,0.0,30.35,30.41,4.3,29.0,5.0
276,12,64.0,32.0,48.0,30.0,40.0,17.0,0.0,moderate,0.0,0.0,30.35,30.41,5.1,31.0,5.4
278,14,61.0,28.0,45.0,31.0,40.0,20.0,0.0,moderate,0.0,0.0,28.61,30.03,14.7,17.0,15.1
279,15,10.0,-1.0,5.0,-7.0,2.0,60.0,0.0,moderate,0.0,0.0,29.85,30.31,11.2,31.0,11.4
281,17,65.0,25.0,45.0,27.0,39.0,20.0,0.0,moderate,0.0,0.0,29.36,30.09,10.0,18.0,10.2
282,18,65.0,38.0,52.0,37.0,46.0,13.0,0.0,moderate,0.0,0.0,29.64,30.18,12.7,17.0,13.4
284,20,64.0,41.0,53.0,36.0,46.0,12.0,0.0,moderate,0.0,0.0,29.44,30.17,10.4,18.0,10.8
286,2,30.0,4.0,17.0,3.0,14.0,48.0,0.0,SN FZFG BR UP,2.0,0.15,29.27,30.41,8.6,24.0,12.0
287,3,72.0,56.0,64.0,51.0,56.0,1.0,0.0,moderate,0.0,0.0,29.03,29.77,19.7,19.0,20.0
288,4,73.0,60.0,67.0,59.0,62.0,0.0,2.0,BR,0.0,0.0,29.33,30.05,7.1,18.0,7.6
290,7,68.0,51.0,60.0,48.0,53.0,5.0,0.0,moderate,0.0,0.0,28.41,29.8,20.6,19.0,20.9
294,11,68.0,30.0,49.0,40.0,45.0,16.0,0.0,moderate,0.0,0.0,30.42,30.45,3.7,10.0,4.1
295,12,67.0,36.0,52.0,43.0,48.0,13.0,0.0,moderate,0.0,0.0,30.41,30.44,2.5,12.0,3.7
297,14,69.0,52.0,61.0,49.0,53.0,4.0,0.0,moderate,0.0,0.0,28.41,29.81,19.7,20.0,20.0
300,17,73.0,56.0,65.0,50.0,56.0,0.0,0.0,moderate,0.0,0.0,29.1,29.82,16.4,20.0,16.6
301,18,70.0,61.0,66.0,57.0,61.0,0.0,1.0,moderate,0.0,0.0,29.42,29.96,13.3,20.0,13.4
302,19,41.0,29.0,35.0,28.0,32.0,30.0,0.0,BR,0.0,0.0,29.01,29.81,3.6,22.0,8.3
303,20,71.0,61.0,66.0,57.0,61.0,0.0,1.0,moderate,0.0,0.0,29.23,29.96,11.0,19.0,11.1
305,2,44.0,30.0,37.0,33.0,35.0,28.0,0.0,RA SN FG+ BR,1.2,0.09,28.74,29.8,13.5,23.0,13.8
306,3,66.0,22.0,44.0,20.0,29.0,21.0,0.0,moderate,0.0,0.0,29.56,30.24,11.6,33.0,13.7
307,4,74.0,44.0,59.0,46.0,54.0,6.0,0.0,BR,0.0,0.0,29.46,30.12,5.6,35.0,7.8
309,7,62.0,24.0,43.0,17.0,27.0,22.0,0.0,moderate,0.0,0.0,28.9,30.27,15.2,35.0,16.8
313,11,76.0,40.0,58.0,48.0,53.0,7.0,0.0,moderate,0.0,0.0,30.22,30.25,4.4,24.0,4.5
314,12,75.0,44.0,60.0,50.0,54.0,5.0,0.0,moderate,0.0,0.0,30.22,30.25,3.9,22.0,4.2
316,14,62.0,25.0,44.0,17.0,28.0,21.0,0.0,moderate,0.0,0.0,28.89,30.25,16.4,35.0,17.9
317,15,39.0,27.0,33.0,31.0,33.0,32.0,0.0,RA SN FG BR,1.4,0.22,29.47,29.79,3.1,16.0,3.4
319,17,66.0,26.0,46.0,18.0,30.0,19.0,0.0,moderate,0.0,0.0,29.62,30.26,7.0,34.0,8.9
320,18,68.0,38.0,53.0,35.0,44.0,12.0,0.0,moderate,0.0,0.0,29.68,30.18,9.4,35.0,12.0
322,20,68.0,38.0,53.0,35.0,45.0,12.0,0.0,moderate,0.0,0.0,29.47,30.16,9.2,34.0,13.1
324,2,46.0,16.0,31.0,14.0,25.0,34.0,0.0,moderate,0.0,0.0,28.62,29.81,17.0,28.0,19.2
325,3,45.0,17.0,31.0,18.0,29.0,34.0,0.0,moderate,0.0,0.0,29.4,30.16,5.9,18.0,6.5
326,4,66.0,36.0,51.0,30.0,42.0,14.0,0.0,moderate,0.0,0.0,29.47,30.2,0.2,11.0,3.7
327,6,64.0,35.0,50.0,31.0,41.0,15.0,0.0,moderate,0.0,0.0,29.65,30.2,1.6,2.0,7.6
328,7,46.0,21.0,34.0,18.0,29.0,31.0,0.0,moderate,0.0,0.0,28.71,30.14,10.4,19.0,11.6
332,11,63.0,46.0,55.0,54.0,55.0,10.0,0.0,RA BR,0.0,0.06,30.02,30.05,4.3,24.0,6.4
333,12,64.0,50.0,57.0,54.0,56.0,8.0,0.0,RA BR,0.0,0.05,30.02,30.06,4.6,25.0,6.2
335,14,46.0,17.0,32.0,18.0,28.0,33.0,0.0,moderate,0.0,0.0,28.71,30.15,7.5,19.0,9.0
338,17,46.0,17.0,32.0,17.0,28.0,33.0,0.0,moderate,0.0,0.0,29.47,30.19,3.4,18.0,4.2
339,18,55.0,30.0,43.0,26.0,37.0,22.0,0.0,moderate,0.0,0.0,29.64,30.19,2.5,14.0,5.5
340,19,24.0,6.0,15.0,7.0,14.0,50.0,0.0,moderate,0.0,0.0,29.27,30.09,7.8,22.0,9.7
341,20,55.0,28.0,42.0,26.0,37.0,23.0,0.0,moderate,0.0,0.0,29.42,30.18,1.9,11.0,4.6
343,2,26.0,10.0,18.0,9.0,16.0,47.0,0.0,SN BR,1.3,0.14,29.02,30.13,2.0,12.0,6.8
344,3,54.0,28.0,41.0,26.0,34.0,24.0,0.0,moderate,0.0,0.0,29.16,29.93,3.8,1.0,6.8
345,4,80.0,45.0,63.0,49.0,55.0,2.0,0.0,moderate,0.0,0.0,29.21,29.93,4.0,20.0,4.3
346,6,77.0,46.0,62.0,50.0,54.0,3.0,0.0,moderate,0.0,0.0,29.38,29.93,9.6,20.0,9.7
347,7,52.0,28.0,40.0,27.0,34.0,25.0,0.0,moderate,0.0,0.0,28.48,29.9,2.3,34.0,10.2
351,11,65.0,32.0,49.0,30.0,40.0,16.0,0.0,moderate,0.0,0.0,30.09,30.14,0.7,35.0,2.9
352,12,64.0,34.0,49.0,33.0,42.0,16.0,0.0,moderate,0.0,0.0,30.08,30.14,2.3,35.0,3.5
354,14,54.0,30.0,42.0,27.0,35.0,23.0,0.0,moderate,0.0,0.0,28.48,29.9,4.0,36.0,9.4
