,units
888,1
889,16
890,10
891,1
892,41
893,3
894,1
895,7
896,7
897,1
898,6
899,33
900,13
901,5
902,6
903,26
904,9
905,1
906,8
907,36
908,5
909,2
910,1
911,1
912,10
913,6
914,8
915,2
916,8
917,5
918,24
919,3
920,3
921,9
922,4
923,34
924,8
925,1
926,1
927,2
928,4
929,27
930,5
931,4
932,9
933,1
934,24
935,6
936,1
937,2
938,1
939,12
940,4
941,1
942,1
943,29
944,1
945,2
946,5
947,3
948,15
949,2
950,2
951,10
952,1
953,17
954,3
955,2
956,6
957,1
958,5
959,7
960,5
961,3
962,1
963,1
964,8
965,1
966,8
967,31
968,5
969,1
970,3
971,1
972,4
973,23
974,5
975,3
976,11
977,2
978,41
979,9
980,1
981,7
982,1
983,3
984,2
985,2
986,7
987,6
988,33
989,4
990,11
991,1
992,29
993,13
994,6
995,1
996,29
997,10
998,1
999,2
1000,4
1001,5
1002,15
1003,17
1004,8
1005,1
1006,8
1007,4
1008,20
1009,4
1010,3
1011,4
1012,4
1013,2
1014,3
1015,3
1016,7
1017,10
1018,2
1019,45
1020,6
1021,12
1022,1
1023,3
1024,33
1025,6
1026,2
1027,32
1028,7
1029,2
1030,1
1031,3
1032,3
1033,1
1034,38
1035,1
1036,4
1037,3
1038,2
1039,5
1040,10
1041,1
1042,28
1043,7
1044,4
1045,11
1046,1
1047,34
1048,6
1049,4
1050,15
1051,4
1052,2
1053,1
1054,37
1055,3
1056,1
1057,14
1058,4
1059,3
1060,5
1061,38
1062,7
1063,3
1064,24
1065,6
1066,23
1067,3
1068,1
1069,16
1070,5
1071,47
1072,4
1073,1
1074,1
1075,45
1076,2
1077,11
1078,39
1079,6
1080,8
1081,5
1082,1
1083,19
1084,6
1085,2
1086,25
1087,7
1088,28
1089,7
1090,40
1091,34
1092,6
1093,40
1094,8
1095,23
1096,12
1097,1
1098,43
1099,19
1100,3
1101,34
1102,2
1103,5
1104,26
1105,7
1106,3
1107,20
1108,3
1109,29
1110,5
1111,6
1112,3
1113,17
1114,7
1115,22
1116,9
1117,36
1118,4
1119,23
1120,2
1121,38
1122,3
1123,31
1124,2
1125,12
1126,15
1127,1
1128,34
1129,10
1130,46
1131,12
1132,38
1133,6
1134,41
1135,5
1136,3
1137,29
1138,5
1139,19
1140,4
1141,1
1142,6
1143,15
1144,5
1145,4
1146,5
1147,24
1148,2
1149,15
1150,3
1151,1
1152,14
1153,11
1154,16
1155,16
1156,9
1157,30
1158,5
1159,4
1160,16
1161,7
1162,25
1163,6
1164,8
1165,6
1166,6
1167,29
1168,5
1169,3
1170,1
1171,32
1172,9
1173,5
1174,41
1175,11
1176,38
1177,5
1178,45
1179,7
1180,19
1181,8
1182,2
1183,42
1184,2
1185,33
1186,4
1187,2
1188,17
1189,2
1190,19
1191,7
1192,1
1193,36
1194,6
1195,3
1196,5
1197,38
1198,3
1199,9
1200,10
1201,1
1202,30
1203,9
1204,15
1205,3
1206,21
1207,4
1208,5
1209,1
1210,26
1211,6
1212,12
1213,5
1214,4
1215,5
1216,25
1217,6
1218,22
1219,8
1220,12
1221,2
1222,17
1223,4
1224,41
1225,6
1226,44
1227,6
1228,9
1229,15
1230,22
1231,6
1232,23
1233,7
1234,27
1235,6
1236,36
1237,5
1238,35
1239,7
1240,23
1241,7
1242,19
1243,5
1244,15
1245,8
1246,23
1247,5
1248,23
1249,8
1250,14
1251,25
1252,9
1253,9
1254,32
1255,15
1256,7
1257,43
1258,3
1259,15
1260,7
1261,9
1262,31
1263,10
1264,10
1265,42
1266,7
1267,11
1268,18
1269,10
1270,7
1271,36
1272,8
1273,30
1274,7
1275,33
1276,17
1277,41
1278,16
1279,7
1280,13
1281,23
1282,12
1283,20
1284,12
1285,8
1286,30
1287,7
1288,10
1289,7
1290,20
1291,2
1292,1
1293,18
1294,6
1295,25
1296,7
1297,13
1298,1
1299,49
1300,5
1301,45
1302,10
1303,4
1304,6
1305,1
1306,34
1307,12
1308,4
1309,22
1310,10
1311,1
1312,28
1313,4
1314,23
1315,10
1316,1
1317,49
1318,8
1319,1
1320,31
1321,9
1322,2
1323,16
1324,8
1325,19
1326,5
1327,3
1328,19
1329,2
1330,5
1331,20
1332,4
1333,38
1334,11
1335,9
1336,1
1337,48
1338,10
1339,4
1340,27
1341,11
1342,35
1343,10
1344,17
1345,2
1346,33
1347,10
1348,1
1349,30
1350,15
1351,4
1352,24
1353,8
1354,26
1355,7
1356,1
1357,5
1358,2
1359,22
1360,6
1361,20
1362,2
1363,1
1364,18
1365,1
1366,28
1367,10
1368,33
1369,12
1370,4
1371,28
1372,5
1373,18
1374,5
1375,11
1376,2
1377,6
1378,1
1379,1
1380,6
1381,6
1382,7
1383,8
1384,1
1385,22
1386,9
1387,20
1388,2
1389,3
1390,43
1391,2
1392,1
1393,1
1394,1
1395,3
1396,26
1397,3
1398,10
1399,2
1400,2
1401,13
1402,17
1403,5
1404,6
1405,2
1406,15
1407,4
1408,10
1409,1
1410,46
1411,5
1412,14
1413,1
1414,5
1415,8
1416,22
1417,3
1418,3
1419,2
1420,3
1421,2
1422,8
1423,38
1424,1
1425,4
1426,17
1427,2
1428,22
1429,6
1430,6
1431,1
1432,16
1433,3
1434,7
1435,1
1436,42
1437,4
1438,24
1439,4
1440,41
1441,1
1442,22
1443,1
1444,2
1445,39
1446,5
1447,11
1448,1
1449,1
1450,32
1451,3
1452,7
1453,32
1454,3
1455,2
1456,3
1457,25
1458,5
1459,3
1460,12
1461,8
1462,3
1463,1
1464,17
1465,30
1466,7
1467,10
1468,23
1469,3
1470,1
1471,2
1472,2
1473,10
1474,1
1475,32
1476,1
1477,1
1478,14
1479,6
1480,3
1481,18
1482,5
1483,7
1484,4
1485,39
1486,5
1487,13
1488,4
1489,43
1490,3
1491,1
1492,5
1493,3
1494,4
1495,2
1496,7
1497,10
1498,3
1499,6
1500,14
1501,2
1502,1
1503,6
1504,6
1505,2
1506,4
1507,1
1508,14
1509,51
1510,4
1511,3
1512,3
1513,1
1514,2
1515,6
1516,4
1517,4
1518,2
1519,4
1520,22
1521,4
1522,2
1523,2
1524,5
1525,1
1526,15
1527,5
1528,11
1529,34
1530,7
1531,1
1532,11
1533,2
1534,35
1535,7
1536,24
1537,7
1538,28
1539,1
1540,1
1541,17
1542,1
1543,6
1544,11
1545,4
1546,39
1547,5
1548,1
1549,1
1550,7
1551,2
1552,1
1553,31
1554,3
1555,10
1556,3
1557,3
1558,1
1559,13
1560,12
1561,3
1562,20
1563,6
1564,6
1565,20
1566,6
1567,9
1568,30
1569,2
1570,1
1571,4
1572,6
1573,3
1574,19
1575,5
1576,2
1577,5
1578,1
1579,3
1580,29
1581,2
1582,4
1583,7
1584,8
1585,4
1586,7
1587,4
1588,7
1589,8
1590,46
1591,11
1592,1
1593,13
1594,10
1595,4
1596,2
1597,8
1598,5
1599,6
1600,10
1601,3
1602,1
1603,3
1604,7
1605,11
1606,6
1607,2
1608,9
1609,5
1610,10
1611,11
1612,1
1613,29
1614,9
1615,14
1616,6
1617,3
1618,22
1619,13
1620,2
1621,2
1622,21
1623,6
1624,10
1625,1
1626,16
1627,7
1628,1
1629,4
1630,18
1631,1
1632,20
1633,5
1634,11
1635,31
1636,2
1637,12
1638,4
1639,1
1640,15
1641,3
1642,2
1643,6
1644,2
1645,4
1646,1
1647,2
1648,1
1649,2
1650,9
1651,1
1652,8
1653,5
1654,44
1655,2
1656,8
1657,2
1658,25
1659,6
1660,12
1661,4
1662,2
1663,22
1664,1
1665,1
1666,4
1667,34
1668,2
1669,3
1670,5
1671,1
1672,5
1673,9
1674,2
1675,2
1676,1
1677,12
1678,3
1679,4
1680,4
1681,19
1682,4
1683,7
1684,4
1685,43
1686,3
1687,1
1688,2
1689,18
1690,7
1691,6
1692,2
1693,24
1694,4
1695,2
1696,3
1697,32
1698,3
1699,4
1700,1
1701,1
1702,1
1703,10
1704,5
1705,4
1706,10
1707,11
1708,3
1709,31
1710,5
1711,1
1712,7
1713,12
1714,3
1715,37
1716,3
1717,1
1718,8
1719,8
1720,24
1721,3
1722,1
1723,7
1724,2
1725,2
1726,1
1727,2
1728,6
1729,2
1730,4
1731,6
1732,4
1733,1
1734,47
1735,6
1736,11
1737,3
1738,4
1739,5
1740,2
1741,2
1742,16
1743,7
1744,4
1745,2
1746,2
1747,10
1748,1
1749,1
1750,8
1751,3
1752,5
1753,6
1754,2
1755,1
1756,33
1757,7
1758,10
1759,3
1760,30
1761,8
1762,9
1763,2
1764,3
1765,8
1766,6
1767,3
1768,6
1769,3
1770,1
1771,37
1772,10
1773,9
1774,5
1775,1
1776,1
1777,4
1778,2
1779,18
1780,2
1781,8
1782,8
1783,42
1784,4
1785,6
1786,1
1787,2
1788,5
1789,7
1790,8
1791,10
1792,1
1793,2
1794,5
1795,10
1796,21
1797,7
1798,8
1799,1
1800,7
1801,6
1802,3
1803,28
1804,3
1805,2
1806,6
1807,13
1808,5
1809,6
1810,7
1811,2
1812,1
1813,8
1814,10
1815,22
1816,8
1817,1
1818,9
1819,2
1820,4
1821,1
1822,3
1823,27
1824,3
1825,1
1826,7
1827,2
1828,1
1829,2
1830,1
1831,3
1832,3
1833,7
1834,1
1835,5
1836,5
1837,9
1838,1
1839,47
1840,10
1841,10
1842,2
1843,6
1844,12
1845,7
1846,31
1847,8
1848,1
1849,5
1850,5
1851,2
1852,4
1853,2
1854,3
1855,3
1856,2
1857,4
1858,2
1859,22
1860,4
1861,5
1862,1
1863,25
1864,9
1865,7
1866,4
1867,8
1868,7
1869,1
1870,4
1871,10
1872,16
1873,5
1874,5
1875,1
1876,37
1877,3
1878,6
1879,2
1880,6
1881,5
1882,34
1883,3
1884,7
1885,1
1886,10
1887,13
1888,2
1889,6
1890,13
1891,3
1892,6
1893,6
1894,7
1895,5
1896,5
1897,1
1898,3
1899,3
1900,18
1901,4
1902,7
1903,1
1904,3
1905,9
1906,6
1907,29
1908,8
1909,7
1910,1
1911,12
1912,9
1913,3
1914,37
1915,4
1916,8
1917,2
1918,4
1919,2
1920,15
1921,2
1922,9
1923,1
1924,2
1925,5
1926,9
1927,6
1928,1
1929,34
1930,8
1931,9
1932,4
1933,33
1934,9
1935,2
1936,5
1937,19
1938,2
1939,6
1940,8
1941,3
1942,7
1943,4
1944,2
1945,3
1946,4
1947,2
1948,1
1949,6
1950,12
1951,11
1952,6
1953,3
1954,19
1955,8
1956,4
1957,5
1958,8
1959,2
1960,29
1961,3
1962,3
1963,29
1964,3
1965,5
1966,10
1967,5
1968,7
1969,5
1970,11
1971,7
1972,9
1973,23
1974,4
1975,6
1976,5
1977,2
1978,6
1979,2
1980,6
1981,3
1982,4
1983,1
1984,4
1985,7
1986,12
1987,7
1988,9
1989,6
1990,3
1991,5
1992,23
1993,4
1994,2
1995,24
1996,8
1997,3
1998,6
1999,15
2000,2
2001,3
2002,23
2003,1
2004,6
2005,19
2006,7
2007,5
2008,37
2009,6
2010,5
2011,1
2012,2
2013,3
2014,3
2015,3
2016,1
2017,5
2018,5
2019,7
2020,7
2021,1
2022,17
2023,3
2024,7
2025,35
2026,4
2027,5
2028,5
2029,28
2030,7
2031,8
2032,2
2033,18
2034,3
2035,4
2036,17
2037,1
2038,4
2039,4
2040,9
2041,1
2042,1
2043,2
2044,5
2045,5
2046,2
2047,22
2048,7
2049,12
2050,28
2051,4
2052,8
2053,1
2054,22
2055,3
2056,5
2057,5
2058,8
2059,5
2060,3
2061,3
2062,6
2063,16
2064,5
2065,4
2066,4
2067,4
2068,5
2069,12
2070,15
2071,6
2072,5
2073,11
2074,5
2075,1
2076,2
2077,8
2078,3
2079,2
2080,2
2081,27
2082,2
2083,4
2084,24
2085,8
2086,12
2087,1
2088,20
2089,3
2090,2
2091,3
2092,8
2093,8
2094,41
2095,4
2096,7
2097,2
2098,3
2099,3
2100,42
2101,4
2102,6
2103,1
2104,24
2105,5
2106,4
2107,7
2108,31
2109,6
2110,9
2111,23
2112,1
2113,4
2114,8
2115,11
2116,3
2117,4
2118,5
2119,6
2120,21
2121,7
2122,17
2123,2
2124,7
2125,31
2126,6
2127,9
2128,3
2129,7
2130,8
2131,3
2132,6
2133,1
2134,6
2135,3
2136,6
2137,7
2138,15
2139,3
2140,10
2141,22
2142,2
2143,6
2144,37
2145,5
2146,9
2147,4
2148,5
2149,4
2150,7
2151,8
2152,10
2153,4
2154,10
2155,4
2156,12
2157,5
2158,9
2159,5
2160,12
2161,4
2162,7
2163,4
2164,12
2165,8
2166,11
2167,5
2168,4
2169,1
2170,7
2171,3
2172,2
2173,10
2174,2
2175,4
2176,5
2177,2
2178,18
2179,6
2180,2
2181,1
2182,8
2183,19
2184,2
2185,8
2186,27
2187,9
2188,11
2189,2
2190,41
2191,8
2192,16
2193,24
2194,6
2195,13
2196,3
2197,41
2198,12
2199,21
2200,5
2201,23
2202,2
2203,41
2204,18
2205,12
2206,21
2207,14
2208,13
2209,25
2210,15
2211,16
2212,18
2213,19
2214,19
2215,13
2216,12
2217,17
2218,27
2219,2
2220,20
2221,1
2222,47
2223,17
2224,4
2225,37
2226,11
2227,11
2228,19
2229,13
2230,12
2231,21
2232,16
2233,14
2234,16
2235,15
2236,2
2237,42
2238,17
2239,11
2240,4
2241,17
2242,12
2243,3
2244,31
2245,8
2246,12
2247,2
2248,11
2249,7
2250,1
2251,24
2252,11
2253,10
2254,15
2255,8
2256,8
2257,1
2258,28
2259,10
2260,12
2261,23
2262,9
2263,12
2264,7
2265,7
2266,9
2267,34
2268,6
2269,9
2270,6
2271,11
2272,8
2273,5
2274,5
2275,3
2276,15
2277,4
2278,4
2279,2
2280,14
2281,32
2282,9
2283,12
2284,4
2285,1
2286,3
2287,8
2288,2
2289,4
2290,29
2291,5
2292,1
2293,1
2294,7
2295,29
2296,9
2297,2
2298,4
2299,1
2300,9
2301,1
2302,22
2303,2
2304,2
2305,16
2306,6
2307,2
2308,5
2309,2
2310,2
2311,29
2312,1
2313,2
2314,22
2315,7
2316,8
2317,1
2318,6
2319,22
2320,4
2321,11
2322,22
2323,7
2324,4
2325,1
2326,3
2327,11
2328,1
2329,21
2330,1
2331,3
2332,38
2333,4
2334,13
2335,1
2336,24
2337,5
2338,5
2339,6
2340,3
2341,5
2342,21
2343,5
2344,7
2345,3
2346,2
2347,4
2348,1
2349,5
2350,4
2351,41
2352,3
2353,6
2354,34
2355,7
2356,6
2357,41
2358,7
2359,15
2360,2
2361,6
2362,3
2363,3
2364,16
2365,3
2366,6
2367,1
2368,1
2369,1
2370,3
2371,2
2372,21
2373,4
2374,6
2375,2
2376,44
2377,2
2378,2
2379,2
2380,1
2381,2
2382,4
2383,1
2384,8
2385,2
2386,9
2387,4
2388,1
2389,5
2390,5
2391,3
2392,7
2393,3
2394,1
2395,8
2396,2
2397,3
2398,4
2399,9
2400,6
2401,9
2402,4
2403,4
2404,8
2405,15
2406,4
2407,1
2408,3
2409,5
2410,1
2411,3
2412,1
2413,1
2414,18
2415,5
2416,2
2417,4
2418,28
2419,4
2420,1
2421,3
2422,44
2423,2
2424,1
2425,2
2426,109
2427,59
2428,79
2429,6
2430,1
2431,58
2432,2
2433,54
2434,7
2435,51
2436,56
2437,65
2438,1
2439,69
2440,2
2441,3
2442,2
2443,49
2444,1
2445,2
2446,2
2447,109
2448,40
2449,58
2450,72
2451,1
2452,71
2453,57
2454,58
2455,4
2456,2
2457,62
2458,4
2459,53
2460,99
2461,56
2462,76
2463,69
2464,1
2465,1
2466,1
2467,45
2468,3
2469,2
2470,86
2471,65
2472,1
2473,1
2474,56
2475,55
2476,86
2477,1
2478,41
2479,68
2480,1
2481,102
2482,46
2483,59
2484,71
2485,1
2486,3
2487,66
2488,70
2489,1
2490,2
2491,55
2492,57
2493,2
2494,32
2495,121
2496,51
2497,69
2498,37
2499,76
2500,1
2501,55
2502,87
2503,1
2504,59
2505,76
2506,1
2507,41
2508,4
2509,94
2510,53
2511,81
2512,42
2513,2
2514,38
2515,3
2516,104
2517,50
2518,78
2519,2
2520,73
2521,2
2522,38
2523,115
2524,2
2525,55
2526,35
2527,65
2528,6
2529,61
2530,74
2531,1
2532,2
2533,1
2534,76
2535,55
2536,41
2537,98
2538,29
2539,61
2540,79
2541,36
2542,69
2543,1
2544,63
2545,3
2546,103
2547,1
2548,2
2549,30
2550,58
2551,72
2552,4
2553,24
2554,74
2555,2
2556,51
2557,4
2558,1
2559,59
2560,63
2561,89
2562,2
2563,1
2564,40
2565,66
2566,2
2567,1
2568,62
2569,62
2570,1
2571,1
2572,41
2573,48
2574,57
2575,76
2576,1
2577,1
2578,71
2579,2
2580,2
2581,2
2582,57
2583,74
2584,57
2585,77
2586,3
2587,39
2588,34
2589,54
2590,51
2591,63
2592,1
2593,50
2594,70
2595,1
2596,52
2597,90
2598,51
2599,75
2600,52
2601,2
2602,54
2603,2
2604,43
2605,118
2606,2
2607,31
2608,48
2609,1
2610,45
2611,57
2612,62
2613,1
2614,1
2615,40
2616,52
2617,3
2618,42
2619,78
2620,3
2621,1
2622,1
2623,101
2624,52
2625,65
2626,1
2627,74
2628,1
2629,103
2630,48
2631,58
2632,68
2633,2
2634,39
2635,50
2636,90
2637,41
2638,59
2639,78
2640,32
2641,45
2642,106
2643,2
2644,32
2645,74
2646,1
2647,2
2648,67
2649,1
2650,66
2651,2
2652,1
2653,71
2654,2
2655,4
2656,59
2657,69
2658,2
2659,1
2660,1
2661,71
2662,1
2663,1
2664,2
2665,115
2666,63
2667,3
2668,37
2669,66
2670,1
2671,45
2672,2
2673,42
2674,62
2675,30
2676,52
2677,1
2678,101
2679,31
2680,54
2681,89
2682,1
2683,30
2684,63
2685,78
2686,1
2687,30
2688,58
2689,1
2690,55
2691,96
2692,47
2693,83
2694,14
2695,49
2696,49
2697,1
2698,35
2699,77
2700,1
2701,9
2702,32
2703,73
2704,1
2705,1
2706,2
2707,30
2708,74
2709,25
2710,1
2711,64
2712,1
2713,103
2714,40
2715,65
2716,83
2717,1
2718,77
2719,89
2720,40
2721,75
2722,1
2723,29
2724,48
2725,1
2726,103
2727,52
2728,73
2729,51
2730,68
2731,1
2732,114
2733,72
2734,2
2735,66
2736,1
2737,2
2738,53
2739,74
2740,1
2741,36
2742,50
2743,116
2744,3
2745,39
2746,55
2747,1
2748,38
2749,2
2750,45
2751,71
2752,1
2753,39
2754,13
2755,52
2756,52
2757,71
2758,27
2759,67
2760,1
2761,92
2762,8
2763,27
2764,57
2765,57
2766,1
2767,39
2768,60
2769,1
2770,55
2771,106
2772,1
2773,9
2774,51
2775,58
2776,1
2777,37
2778,57
2779,2
2780,1
2781,114
2782,60
2783,2
2784,71
2785,60
2786,31
2787,66
2788,64
2789,1
2790,63
2791,5
2792,46
2793,62
2794,2
2795,1
2796,1
2797,116
2798,2
2799,66
2800,87
2801,1
2802,26
2803,69
2804,2
2805,97
2806,1
2807,38
2808,5
2809,89
2810,1
2811,36
2812,2
2813,5
2814,5
2815,35
2816,2
2817,53
2818,78
2819,2
2820,60
2821,2
2822,1
2823,1
2824,85
2825,2
2826,59
2827,1
2828,2
2829,1
2830,76
2831,1
2832,3
2833,53
2834,1
2835,80
2836,5
2837,2
2838,63
2839,1
2840,1
2841,64
2842,84
2843,65
2844,3
2845,4
2846,110
2847,1
2848,5
2849,58
2850,69
2851,1
2852,59
2853,2
2854,1
2855,61
2856,56
2857,77
2858,33
2859,66
2860,111
2861,3
2862,50
2863,41
2864,74
2865,3
2866,52
2867,1
2868,109
2869,1
2870,49
2871,83
2872,6
2873,47
2874,55
2875,1
2876,2
2877,59
2878,71
2879,1
2880,5
2881,56
2882,1
2883,41
2884,4
2885,73
2886,68
2887,5
2888,4
2889,1
2890,119
2891,6
2892,6
2893,39
2894,1
2895,66
2896,74
2897,1
2898,1
2899,1
2900,107
2901,2
2902,1
2903,32
2904,1
2905,53
2906,83
2907,1
2908,22
2909,74
2910,1
2911,100
2912,4
2913,2
2914,47
2915,46
2916,86
2917,2
2918,9
2919,46
2920,70
2921,40
2922,4
2923,115
2924,1
2925,42
2926,65
2927,57
2928,76
2929,1
2930,3
2931,46
2932,68
2933,2
2934,114
2935,1
2936,3
2937,54
2938,83
2939,36
2940,55
2941,1
2942,54
2943,88
2944,55
2945,71
2946,45
2947,60
2948,69
2949,43
2950,2
2951,44
2952,111
2953,26
2954,67
2955,87
2956,40
2957,2
2958,54
2959,101
2960,5
2961,43
2962,1
2963,49
2964,60
2965,2
2966,32
2967,65
2968,51
2969,1
2970,87
2971,43
2972,2
2973,43
2974,44
2975,70
2976,1
2977,2
2978,20
2979,62
2980,86
2981,3
2982,2
2983,47
2984,63
2985,40
2986,61
2987,2
2988,2
2989,106
2990,1
2991,51
2992,21
2993,43
2994,1
2995,40
2996,1
2997,120
