,station_nbr,date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,snowfall,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed
156,6,2012-01-09,58.0,43.0,51.0,48.0,49.0,14.0,0.0,728.0,1748.0,TSRA RA DZ BR,0.0,0.62,29.48,30.0,11.2,35.0,12.5
161,11,2012-01-09,76.0,46.0,61.0,51.0,54.0,4.0,0.0,725.0,1743.0,FG BR,0.0,0.0,30.14,30.17,1.6,25.0,1.8
164,14,2012-01-09,51.0,32.0,42.0,26.0,35.0,23.0,0.0,740.0,1735.0,moderate,0.0,0.0,28.77,30.19,10.5,36.0,10.6
165,15,2012-01-09,35.0,15.0,25.0,13.0,21.0,40.0,0.0,717.0,1629.0,moderate,0.0,0.0,29.81,30.18,1.0,16.0,2.9
168,18,2012-01-09,51.0,44.0,48.0,43.0,45.0,17.0,0.0,731.0,1738.0,TSRA RA BR,0.0,1.32,29.54,30.08,8.0,36.0,9.0
169,19,2012-01-09,46.0,27.0,37.0,26.0,32.0,28.0,0.0,722.0,1636.0,moderate,0.0,0.0,29.23,30.03,11.7,24.0,12.1
173,3,2012-01-10,51.0,30.0,41.0,29.0,37.0,24.0,0.0,735.0,1727.0,moderate,0.0,0.0,29.16,29.94,3.0,34.0,4.6
174,4,2012-01-10,58.0,41.0,50.0,37.0,43.0,15.0,0.0,729.0,1749.0,moderate,0.0,0.0,29.24,29.97,5.5,30.0,7.1
180,11,2012-01-10,76.0,47.0,62.0,54.0,57.0,3.0,0.0,725.0,1744.0,BR,0.0,0.0,30.02,30.05,3.7,17.0,4.1
184,15,2012-01-10,43.0,23.0,33.0,21.0,29.0,32.0,0.0,717.0,1630.0,moderate,0.0,0.0,29.44,29.84,2.8,27.0,6.3
187,18,2012-01-10,46.0,42.0,44.0,41.0,43.0,21.0,0.0,731.0,1739.0,TS TSRA RA DZ BR,0.0,0.49,29.34,29.89,8.0,31.0,8.9
188,19,2012-01-10,50.0,25.0,38.0,28.0,34.0,27.0,0.0,722.0,1637.0,moderate,0.0,0.0,29.14,29.93,4.5,21.0,4.9
191,2,2012-01-11,38.0,28.0,33.0,22.0,28.0,32.0,0.0,715.0,1636.0,moderate,0.0,0.0,28.92,30.06,1.5,9.0,4.5
192,3,2012-01-11,61.0,29.0,45.0,30.0,36.0,20.0,0.0,735.0,1728.0,SN BR,0.5,0.02,29.08,29.79,9.5,32.0,12.1
194,6,2012-01-11,76.0,29.0,53.0,36.0,45.0,12.0,0.0,728.0,1749.0,moderate,0.0,0.0,29.28,29.81,5.8,24.0,9.9
203,15,2012-01-11,34.0,21.0,28.0,18.0,25.0,37.0,0.0,717.0,1631.0,SN BR,0.0,0.0,29.67,30.09,1.1,36.0,3.2
206,18,2012-01-11,65.0,36.0,51.0,39.0,45.0,14.0,0.0,731.0,1740.0,moderate,0.0,0.0,29.26,29.76,3.6,34.0,8.1
207,19,2012-01-11,55.0,28.0,42.0,29.0,35.0,23.0,0.0,721.0,1638.0,BR HZ,0.0,0.0,28.85,29.64,0.7,21.0,2.5
210,2,2012-01-12,33.0,30.0,32.0,31.0,31.0,33.0,0.0,715.0,1637.0,RA SN FG+ FG FZFG BR UP,3.6,1.06,28.62,29.69,10.5,5.0,10.7
211,3,2012-01-12,35.0,21.0,28.0,9.0,23.0,37.0,0.0,735.0,1729.0,moderate,0.0,0.0,29.39,30.11,14.5,30.0,15.1
212,4,2012-01-12,50.0,33.0,42.0,16.0,33.0,23.0,0.0,729.0,1750.0,moderate,0.0,0.0,29.54,30.24,8.2,34.0,8.3
213,6,2012-01-12,51.0,28.0,40.0,18.0,33.0,25.0,0.0,728.0,1750.0,moderate,0.0,0.0,29.7,30.22,13.3,34.0,13.9
218,11,2012-01-12,74.0,47.0,61.0,52.0,56.0,4.0,0.0,725.0,1746.0,BR,0.0,0.0,29.79,29.84,10.8,24.0,11.4
221,14,2012-01-12,37.0,18.0,28.0,2.0,22.0,37.0,0.0,739.0,1738.0,moderate,0.0,0.0,28.76,30.16,16.8,32.0,17.3
222,15,2012-01-12,32.0,26.0,29.0,26.0,28.0,36.0,0.0,716.0,1632.0,SN FZFG BR UP,3.7,0.34,29.44,29.78,6.9,4.0,7.7
225,18,2012-01-12,42.0,29.0,36.0,14.0,29.0,29.0,0.0,730.0,1741.0,moderate,0.0,0.0,29.7,30.2,12.6,32.0,12.9
230,3,2012-01-13,48.0,20.0,34.0,10.0,26.0,31.0,0.0,734.0,1730.0,moderate,0.0,0.0,29.41,30.16,3.5,23.0,5.6
231,4,2012-01-13,58.0,32.0,45.0,22.0,36.0,20.0,0.0,728.0,1751.0,moderate,0.0,0.0,29.59,30.3,1.6,28.0,3.9
232,6,2012-01-13,59.0,26.0,43.0,23.0,35.0,22.0,0.0,728.0,1751.0,moderate,0.0,0.0,29.77,30.3,2.1,21.0,3.7
237,11,2012-01-13,63.0,38.0,51.0,21.0,37.0,14.0,0.0,725.0,1746.0,moderate,0.0,0.0,30.04,30.13,9.6,28.0,10.0
240,14,2012-01-13,52.0,18.0,35.0,15.0,27.0,30.0,0.0,739.0,1739.0,moderate,0.0,0.0,28.74,30.17,4.4,23.0,5.8
241,15,2012-01-13,36.0,26.0,31.0,25.0,28.0,34.0,0.0,716.0,1634.0,FZRA SN BR UP,0.0,0.11,29.0,29.38,5.2,25.0,6.9
244,18,2012-01-13,56.0,28.0,42.0,24.0,35.0,23.0,0.0,730.0,1742.0,moderate,0.0,0.0,29.7,30.23,3.8,20.0,3.9
245,19,2012-01-13,22.0,18.0,20.0,14.0,19.0,45.0,0.0,721.0,1640.0,SN,0.6,0.05,29.11,29.84,11.0,30.0,11.1
248,2,2012-01-14,28.0,12.0,20.0,8.0,19.0,45.0,0.0,714.0,1639.0,moderate,0.0,0.0,28.64,29.81,16.1,27.0,16.7
249,3,2012-01-14,55.0,31.0,43.0,21.0,34.0,22.0,0.0,734.0,1731.0,moderate,0.0,0.0,29.47,30.2,5.1,29.0,6.7
251,6,2012-01-14,66.0,22.0,44.0,25.0,36.0,21.0,0.0,728.0,1752.0,moderate,0.0,0.0,29.8,30.35,4.1,21.0,4.4
256,11,2012-01-14,56.0,29.0,43.0,21.0,34.0,22.0,0.0,724.0,1747.0,moderate,0.0,0.0,30.27,30.31,5.6,30.0,6.1
259,14,2012-01-14,58.0,29.0,44.0,15.0,33.0,21.0,0.0,739.0,1740.0,moderate,0.0,0.0,28.81,30.22,2.9,34.0,7.6
260,15,2012-01-14,31.0,5.0,18.0,10.0,19.0,47.0,0.0,715.0,1635.0,moderate,0.0,0.0,29.34,29.8,11.0,30.0,12.3
263,18,2012-01-14,67.0,37.0,52.0,28.0,40.0,13.0,0.0,730.0,1743.0,moderate,0.0,0.0,29.73,30.26,2.5,19.0,4.3
264,19,2012-01-14,21.0,14.0,18.0,9.0,15.0,47.0,0.0,720.0,1641.0,SN,0.3,0.01,29.38,30.12,5.4,27.0,5.7
267,2,2012-01-15,13.0,2.0,8.0,-3.0,5.0,57.0,0.0,714.0,1640.0,moderate,0.0,0.0,29.05,30.28,13.6,31.0,13.8
268,3,2012-01-15,64.0,32.0,48.0,28.0,40.0,17.0,0.0,734.0,1732.0,moderate,0.0,0.0,29.29,30.06,16.3,17.0,16.5
269,4,2012-01-15,64.0,37.0,51.0,41.0,48.0,14.0,0.0,728.0,1753.0,moderate,0.0,0.0,29.53,30.26,2.7,18.0,4.4
275,11,2012-01-15,63.0,33.0,48.0,27.0,38.0,17.0,0.0,724.0,1748.0,moderate,0.0,0.0,30.35,30.41,4.3,29.0,5.0
278,14,2012-01-15,61.0,28.0,45.0,31.0,40.0,20.0,0.0,739.0,1741.0,moderate,0.0,0.0,28.61,30.03,14.7,17.0,15.1
279,15,2012-01-15,10.0,-1.0,5.0,-7.0,2.0,60.0,0.0,715.0,1636.0,moderate,0.0,0.0,29.85,30.31,11.2,31.0,11.4
282,18,2012-01-15,65.0,38.0,52.0,37.0,46.0,13.0,0.0,730.0,1744.0,moderate,0.0,0.0,29.64,30.18,12.7,17.0,13.4
286,2,2012-01-16,30.0,4.0,17.0,3.0,14.0,48.0,0.0,713.0,1641.0,SN FZFG BR UP,2.0,0.15,29.27,30.41,8.6,24.0,12.0
287,3,2012-01-16,72.0,56.0,64.0,51.0,56.0,1.0,0.0,734.0,1733.0,moderate,0.0,0.0,29.03,29.77,19.7,19.0,20.0
288,4,2012-01-16,73.0,60.0,67.0,59.0,62.0,0.0,2.0,728.0,1754.0,BR,0.0,0.0,29.33,30.05,7.1,18.0,7.6
294,11,2012-01-16,68.0,30.0,49.0,40.0,45.0,16.0,0.0,724.0,1749.0,moderate,0.0,0.0,30.42,30.45,3.7,10.0,4.1
297,14,2012-01-16,69.0,52.0,61.0,49.0,53.0,4.0,0.0,738.0,1742.0,moderate,0.0,0.0,28.41,29.81,19.7,20.0,20.0
301,18,2012-01-16,70.0,61.0,66.0,57.0,61.0,0.0,1.0,730.0,1745.0,moderate,0.0,0.0,29.42,29.96,13.3,20.0,13.4
302,19,2012-01-16,41.0,29.0,35.0,28.0,32.0,30.0,0.0,719.0,1644.0,BR,0.0,0.0,29.01,29.81,3.6,22.0,8.3
305,2,2012-01-17,44.0,30.0,37.0,33.0,35.0,28.0,0.0,713.0,1643.0,RA SN FG+ BR,1.2,0.09,28.74,29.8,13.5,23.0,13.8
306,3,2012-01-17,66.0,22.0,44.0,20.0,29.0,21.0,0.0,733.0,1734.0,moderate,0.0,0.0,29.56,30.24,11.6,33.0,13.7
307,4,2012-01-17,74.0,44.0,59.0,46.0,54.0,6.0,0.0,728.0,1755.0,BR,0.0,0.0,29.46,30.12,5.6,35.0,7.8
313,11,2012-01-17,76.0,40.0,58.0,48.0,53.0,7.0,0.0,724.0,1750.0,moderate,0.0,0.0,30.22,30.25,4.4,24.0,4.5
316,14,2012-01-17,62.0,25.0,44.0,17.0,28.0,21.0,0.0,738.0,1743.0,moderate,0.0,0.0,28.89,30.25,16.4,35.0,17.9
317,15,2012-01-17,39.0,27.0,33.0,31.0,33.0,32.0,0.0,714.0,1638.0,RA SN FG BR,1.4,0.22,29.47,29.79,3.1,16.0,3.4
320,18,2012-01-17,68.0,38.0,53.0,35.0,44.0,12.0,0.0,730.0,1746.0,moderate,0.0,0.0,29.68,30.18,9.4,35.0,12.0
324,2,2012-01-18,46.0,16.0,31.0,14.0,25.0,34.0,0.0,712.0,1644.0,moderate,0.0,0.0,28.62,29.81,17.0,28.0,19.2
325,3,2012-01-18,45.0,17.0,31.0,18.0,29.0,34.0,0.0,733.0,1735.0,moderate,0.0,0.0,29.4,30.16,5.9,18.0,6.5
326,4,2012-01-18,66.0,36.0,51.0,30.0,42.0,14.0,0.0,728.0,1755.0,moderate,0.0,0.0,29.47,30.2,0.2,11.0,3.7
327,6,2012-01-18,64.0,35.0,50.0,31.0,41.0,15.0,0.0,727.0,1755.0,moderate,0.0,0.0,29.65,30.2,1.6,2.0,7.6
332,11,2012-01-18,63.0,46.0,55.0,54.0,55.0,10.0,0.0,724.0,1751.0,RA BR,0.0,0.06,30.02,30.05,4.3,24.0,6.4
335,14,2012-01-18,46.0,17.0,32.0,18.0,28.0,33.0,0.0,738.0,1744.0,moderate,0.0,0.0,28.71,30.15,7.5,19.0,9.0
339,18,2012-01-18,55.0,30.0,43.0,26.0,37.0,22.0,0.0,729.0,1747.0,moderate,0.0,0.0,29.64,30.19,2.5,14.0,5.5
340,19,2012-01-18,24.0,6.0,15.0,7.0,14.0,50.0,0.0,718.0,1646.0,moderate,0.0,0.0,29.27,30.09,7.8,22.0,9.7
343,2,2012-01-19,26.0,10.0,18.0,9.0,16.0,47.0,0.0,712.0,1645.0,SN BR,1.3,0.14,29.02,30.13,2.0,12.0,6.8
344,3,2012-01-19,54.0,28.0,41.0,26.0,34.0,24.0,0.0,732.0,1736.0,moderate,0.0,0.0,29.16,29.93,3.8,1.0,6.8
345,4,2012-01-19,80.0,45.0,63.0,49.0,55.0,2.0,0.0,727.0,1756.0,moderate,0.0,0.0,29.21,29.93,4.0,20.0,4.3
346,6,2012-01-19,77.0,46.0,62.0,50.0,54.0,3.0,0.0,727.0,1756.0,moderate,0.0,0.0,29.38,29.93,9.6,20.0,9.7
351,11,2012-01-19,65.0,32.0,49.0,30.0,40.0,16.0,0.0,724.0,1752.0,moderate,0.0,0.0,30.09,30.14,0.7,35.0,2.9
354,14,2012-01-19,54.0,30.0,42.0,27.0,35.0,23.0,0.0,737.0,1745.0,moderate,0.0,0.0,28.48,29.9,4.0,36.0,9.4
355,15,2012-01-19,27.0,3.0,15.0,9.0,15.0,50.0,0.0,713.0,1641.0,SN BR,1.3,0.2,29.78,30.16,1.5,14.0,3.7
358,18,2012-01-19,73.0,40.0,57.0,37.0,46.0,8.0,0.0,729.0,1747.0,moderate,0.0,0.0,29.33,29.87,3.8,14.0,5.4
362,2,2012-01-20,27.0,15.0,21.0,11.0,19.0,44.0,0.0,711.0,1646.0,SN BR,1.0,0.01,28.92,30.09,9.3,28.0,10.0
364,4,2012-01-20,74.0,57.0,66.0,58.0,60.0,0.0,1.0,727.0,1757.0,FG+ FG BR HZ,0.0,0.0,29.14,29.83,3.8,19.0,4.6
365,6,2012-01-20,75.0,50.0,63.0,60.0,61.0,2.0,0.0,727.0,1757.0,FG+ FG BCFG BR,0.0,0.0,29.3,29.83,7.6,20.0,7.7
370,11,2012-01-20,75.0,36.0,56.0,42.0,49.0,9.0,0.0,723.0,1752.0,moderate,0.0,0.0,30.11,30.15,5.5,17.0,5.8
373,14,2012-01-20,48.0,28.0,38.0,24.0,32.0,27.0,0.0,737.0,1746.0,moderate,0.0,0.0,28.45,29.82,9.4,36.0,11.7
374,15,2012-01-20,25.0,6.0,16.0,8.0,16.0,49.0,0.0,712.0,1642.0,SN FG+ FZFG BR,1.2,0.06,29.67,30.1,5.5,30.0,5.9
377,18,2012-01-20,78.0,47.0,63.0,51.0,56.0,2.0,0.0,729.0,1748.0,FG+ BR,0.0,0.0,29.24,29.75,4.9,19.0,10.5
381,2,2012-01-21,17.0,12.0,15.0,9.0,14.0,50.0,0.0,710.0,1647.0,SN FZFG BR,4.3,0.31,29.04,30.2,6.4,3.0,6.7
382,3,2012-01-21,43.0,18.0,31.0,19.0,26.0,34.0,0.0,732.0,1738.0,moderate,0.0,0.0,29.26,30.04,3.3,3.0,9.2
383,4,2012-01-21,61.0,43.0,52.0,41.0,46.0,13.0,0.0,727.0,1758.0,BR,0.0,0.0,29.26,29.96,2.7,1.0,4.8
384,6,2012-01-21,58.0,43.0,51.0,42.0,47.0,14.0,0.0,726.0,1758.0,FG+,0.0,0.0,29.42,29.96,6.6,36.0,7.6
389,11,2012-01-21,74.0,50.0,62.0,52.0,57.0,3.0,0.0,723.0,1753.0,moderate,0.0,0.0,30.05,30.09,6.9,21.0,7.3
392,14,2012-01-21,43.0,21.0,32.0,16.0,26.0,33.0,0.0,737.0,1747.0,moderate,0.0,0.0,28.56,30.0,3.0,4.0,10.8
393,15,2012-01-21,18.0,0.0,9.0,6.0,11.0,56.0,0.0,711.0,1643.0,SN BR,1.2,0.13,29.84,30.26,2.6,35.0,2.9
396,18,2012-01-21,51.0,37.0,44.0,33.0,39.0,21.0,0.0,728.0,1749.0,moderate,0.0,0.0,29.44,29.97,5.7,36.0,9.7
400,2,2012-01-22,28.0,11.0,20.0,11.0,17.0,45.0,0.0,710.0,1649.0,moderate,0.0,0.0,29.31,30.5,4.0,4.0,6.0
401,3,2012-01-22,71.0,42.0,57.0,37.0,45.0,8.0,0.0,731.0,1739.0,BR HZ DU,0.0,0.0,28.89,29.6,11.0,20.0,18.5
402,4,2012-01-22,76.0,50.0,63.0,53.0,57.0,2.0,0.0,727.0,1759.0,BR HZ,0.0,0.0,29.13,29.82,1.8,19.0,4.6
408,11,2012-01-22,69.0,55.0,62.0,59.0,60.0,3.0,0.0,723.0,1754.0,RA FG+ FG BR,0.0,0.01,30.08,30.13,3.4,5.0,6.4
412,15,2012-01-22,24.0,-7.0,9.0,4.0,10.0,56.0,0.0,711.0,1645.0,moderate,0.0,0.0,30.11,30.54,0.7,12.0,0.9
415,18,2012-01-22,80.0,46.0,63.0,43.0,52.0,2.0,0.0,728.0,1750.0,BR DU,0.0,0.0,29.24,29.75,7.5,22.0,14.9
420,3,2012-01-23,59.0,32.0,46.0,24.0,37.0,19.0,0.0,731.0,1740.0,moderate,0.0,0.0,29.29,30.0,6.2,27.0,7.3
422,6,2012-01-23,66.0,40.0,53.0,38.0,45.0,12.0,0.0,726.0,1760.0,moderate,0.0,0.0,29.52,30.04,5.8,2.0,6.3
427,11,2012-01-23,79.0,57.0,68.0,58.0,61.0,0.0,3.0,722.0,1755.0,FG+ FG,0.0,0.0,30.08,30.11,3.1,16.0,5.1
431,15,2012-01-23,32.0,20.0,26.0,25.0,27.0,39.0,0.0,710.0,1646.0,FZRA SN BR UP,0.0,0.31,29.91,30.24,0.6,30.0,1.8
